U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,0.0,0.0,0.05,-0.008936248072717937,-0.013876570269359748,0.027451381909097326
0.6,0.0,0.0,0.05,-0.004244884534149964,-0.012760752791997884,0.04383574079454993
0.3,0.0,0.0,0.05,-0.011364994046954466,-0.021224311090755447,0.06010547462511466
0.9,0.5,0.0,0.05,0.6693371403092161,0.6988542346561093,0.24528073289894872
0.6,0.5,0.0,0.05,0.6025709881176158,0.5600063423632422,0.2444177139774184
0.3,0.5,0.0,0.05,0.7433600573788876,0.6913318087036171,0.2974906633722677
0.9,1.0,0.0,0.05,0.625794893100622,0.5936082427514757,0.2379970336237014
0.6,1.0,0.0,0.05,0.668917237865453,0.6449968188020972,0.28086919197205673
0.3,1.0,0.0,0.05,0.7112196368258706,0.6478052562153598,0.2712214484149302
0.9,0.0,0.25,0.05,-0.0056576881229454855,-0.011378662020367913,0.02621416846721856
0.6,0.0,0.25,0.05,-0.0036065922052798466,-0.00741550897272382,0.04108432661111432
0.3,0.0,0.25,0.05,-0.010855501880138221,-0.016989003763473218,0.05912752269555665
0.9,0.5,0.25,0.05,0.7254702484541093,0.7503509412515302,0.23701825962490466
0.6,0.5,0.25,0.05,0.6823009390773674,0.660941797312,0.26375554856169386
0.3,0.5,0.25,0.05,0.7484556521475251,0.6980570533879358,0.28270865629148706
0.9,1.0,0.25,0.05,0.6574599427196763,0.6757320857336879,0.2419915871707542
0.6,1.0,0.25,0.05,0.6313371753648233,0.609322952902828,0.2901302559746345
0.3,1.0,0.25,0.05,0.7164036555572298,0.6862766243651831,0.2368108017348064
0.9,0.0,0.5,0.05,-0.003809539099757373,-0.006452958508480715,0.026259011448002863
0.6,0.0,0.5,0.05,-0.01104103094413817,-0.012742381204772175,0.034012261772447844
0.3,0.0,0.5,0.05,0.004707584275246361,0.003748884656115509,0.05358963827057789
0.9,0.5,0.5,0.05,0.7098451120548427,0.7403197789229573,0.24384183215703784
0.6,0.5,0.5,0.05,0.6903986196806328,0.6413190854633002,0.2996321410889105
0.3,0.5,0.5,0.05,0.8027398747232658,0.7633182301789581,0.2816876143017946
0.9,1.0,0.5,0.05,0.6850342298026091,0.6895921580410349,0.24870942954053524
0.6,1.0,0.5,0.05,0.617301899402249,0.6119832125497805,0.27317629493916423
0.3,1.0,0.5,0.05,0.7655172243658793,0.6754843289092353,0.3125065444451613
0.9,0.0,0.75,0.05,-0.0031613594114150954,-0.006703455146466342,0.024722913940521674
0.6,0.0,0.75,0.05,-0.006368377011303392,-0.009507321778576957,0.034555465943535806
0.3,0.0,0.75,0.05,-0.006360934954537335,-0.010905525252430995,0.05505661894479988
0.9,0.5,0.75,0.05,0.6944126247467881,0.7182468356470475,0.20958944510535668
0.6,0.5,0.75,0.05,0.6109878233635058,0.5605466965475873,0.28158449832636095
0.3,0.5,0.75,0.05,0.771125826429583,0.753940397267133,0.23192552145423218
0.9,1.0,0.75,0.05,0.6514642359203512,0.621877362647159,0.23060752788914904
0.6,1.0,0.75,0.05,0.6630406452629488,0.6961587149030097,0.28351462817898915
0.3,1.0,0.75,0.05,0.7415078621919811,0.7116977884437087,0.25459224688462323
0.9,0.0,1.0,0.05,-0.004758164228782604,-0.005698549520086029,0.025406100280988806
0.6,0.0,1.0,0.05,-0.005183296920083767,-0.013418126213995442,0.03604947355748782
0.3,0.0,1.0,0.05,-0.0037141161538325933,-0.008357586006274276,0.0586045299270682
0.9,0.5,1.0,0.05,0.7250399066300468,0.7399112299131971,0.2204865066294256
0.6,0.5,1.0,0.05,0.6500086955040132,0.59229720727895,0.26071795137971976
0.3,0.5,1.0,0.05,0.7648732116986231,0.7274856055723596,0.26151782440553184
0.9,1.0,1.0,0.05,0.6389908012681285,0.6415859199941427,0.22597106499617817
0.6,1.0,1.0,0.05,0.6417072760933874,0.5647574512739207,0.2874588858736597
0.3,1.0,1.0,0.05,0.7546408353749321,0.7001055631323622,0.27767535717949376
