U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.9,0.0,0.0,0.1,0.0038658707730633147,-6.563016168174503e-5,0.027847798224472448
0.6,0.0,0.0,0.1,0.0006248963992726472,-0.0005842803557844651,0.02990967960792699
0.3,0.0,0.0,0.1,-0.002888997983338446,-0.005696116548186601,0.025581676940128813
0.9,0.5,0.0,0.1,0.4943114916553169,0.4880740404236483,0.19873845074864535
0.6,0.5,0.0,0.1,0.42928450100066684,0.4292705621361526,0.13930837922407371
0.3,0.5,0.0,0.1,0.38358631741794946,0.39826498430248947,0.13612727332743552
0.9,1.0,0.0,0.1,0.4227510758146103,0.40959184092115586,0.20183947769418253
0.6,1.0,0.0,0.1,0.42641636732481664,0.447961374449658,0.14226575217383325
0.3,1.0,0.0,0.1,0.3505457237411404,0.3518198241677445,0.10908104057286881
0.9,1.5,0.0,0.1,0.45842729768087637,0.42811428000577845,0.18572700915004528
0.6,1.5,0.0,0.1,0.3875835432989318,0.38347489443824456,0.13748768159833147
0.3,1.5,0.0,0.1,0.30068607483941145,0.29926270977235625,0.1061680580142683
0.9,2.0,0.0,0.1,0.45167866351157526,0.46692471662034407,0.21470435841918148
0.6,2.0,0.0,0.1,0.3666131775944286,0.35088735585482644,0.12984387350130777
0.3,2.0,0.0,0.1,0.3140605961230913,0.3002051471042284,0.11110375459182702
0.9,2.5,0.0,0.1,0.4165208123312676,0.42061044802427633,0.18285421617632303
0.6,2.5,0.0,0.1,0.33200566997318953,0.3178831903101564,0.12251427625941308
0.3,2.5,0.0,0.1,0.2961718486468894,0.2908272413728797,0.10533071287012864
0.9,3.0,0.0,0.1,0.419948055141901,0.4319197916222476,0.18176397729669613
0.6,3.0,0.0,0.1,0.3167362804947539,0.29517727823714146,0.1382058228840545
0.3,3.0,0.0,0.1,0.25991025675566704,0.24754379216502645,0.09742660697940823
0.9,3.5,0.0,0.1,0.3573228381949046,0.36772987398096574,0.1604558421303033
