U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,0.0,0.0,0.1,-0.006375402104048098,-0.008957697665883918,0.01989147475952126
0.9,0.0,0.0,0.2,-0.0045114608555801555,-0.008422044822302983,0.019489052629267454
0.9,0.0,0.0,0.3,-0.006045747996731994,-0.007682397308961187,0.012652357793122248
0.9,0.0,0.25,0.1,-0.003791014428816236,-0.005922550449782647,0.02382910729373291
0.9,0.0,0.25,0.2,-0.006515337701821812,-0.008013060938329672,0.018386615358737503
0.9,0.0,0.25,0.3,-0.004811430455494289,-0.005727164042379921,0.012047551357094604
0.9,0.0,0.5,0.1,-0.006429812773197946,-0.007721699090755584,0.01924633014513911
0.9,0.0,0.5,0.2,-0.006318046591175932,-0.0073844416203159916,0.01721291938095164
0.9,0.0,0.5,0.3,-0.004959705061234566,-0.005554719618590984,0.014685669965776416
0.9,0.0,0.75,0.1,-0.00605118994518089,-0.005887218343678988,0.02301975902804608
0.9,0.0,0.75,0.2,-0.00038486324378083514,-0.0028872884949461943,0.01965649753761927
0.9,0.0,0.75,0.3,-0.0033834470770396424,-0.005341398904408717,0.013611486243004308
0.9,0.0,1.0,0.1,-0.004537752095344927,-0.005473945996593319,0.022721104914832715
0.9,0.0,1.0,0.2,-0.002202773570549282,-0.005331088302819956,0.019915871702091723
0.9,0.0,1.0,0.3,-0.005054520865719602,-0.0049665389660155995,0.012212115963458671
0.9,0.5,0.0,0.1,0.626044713534639,0.6428519299816978,0.21736141677780518
0.9,0.5,0.0,0.2,0.4880016327382154,0.4665237666274037,0.2333606189745594
0.9,0.5,0.0,0.3,0.46029641032040575,0.42699341771061294,0.264378814791126
0.9,0.5,0.25,0.1,0.6334831647984042,0.6208177098915287,0.2030273610013406
0.9,0.5,0.25,0.2,0.4889476904899866,0.4631826911513164,0.2272426813474428
0.9,0.5,0.25,0.3,0.44919433954302485,0.47406471638613007,0.23136129735808772
0.9,0.5,0.5,0.1,0.6080630745601426,0.6142466123476343,0.2110288866608273
0.9,0.5,0.5,0.2,0.5405404356078166,0.5482067000143549,0.21528047091554559
0.9,0.5,0.5,0.3,0.4175997196707867,0.41377418340378413,0.24254976447040952
0.9,0.5,0.75,0.1,0.6492557274279244,0.6632051577105207,0.19852091387293577
0.9,0.5,0.75,0.2,0.5469865792173285,0.5749792142885183,0.21922925865202839
0.9,0.5,0.75,0.3,0.46834308026168325,0.48297915655435175,0.2606630347798322
0.9,0.5,1.0,0.1,0.622163752937908,0.629935956897111,0.2142632642533479
0.9,0.5,1.0,0.2,0.5085404404665513,0.5508452257286109,0.23569235809163763
0.9,0.5,1.0,0.3,0.4609824454959689,0.4800963781942684,0.21930580687882367
0.9,1.0,0.0,0.1,0.623632719036129,0.6297644728109801,0.19582396041162559
