U,A_j,alpha,threshold,mean_I,median_I,std_I
0.3,0.0,0.0,0.1,1.0,1.0,5.551115123125783e-17
0.3,0.0,0.0,0.2,1.0,1.0,7.447602459741819e-17
0.3,0.0,0.0,0.3,1.0,1.0,9.42055475210265e-17
0.3,0.0,1.0,0.1,0.03132029642494677,0.01682271053616083,0.03674319990207992
0.3,0.0,1.0,0.2,0.047489774303123206,0.026031582223532686,0.1321760297276518
0.3,0.0,1.0,0.3,0.05845671894781142,0.02747910690521912,0.16248761417011057
0.3,1.0,0.0,0.1,1.0,1.0,6.473657049138938e-17
0.3,1.0,0.0,0.2,1.0,1.0,9.42055475210265e-17
0.3,1.0,0.0,0.3,1.0,1.0,9.155133597044475e-17
0.3,1.0,1.0,0.1,0.07269784989735582,0.028753010425942756,0.1856804032543949
0.3,1.0,1.0,0.2,0.08398617242674943,0.03251553662652801,0.2073492539669559
0.3,1.0,1.0,0.3,0.0735069359847103,0.03518734246139109,0.18664139529433943
0.3,2.0,0.0,0.1,1.0,1.0,6.753223014464259e-17
0.3,2.0,0.0,0.2,1.0,1.0,7.691850745534256e-17
0.3,2.0,0.0,0.3,1.0,1.0,9.678699938266252e-17
0.3,2.0,1.0,0.1,0.060315132105172004,0.021913190986210782,0.1648354103969938
0.3,2.0,1.0,0.2,0.06234709177162492,0.033174124073754044,0.1607871107401912
0.3,2.0,1.0,0.3,0.05130892843539048,0.03171380090095119,0.1315209744681057
0.3,3.0,0.0,0.1,1.0,1.0,6.753223014464259e-17
0.3,3.0,0.0,0.2,1.0,1.0,7.691850745534256e-17
0.3,3.0,0.0,0.3,1.0,1.0,8.881784197001253e-17
0.3,3.0,1.0,0.1,0.06637482909108555,0.024191735654186246,0.16528761102180664
0.3,3.0,1.0,0.2,0.10584352164149932,0.04534239964998367,0.23858821033078595
0.3,3.0,1.0,0.3,0.05741524731057099,0.029804232071234116,0.16167038710364826
0.3,4.0,0.0,0.1,1.0,1.0,5.661048867003676e-17
0.3,4.0,0.0,0.2,1.0,1.0,7.771561172376095e-17
0.3,4.0,0.0,0.3,1.0,1.0,9.155133597044475e-17
0.3,4.0,1.0,0.1,0.08759199266586709,0.03776976991262705,0.18921687612157964
0.3,4.0,1.0,0.2,0.08888201313304267,0.03386603167362749,0.22298830655348678
0.3,4.0,1.0,0.3,0.060771734931279686,0.03479882828807471,0.1593206431425097
0.3,5.0,0.0,0.1,1.0,1.0,5.768888059150692e-17
0.3,5.0,0.0,0.2,1.0,1.0,6.661338147750939e-17
0.3,5.0,0.0,0.3,1.0,1.0,7.691850745534256e-17
0.3,5.0,1.0,0.1,0.09098339849003757,0.015612249899963848,0.2424161811371627
0.3,5.0,1.0,0.2,0.06383136611654178,0.03207865884471156,0.15916761425338502
0.3,5.0,1.0,0.3,0.04360973401174818,0.03172930247554802,0.09663259522384643
0.6,0.0,0.0,0.1,1.0,1.0,8.005932084973443e-17
0.6,0.0,0.0,0.2,1.0,1.0,5.20740757162067e-17
0.6,0.0,0.0,0.3,1.0,1.0,1.0175362097255203e-16
0.6,0.0,1.0,0.1,0.09368037782802073,0.02205965028790494,0.24080151615975262
0.6,0.0,1.0,0.2,0.07538076095261075,0.028393225176110773,0.20790717101195116
0.6,0.0,1.0,0.3,0.046293566450804506,0.026875039935014562,0.1305654684760195
0.6,1.0,0.0,0.1,1.0,1.0,8.233634315563857e-17
0.6,1.0,0.0,0.2,1.0,1.0,4.5775667985222376e-17
0.6,1.0,0.0,0.3,1.0,1.0,7.691850745534256e-17
0.6,1.0,1.0,0.1,0.08346689783333748,0.026626554530562823,0.20841083492167373
0.6,1.0,1.0,0.2,0.07465353574718803,0.034342793558018614,0.18622105314406984
0.6,1.0,1.0,0.3,0.059398426493406625,0.030912822228844408,0.1603871464495219
0.6,2.0,0.0,0.1,1.0,1.0,6.843874359417886e-17
0.6,2.0,0.0,0.2,1.0,1.0,6.473657049138938e-17
0.6,2.0,0.0,0.3,1.0,1.0,9.678699938266252e-17
0.6,2.0,1.0,0.1,0.060878802328983295,0.02722585784485971,0.16078798507863695
0.6,2.0,1.0,0.2,0.036649266182216846,0.030595707573625265,0.02531937277106646
0.6,2.0,1.0,0.3,0.052424846168871136,0.03241817332779664,0.1330886008627768
0.6,3.0,0.0,0.1,1.0,1.0,7.447602459741819e-17
0.6,3.0,0.0,0.2,1.0,1.0,7.021666937153402e-17
0.6,3.0,0.0,0.3,1.0,1.0,9.678699938266252e-17
0.6,3.0,1.0,0.1,0.08280155926756808,0.03473636287879842,0.18522175215402262
0.6,3.0,1.0,0.2,0.06104493994034103,0.03177934175949297,0.15861137159859043
0.6,3.0,1.0,0.3,0.07869342018810128,0.030793117631953446,0.2029748736399238
0.6,4.0,0.0,0.1,1.0,1.0,7.529898907871222e-17
0.6,4.0,0.0,0.2,1.0,1.0,4.5775667985222376e-17
0.6,4.0,0.0,0.3,1.0,1.0,9.930136612989092e-17
0.6,4.0,1.0,0.1,0.06666156550821709,0.03178614673610147,0.16108577057265494
0.6,4.0,1.0,0.2,0.0700826992986282,0.03261950224255384,0.18438053425538642
0.6,4.0,1.0,0.3,0.06965244659372594,0.032524020570207146,0.18322859348599943
