X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_efficiency,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_condorcet_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,prop_qual_min_govt_size,major_strict_med_pos,prop_strict_util_max_elec,spat_med_entropy2,major_util_eff_avg,spat_med_entropy5,spat_avg_entropy2,prop_strict_min_govt_unstable,spat_agg_dist_corr,prop_qual_util_maxer,tangian_raw_uni_parties,prop_qual_single_party_win,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,prop_qual_winner_smith,major_smith_efficiency,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,prop_qual_condorcet_paradox,spat_avg_entropy4,major_qual_social_util,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[0],[0.13736771470313072],[2.304023885909301e8],[-2.0],[20],[1],[0.18797921624780564],[0.500025192],[0.07195691440232564],[0.9792141627763338],[4.610728835092455e6],[0.72],[20],[20],[0.9995829146389849],[0.9633757405978788],[2.3529315378535557e8],[0.4],[0],Bool[0],[20],[4.6110080607862305e6],[0.5004488],[2.304023885909301e8],[20],[1.3765395422127802],Bool[0],[0],[-2.0],Bool[0],[0.9672286641621916],[0.9995830346385977],[0.6126756031931642],[0.938357286737436],Bool[0],[0.30945127398029804],Bool[0],[0.55],Bool[1],[0.55],[0.05478221318177842],[4.608805767591728e6],[0.535],[1.411442089494169],[0.0],Bool[1],[0.4],Bool[0],[0.72],[0.5626612006419559],Bool[0],Bool[0],[4.0721364091735287e6],[2.3529315378535557e8],[0.20249225633946394],Bool[0],[1.3255299124409499],[4.0721364091735287e6],[1],[0.9333293840231471],Bool[0],Bool[1],[0.500025192],[0.4],Bool[1],[0.9792141627763338],[0.535],[20],[0.9998743711450111],[4.608569941486085e6],[0.30525391021145876],[0.5004488],[1.3231938875380411],[0.18194631951210224]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.15598405414159122],[2.2931791896216786e8],[2.0],[13],[2],[0.005267081165123612],[0.5000528320000001],[0.21261550013734581],[0.9812495118427987],[4.5239027267629355e6],[0.62],[13],[20],[0.999347757112067],[0.9292552635763108],[2.3369990628734782e8],[0.34],[0],Bool[0],[20],[4.524252931371891e6],[0.5003557999999999],[2.2931791896216786e8],[13],[1.2892361461862254],Bool[0],[0],[2.0],Bool[0],[0.8819861355508234],[0.99934806840638],[0.5538082109651934],[0.8567877762187648],Bool[0],[0.5818168901954801],Bool[0],[0.496],Bool[1],[0.496],[0.29027777281450773],[4.520952043383704e6],[0.531],[1.395526730113179],[-2.0],Bool[1],[0.26],Bool[0],[0.62],[0.4879713227429116],Bool[0],Bool[0],[3.9957938445342076e6],[2.3369990628734782e8],[0.28407312180292793],Bool[0],[1.373613585805769],[3.9957938445342076e6],[2],[0.8785343933260645],Bool[0],Bool[1],[0.5000528320000001],[0.26],Bool[1],[0.9812495118427987],[0.531],[13],[0.9995852408819301],[4.519660923250901e6],[0.5060712411627023],[0.5003557999999999],[1.259864514348192],[0.18765261027760846]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.13295119791810872],[2.2673074020932478e8],[2.0],[20],[1],[0.013513932958247196],[0.49988960799999993],[0.10963225175450947],[0.9701338530462025],[4.553086042317992e6],[0.68],[20],[20],[0.999299733574356],[0.9640245827962075],[2.3371078073133352e8],[0.38],[0],Bool[0],[20],[4.552816626678771e6],[0.5000088],[2.2673074020932478e8],[20],[1.348148623975472],Bool[0],[0],[2.0],Bool[0],[0.8602563510011338],[0.9993001129333939],[0.46582195474958654],[0.8036050946579667],Bool[0],[0.3851198609744312],Bool[0],[0.454],Bool[1],[0.454],[0.12963966942600905],[4.549897669029488e6],[0.523],[1.3797227983771247],[2.0],Bool[1],[0.4],Bool[0],[0.68],[0.45004747367728193],Bool[0],Bool[0],[4.383513980601644e6],[2.3371078073133352e8],[0.3925266975924657],Bool[0],[1.3493369980452024],[4.383513980601644e6],[1],[0.916469712932535],Bool[0],Bool[1],[0.49988960799999993],[0.4],Bool[1],[0.9701338530462025],[0.523],[20],[0.9997396020958014],[4.550355584890108e6],[0.18915881802644327],[0.5000088],[1.284409919305519],[0.12484609078381267]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.22720579432468727],[2.271608540155062e8],[-2.0],[20],[1],[0.009449348760628926],[0.499984184],[0.3758087495315033],[0.968414174717241],[4.54104435112247e6],[0.74],[20],[20],[0.9993271877514941],[0.8824193058784175],[2.34569939129436e8],[0.34],[0],Bool[0],[20],[4.541230897656115e6],[0.49996579999999996],[2.271608540155062e8],[20],[1.3170895439124828],Bool[0],[0],[-2.0],Bool[0],[0.8793784706872032],[0.9993278280715022],[0.5387133398232021],[0.8151541600877559],Bool[0],[0.5916751376223087],Bool[0],[0.567],Bool[1],[0.567],[0.4244932294247015],[4.537989080862026e6],[0.511],[1.318724604469466],[2.0],Bool[1],[0.4],Bool[0],[0.74],[0.5094619314826869],Bool[0],Bool[0],[4.177096891686354e6],[2.34569939129436e8],[0.1468995740093915],Bool[0],[1.260380554385668],[4.177096891686354e6],[1],[0.8633636855903538],Bool[0],Bool[1],[0.499984184],[0.4],Bool[1],[0.968414174717241],[0.511],[20],[0.9997522526036552],[4.53829859197613e6],[0.4327311130028529],[0.49996579999999996],[1.258935994547145],[0.11450000083842791]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.16392243620395183],[2.2095861931186092e8],[2.0],[20],[1],[0.010606493859895493],[0.49992457600000006],[0.1746159227112981],[0.968183741690521],[4.563676191942898e6],[0.46],[20],[20],[0.9987626947639807],[0.968437803238743],[2.2821971677199483e8],[0.14],[0],Bool[0],[20],[4.562961918508038e6],[0.5001302000000001],[2.2095861931186092e8],[20],[1.2134079462770093],Bool[0],[0],[2.0],Bool[0],[0.7814482343181361],[0.9987632022568692],[0.5719444801819886],[0.7605167106279509],Bool[0],[0.39164778581058135],Bool[0],[0.36],Bool[1],[0.36],[0.2538060583553406],[4.55802953149511e6],[0.517],[1.3539957858647855],[-2.0],Bool[1],[0.4],Bool[0],[0.46],[0.49919142708882197],Bool[0],Bool[0],[4.39969329075333e6],[2.2821971677199483e8],[0.3089867151142827],Bool[0],[1.2967339626778391],[4.39969329075333e6],[1],[0.9465046570284172],Bool[0],Bool[1],[0.49992457600000006],[0.4],Bool[1],[0.968183741690521],[0.517],[20],[0.9988790305301258],[4.557565067416016e6],[-0.008899815910699063],[0.5001302000000001],[1.1495493464410433],[0.13390510711694315]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.24199744694498915],[2.295812658566423e8],[-2.0],[20],[1],[0.006221921246689002],[0.5000469040000001],[0.450081125642102],[0.9594603291270903],[4.574272087281539e6],[0.56],[20],[20],[0.9992299949911226],[0.8940553006631415],[2.392816658355365e8],[0.26],[0],Bool[0],[20],[4.574307391141226e6],[0.5003206],[2.295812658566423e8],[20],[1.2758020491172406],Bool[0],[0],[-2.0],Bool[0],[0.8909255329608408],[0.9992300701536075],[0.5734932436754547],[0.8486780857011721],Bool[0],[0.44423490035391755],Bool[0],[0.543],Bool[1],[0.543],[0.27381360760033074],[4.5707498748623645e6],[0.522],[1.3686141810199852],[2.0],Bool[1],[0.4],Bool[0],[0.56],[0.5019608157970838],Bool[0],Bool[0],[4.1057142180654407e6],[2.392816658355365e8],[0.0083268911598835],Bool[0],[1.372630630770122],[4.1057142180654407e6],[1],[0.9002426772907833],Bool[0],Bool[1],[0.5000469040000001],[0.4],Bool[1],[0.9594603291270903],[0.522],[20],[0.9993238656889903],[4.571406781406512e6],[0.0740082419614689],[0.5003206],[1.218971880036989],[0.2628284465273879]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.23243270219015297],[2.2802775398066303e8],[-2.0],[20],[1],[0.7203055735801007],[0.49974583199999995],[0.05018199548321704],[0.9651333077644443],[4.564832789822686e6],[0.36],[20],[20],[0.9990781677564416],[0.950255066511873],[2.3626555227779657e8],[0.28],[0],Bool[0],[20],[4.565889462184804e6],[0.4999536],[2.2802775398066303e8],[20],[1.441539563149865],Bool[0],[0],[-2.0],Bool[0],[0.8643817907045865],[0.9990790615507735],[0.5812189151593717],[0.8440044336662758],Bool[0],[0.25091431807672726],Bool[0],[0.25],Bool[1],[0.25],[0.14377399371606384],[4.560624779770575e6],[0.484],[1.2415641713052255],[-2.0],Bool[1],[0.4],Bool[0],[0.36],[0.566180585311301],Bool[0],Bool[0],[4.231400568595057e6],[2.3626555227779657e8],[0.15469244442401192],Bool[0],[1.2355763153693133],[4.231400568595057e6],[1],[0.9184134529455491],Bool[0],Bool[1],[0.49974583199999995],[0.4],Bool[1],[0.9651333077644443],[0.484],[20],[0.9996371846998968],[4.560383411204681e6],[0.023089781672283365],[0.4999536],[1.3958057765816618],[0.09164761845241802]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.3752230470222884],[2.2649638241260245e8],[2.0],[20],[1],[0.010009290883973778],[0.49986398400000004],[0.0202633297203435],[0.957762194328873],[4.545810309825055e6],[0.48],[20],[20],[0.9991633789238314],[0.8632155293937964],[2.3648498944073892e8],[0.2],[0],Bool[0],[20],[4.5455799689714145e6],[0.5000412],[2.2649638241260245e8],[20],[1.3605317876774607],Bool[0],[0],[2.0],Bool[0],[0.9753689537529904],[0.9991641849721893],[0.5658677262529908],[0.9065884752767461],Bool[0],[0.5384844621226932],Bool[0],[0.32200000000000006],Bool[1],[0.32200000000000006],[0.23883006869758452],[4.542007189111591e6],[0.5059999999999999],[1.3548882108788785],[-2.0],Bool[1],[0.4],Bool[0],[0.48],[0.5297184807276879],Bool[0],Bool[0],[4.0235049261172214e6],[2.3648498944073892e8],[0.20044526651872227],Bool[0],[1.350761293628183],[4.0235049261172214e6],[1],[0.8199959666671381],Bool[0],Bool[1],[0.49986398400000004],[0.4],Bool[1],[0.957762194328873],[0.5059999999999999],[20],[0.9995694370363366],[4.541999956967706e6],[0.5002799109135381],[0.5000412],[1.3081270698611105],[0.25119431901219424]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.23711276201571396],[2.303536526093589e8],[2.0],[20],[1],[0.019441680585792948],[0.499871232],[0.19006524299332173],[0.9650164280799147],[4.6110873508761e6],[0.38],[20],[20],[0.9992414066470736],[0.8925078989957493],[2.3870438461622015e8],[0.16],[0],Bool[0],[20],[4.610639396750048e6],[0.5003022],[2.303536526093589e8],[20],[1.2911588665727751],Bool[0],[0],[2.0],Bool[0],[0.9513913624310699],[0.999242097940477],[0.5049223523057186],[0.9158927582061545],Bool[0],[0.4346326005731981],Bool[0],[0.425],Bool[1],[0.425],[0.019367345954172614],[4.607589410661963e6],[0.5209999999999999],[1.3287231686645011],[-2.0],Bool[1],[0.4],Bool[0],[0.38],[0.47876556166246087],Bool[0],Bool[0],[4.261535432714194e6],[2.3870438461622015e8],[0.277179519873604],Bool[0],[1.301937476330713],[4.261535432714194e6],[1],[0.8549824968270385],Bool[0],Bool[1],[0.499871232],[0.4],Bool[1],[0.9650164280799147],[0.5209999999999999],[20],[0.9994770160346471],[4.608538254067273e6],[0.3219976503178283],[0.5003022],[1.2665118597416507],[0.19468759319484127]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[0.16849246378932714],[2.2604168797673175e8],[-2.0],[20],[1],[0.00587224386414597],[0.499935648],[0.30707811102598653],[0.9692026990040765],[4.546932743322986e6],[0.26],[20],[20],[0.9991997600105967],[0.9474218208591165],[2.3322436907058284e8],[0.28],[0],Bool[0],[20],[4.545935488025198e6],[0.5002386],[2.2604168797673175e8],[20],[1.3625549308522402],Bool[0],[0],[-2.0],Bool[0],[0.9168492779597623],[0.9992001924380749],[0.549326896848638],[0.8358015095732619],Bool[0],[0.5841040546440897],Bool[0],[0.462],Bool[1],[0.462],[0.3516523259879344],[4.543294105912652e6],[0.518],[1.3441925818681715],[-2.0],Bool[1],[0.4],Bool[0],[0.26],[0.5312398329325838],Bool[0],Bool[0],[4.29371473838074e6],[2.3322436907058284e8],[0.43564221010867876],Bool[0],[1.3050709484319014],[4.29371473838074e6],[1],[0.9047006832305913],Bool[0],Bool[1],[0.499935648],[0.4],Bool[1],[0.9692026990040765],[0.518],[20],[0.9994363831707926],[4.542885383150768e6],[0.32608254720327134],[0.5002386],[1.3234492982484758],[0.08227565404176376]
