X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,plur_util_from_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_from_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_max_elec,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_util_max_elec,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_from_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,plur_qual_nonzero_pos,prop_qual_winner_smith,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_from_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.466148843960891e6],Bool[0],Bool[0],[2],[0.3404298900416897],[2.2935401276492277e8],[0.0],[6],[2],[4.4995043374715885e6],[0.2537176022382693],[0.208564984],[0.3880768517273353],[0.9981841492171983],[4.508121003132762e6],[0.96],[5],[13],[0.9922413229922102],[0.9906896555920516],[0.6744632103277581],[2.3534933108664176e8],[0.46],[0],Bool[0],[0],[4.4995043374715885e6],[0.22607619999999998],[2.3493129630668953e8],[1],[1.4417141063231815],Bool[0],[0.74],[0.0],Bool[0],[0],[0.9946614591679219],[0.74],[0.40603715158264525],[0.9923020313676099],[0],[0.446687414749691],[0.6757039964687195],Bool[0],[0.6108978636897116],[0.05089303480831146],Bool[0],[0.0],Bool[0],[4.508121003132762e6],[0.0],[0.38906142021642376],[4.473143948357422e6],[0.0],[3.9952594816715387e6],[1.2886878178019576],[0.0],Bool[1],[0.28],[14],Bool[0],[0.9907523483262705],[0.96],[0.6618149962810813],Bool[0],Bool[0],[0],[4.016427104986887e6],[2.3535867253645402e8],[0.5690921251297463],[0.0],[0.0],Bool[0],[1.2770784624016587],[4.098489423407649e6],[4.462816938666407e6],[2],[0.6811559321865159],Bool[0],Bool[1],[0.20856498400000006],[0.12],Bool[0],[0.974525874817499],[0.0],[4.016427104986887e6],[14],[0.9972403500078119],[4.468114732764171e6],[0.34523711804691504],[0.42],[0.22607619999999998],[1.437529102699014],[0.1337855784156125]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.1904897040573144e6],Bool[0],Bool[0],[0],[0.47634048470876994],[2.055423393973809e8],[2.0],[20],[1],[4.194822767198629e6],[0.6791170738539858],[0.4999545759999999],[0.08861141238182187],[0.9203449947726804],[4.1943591328910235e6],[0.94],[20],[20],[0.9990192616237796],[0.9990774684019387],[1.4392882437502082e-10],[2.2333183813114408e8],[0.42],[0],Bool[0],[20],[4.194822767198629e6],[0.5002918],[2.055423393973809e8],[20],[2.2266055481812695e-10],Bool[0],[0.76],[2.0],Bool[0],[0],[0.9997793221733062],[0.76],[1.1784328912728987e-10],[0.9990197702561591],[0],[1.2807772257460456e-10],[1.4486608583796376e-10],Bool[0],[0.7175584769282222],[0.10616234420923457],Bool[0],[0.404],Bool[1],[4.1943591328910235e6],[0.404],[0.23209592117442693],[4.190245563925747e6],[0.525],[3.789510411688328e6],[4.2523936645377136e-10],[0.0],Bool[1],[0.4],[20],Bool[0],[0.9990777445103657],[0.94],[1.4723812350592748e-10],Bool[0],Bool[0],[20],[3.899009467547299e6],[2.2333183813114408e8],[0.3390876871072057],[2.0],[2.0],Bool[0],[4.251979995491016e-10],[3.899009467547299e6],[4.1905213189224917e6],[1],[1.56800103407293e-10],Bool[0],Bool[1],[0.4999545759999999],[0.4],Bool[1],[0.9203449947726804],[0.525],[3.789510411688328e6],[20],[0.9997551965137708],[4.1907366573714325e6],[0.7543269341146486],[0.42],[0.5002918],[2.4974244351262435e-10],[0.08414394409581714]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String7[""C2_3""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.521168544554544e6],Bool[0],Bool[0],[0],[-0.034521340180938304],[2.2270349398970264e8],[-2.0],[20],[1],[4.524264992940728e6],[0.6651315659326356],[0.5000487120000001],[-0.04307390866605475],[0.9449672927366038],[4.523597149435741e6],[0.96],[20],[20],[0.9994555874389687],[0.9994631252958721],[1.1452425363393664e-10],[2.3567322985831434e8],[0.36],[0],Bool[0],[20],[4.524264992940728e6],[0.49992780000000003],[2.2270349398970264e8],[20],[1.387518338268384],Bool[0],[0.9],[-2.0],Bool[0],[0],[0.9997590294638004],[0.9],[0.5842306142588871],[0.9994557505804464],[0],[0.5842307769775205],[0.6931471805225481],Bool[0],[-0.05120809664939695],[0.03896136096185555],Bool[0],[0.5],Bool[1],[4.523597149435741e6],[0.5],[0.005080572863809422],[4.521134446326543e6],[0.502],[4.296329491793409e6],[1.5166134010265966],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9994633078357026],[0.96],[0.6931471802098902],Bool[0],Bool[0],[20],[4.273461047720492e6],[2.3567322985831434e8],[-0.017270757465881574],[-2.0],[-2.0],Bool[0],[1.5166134865811915],[4.273461047720492e6],[4.521815402228494e6],[1],[1.1452405011616889e-10],Bool[0],Bool[1],[0.5000487120000001],[0.4],Bool[1],[0.9449672927366038],[0.502],[4.296329491793409e6],[20],[0.9997040418560451],[4.521815402228494e6],[0.012653605283063215],[0.4],[0.49992780000000003],[1.387524017699858],[0.04883264940590465]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[3.9221401320265913e6],Bool[0],Bool[0],[0],[0.32198132678362373],[1.9219365375652957e8],[-2.0],[20],[1],[3.9680026895859335e6],[0.0048282982509368555],[0.49827675200000004],[0.318286742838214],[0.9157973803598386],[3.9726310624711555e6],[0.98],[20],[20],[0.9872646396974265],[0.9872903046745155],[2.3467929600671884e-10],[2.0986482149688187e8],[0.44],[0],Bool[0],[20],[3.9680026895859335e6],[0.557988],[1.9219365375652957e8],[20],[1.1466025529046646],Bool[0],[0.82],[-2.0],Bool[0],[0],[0.9975630793531011],[0.82],[0.5570846559747923],[0.9872804351750415],[0],[0.5748766463918146],[0.5549692982244613],Bool[0],[0.4663640940478717],[0.03622971796743658],Bool[0],[0.402],Bool[1],[3.9726310624711555e6],[0.402],[0.21041195988788758],[3.92203817454139e6],[0.6940000000000001],[3.136191689429224e6],[0.9750017332462046],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9873006904011586],[0.98],[0.49665377594554483],Bool[0],Bool[0],[20],[3.0944298245303044e6],[2.0986482149688187e8],[0.21956938082112482],[2.0],[2.0],Bool[0],[0.9611493581981796],[3.0944298245303044e6],[3.9099703077707943e6],[1],[3.253417090655515e-10],Bool[0],Bool[1],[0.49827675200000004],[0.4],Bool[1],[0.9157973803598386],[0.6940000000000001],[3.136191689429224e6],[20],[0.998278661876847],[3.9054763996418854e6],[-0.010705812804513992],[0.44],[0.557988],[1.0806843171450797],[0.021094844488642243]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.088946135968611e6],Bool[0],Bool[0],[0],[0.2550474723295737],[2.1090225610723892e8],[-2.0],[10],[2],[4.1668041030896334e6],[0.009504987322453414],[0.50092436],[0.06672009532981538],[0.9720603888114875],[4.149560309450116e6],[0.98],[10],[20],[0.9864504174722631],[0.9853926274204369],[1.1872324161286808e-10],[2.1696415010296175e8],[0.4],[0],Bool[0],[20],[4.1668041030896334e6],[0.538898],[2.1090225610723892e8],[10],[1.1985711747817636],Bool[0],[0.88],[-2.0],Bool[0],[0],[0.9946655381922975],[0.88],[0.24459405120421127],[0.9865261425704733],[0],[0.36718533670850967],[0.5081098915118143],Bool[0],[0.335322838530928],[0.06620411455491268],Bool[0],[0.531],Bool[0],[4.149560309450116e6],[0.531],[0.20647011375381394],[4.0933354995834003e6],[0.6289999999999999],[3.8323036613632776e6],[1.0750928432702889],[0.0],Bool[1],[0.2],[20],Bool[0],[0.9854377144080598],[0.98],[0.4731661653901791],Bool[0],Bool[0],[20],[3.7723112159962477e6],[2.1696415010296175e8],[0.22407087754004074],[-2.0],[-2.0],Bool[0],[1.0747517773232815],[3.7723112159962477e6],[4.102016361081582e6],[2],[1.6687342883444853e-10],Bool[0],Bool[1],[0.50092436],[0.2],Bool[0],[0.9720603888114875],[0.6289999999999999],[3.8323036613632776e6],[10],[0.9954655378823263],[4.102016361081582e6],[0.3301274028374039],[0.38],[0.538898],[1.162042227784513],[0.06106672403199635]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String7[""C2_3""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.472939458898957e6],Bool[0],Bool[0],[0],[0.08531885644203206],[2.2502379087031078e8],[2.0],[20],[1],[4.475294098938599e6],[0.6651315659326356],[0.5000355759999999],[0.008584975559390537],[0.9474235006340463],[4.475728394605427e6],[0.94],[20],[20],[0.9994906224097909],[0.9993768755696097],[1.145238782739072e-10],[2.375113037830681e8],[0.34],[0],Bool[0],[20],[4.475294098938599e6],[0.5000384],[2.2502379087031078e8],[20],[1.298863756485114],Bool[0],[0.84],[2.0],Bool[0],[0],[0.9996777620983813],[0.84],[0.5351625615382776],[0.9994907584524434],[0],[0.5351652992926247],[0.6931471803797868],Bool[0],[0.0614575398468383],[0.10821564766705415],Bool[0],[0.496],Bool[1],[4.475728394605427e6],[0.496],[-0.011344223971390448],[4.4734485588613525e6],[0.5],[4.286146116356313e6],[1.4486056823181999],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9993770882893469],[0.94],[0.6931471801896748],Bool[0],Bool[0],[20],[4.378795687011311e6],[2.375113037830681e8],[0.025996634102186552],[2.0],[2.0],Bool[0],[1.4486057763491431],[4.378795687011311e6],[4.472528767807577e6],[1],[1.1452409258103449e-10],Bool[0],Bool[1],[0.5000355759999999],[0.4],Bool[1],[0.9474235006340463],[0.5],[4.286146116356313e6],[20],[0.9996829361902951],[4.473180719912603e6],[0.008636111964350443],[0.32],[0.5000384],[1.2988632721690414],[0.10062478024820724]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.163830582617991e6],Bool[0],Bool[0],[0],[0.49747092487645245],[2.1000263566075838e8],[0.0],[20],[1],[4.1668755654273992e6],[0.6791170738539858],[0.49995994400000004],[0.5113950558551895],[0.9210258527985579],[4.1677511365368585e6],[0.9],[20],[20],[0.9991718234908827],[0.9990593118949695],[1.8551637810782324e-10],[2.2800949074628103e8],[0.4],[0],Bool[0],[20],[4.1668755654273992e6],[0.5002234],[2.1000263566075838e8],[20],[2.7095435028682986e-10],Bool[0],[0.82],[0.0],Bool[0],[0],[0.999693525082279],[0.82],[6.180890567245749e-11],[0.9991720116818413],[0],[6.985504087744602e-11],[2.443717152540367e-10],Bool[0],[0.8325154546113728],[0.0841362403723865],Bool[0],[0.401],Bool[1],[4.1677511365368585e6],[0.401],[0.3695332218013575],[4.164299502949732e6],[0.504],[3.7624873565015895e6],[3.0188727183447506e-10],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9990595770207693],[0.9],[2.484939790288292e-10],Bool[0],Bool[0],[20],[3.806247910711092e6],[2.2800949074628103e8],[0.5699547252936185],[0.0],[0.0],Bool[0],[3.2313929029169276e-10],[3.806247910711092e6],[4.164324888555264e6],[1],[2.0132308682676342e-10],Bool[0],Bool[1],[0.49995994400000004],[0.4],Bool[1],[0.9210258527985579],[0.504],[3.7624873565015895e6],[20],[0.9997448490663852],[4.1648920730757136e6],[0.5588200421101478],[0.38],[0.5002234],[2.83295946145398e-10],[0.1020887209440886]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.493866141942117e6],Bool[0],Bool[0],[3],[0.7273950009520592],[2.3211561095017064e8],[-1.0],[2],[2],[4.521285139213737e6],[0.01332400120084053],[0.207401308],[0.6895773866463202],[0.9882720724552676],[4.519723652770824e6],[0.94],[2],[15],[0.9951444804354711],[0.9942789619863475],[0.9916314925934115],[2.3440531992947736e8],[0.66],[0],Bool[0],[0],[4.521285139213737e6],[0.2296526],[2.3166245462187833e8],[6],[0.899120790510469],Bool[0],[0.78],[0.0],Bool[0],[0],[1.0],[0.78],[0.995148496810758],[0.9951337800629898],[0],[0.9938187996063477],[0.628766019253971],Bool[0],[0.9069678918011327],[0.07654442506152882],Bool[0],[0.0],Bool[0],[4.519723652770824e6],[0.0],[0.2960585341185724],[4.497778046148531e6],[0.0],[4.0711253243882516e6],[1.4998046616806575],[0.0],Bool[1],[0.24],[16],Bool[0],[0.9942742214178765],[0.94],[0.5688297556653577],Bool[0],Bool[0],[0],[4.13557027359781e6],[2.344116170826674e8],[0.38286671027836616],[0.0],[0.0],Bool[0],[1.4921752129093744],[4.091181073351522e6],[4.494594151746223e6],[3],[0.9697037247039856],Bool[0],Bool[1],[0.207401308],[0.04],Bool[0],[0.9902318386801306],[0.0],[4.13557027359781e6],[12],[1.0],[4.510824485582473e6],[0.6673877638616306],[0.6],[0.2296526],[0.9129577568910497],[0.09946179672618025]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String7[""C2_3""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3.929805316813384e6],Bool[0],Bool[0],[0],[0.2741745784369888],[1.880445589586788e8],[-2.0],[20],[1],[3.9694931026562285e6],[0.018632750950946554],[0.49539495999999994],[0.040378382922805794],[0.930981475319374],[3.9654132427328276e6],[0.94],[20],[20],[0.9904663645118041],[0.991020374488157],[2.132284770771013e-10],[2.019852853615266e8],[0.58],[0],Bool[0],[20],[3.9694931026562285e6],[0.550623],[1.880445589586788e8],[20],[1.1887624689787715],Bool[0],[0.86],[-2.0],Bool[0],[0],[1.0],[0.86],[0.8999054063342125],[0.9904288144265254],[0],[0.8676113012272028],[0.6434297857551858],Bool[0],[0.438613422889706],[0.017957154785767176],Bool[0],[0.5],Bool[1],[3.9654132427328276e6],[0.5],[0.14473789220940253],[3.9276084383165482e6],[0.701],[3.491429677739561e6],[1.2442799320603684],[0.0],Bool[1],[0.4],[20],Bool[0],[0.9910217015860738],[0.94],[0.5905946880421588],Bool[0],Bool[0],[20],[3.5788020556638506e6],[2.019852853615266e8],[0.4057049969603391],[-2.0],[-2.0],Bool[0],[1.2198941921370112],[3.5788020556638506e6],[3.9388051784528345e6],[1],[2.701484429091367e-10],Bool[0],Bool[1],[0.49539495999999994],[0.4],Bool[1],[0.930981475319374],[0.701],[3.491429677739561e6],[20],[1.0],[3.94069566468387e6],[0.07964040791664202],[0.56],[0.550623],[1.1555703291327606],[0.015894005410845943]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_3""]","String7[""F2_1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[4.191381569201484e6],Bool[0],Bool[0],[0],[0.31942449893497393],[2.1150353262729424e8],[0.0],[20],[1],[4.1957680872444995e6],[0.6791170738539858],[0.49969676799999996],[0.3502012417218301],[0.9203897759359048],[4.195441331299843e6],[0.94],[20],[20],[0.999090373118226],[0.999032339680674],[1.0042921459445741e-10],[2.29797785848094e8],[0.36],[0],Bool[0],[20],[4.1957680872444995e6],[0.5001186],[2.1150353262729424e8],[20],[1.5334215718092005e-10],Bool[0],[0.76],[0.0],Bool[0],[0],[0.9994638720606903],[0.76],[1.7167310475279344e-10],[0.9990913028242278],[0],[1.9982189293529435e-10],[1.2514101006256597e-10],Bool[0],[0.7288111584162725],[0.10372475523229736],Bool[0],[0.302],Bool[1],[4.195441331299843e6],[0.302],[0.35319133355830884],[4.1916250450839875e6],[0.507],[3.6686944979650155e6],[8.64379520342903e-11],[2.0],Bool[1],[0.4],[20],Bool[0],[0.9990331353730625],[0.94],[1.1617922472186312e-10],Bool[0],Bool[0],[20],[3.818581384113433e6],[2.29797785848094e8],[0.7027716735417175],[-2.0],[-2.0],Bool[0],[9.722791918676928e-11],[3.818581384113433e6],[4.191500978236156e6],[1],[1.0698464203137404e-10],Bool[0],Bool[1],[0.49969676799999996],[0.4],Bool[1],[0.9203897759359048],[0.507],[3.6686944979650155e6],[20],[0.9993713941198965],[4.1918491634060754e6],[0.15564276642005107],[0.36],[0.5001186],[1.5313926702069443e-10],[0.07321164421046694]
