X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_2""]","String7[""D2_2""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[6],[3.3012320560747636e6],Bool[0],Bool[0],[3],[0.07675688426829853],[2.0863598445595855e8],[-1.0],[0],[3],[3.3875186915887906e6],[0.013084237234168438],[0.204907744],[0.020862485125748433],[0.9937954259774413],[3.3906305607476616e6],[1.0],[0],[20],[0.9737337749350895],[0.9736336639833787],[1.0986122882694649],[2.0863598445595855e8],[0.52],[0],Bool[0],[0],[3.3875186915887906e6],[0.20256239999999998],[2.0627271649484533e8],[1],[1.609437911776434],Bool[1],[0.98],[0.0],Bool[1],[0],[0.9975012349348271],[0.98],[1.0986122881119773],[0.9739220874902574],[0],[1.0986122880084042],[0.6931471803941368],Bool[0],[0.005126551861373196],[0.10899429922706967],[5.813953488372094],Bool[0],[0.0],Bool[0],[3.3906305607476616e6],[0.0],[0.006907056077762591],[3.3015714953270997e6],[0.0],[3.0057407407407407e6],[1.6094379117776327],[0.0],[5.813953488372094],Bool[1],[6.906077348066297],[0.24],Bool[0],[6.830601092896175],[20],[0.9738221368876505],[1.0],[0.6931471801460718],Bool[0],Bool[1],[0],[2.786622950819672e6],[7],[2.0756054123711336e8],[-0.021650099852704337],[0.0],[0.0],Bool[0],[1.6094379117384918],[2.9670099009900987e6],[3.261834112149523e6],[3],[1.0986122880960894],Bool[0],Bool[0],[0.20490774399999998],[0.0],[7],Bool[0],[1.0],[0.0],[2.786622950819672e6],[12],[1.0],[3.261834112149523e6],[-0.05531820666121308],[0.5],[0.20256239999999998],[6],[1.609437911548508],[0.10640374647539438],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.501729e6],Bool[0],Bool[0],[0],[0.20127438120722507],[1.562199e8],[2.0],[10],[2],[2.51385e6],[0.009271452960566634],[0.4999361200000001],[0.2885348685209105],[0.8331728],[2.515801e6],[1.0],[10],[20],[0.9945409036724288],[0.9944065528235342],[3.606180080800838e-10],[1.875e8],[0.16],[0],Bool[0],[20],[2.51385e6],[0.5004134],[1.562199e8],[10],[1.6021868629886862e-10],Bool[0],[0.98],[2.0],Bool[0],[0],[0.9953349962813887],[0.98],[1.3247483628876227e-10],[0.9945501764370435],[0],[1.6423660845817702e-10],[3.4637710632469953e-10],Bool[0],[0.30749068526692],[0.1431884067932876],[4.7892720306513406],Bool[0],[0.4630000000000001],Bool[1],[2.515801e6],[0.4630000000000001],[0.025852907697530104],[2.502067e6],[0.534],[2.51595e6],[1.23361166381629e-10],[0.0],[4.7892720306513406],Bool[0],[6.684491978609625],[0.2],Bool[0],[6.613756613756614],[20],[0.99441543724508],[1.0],[4.473145810245193e-10],Bool[0],Bool[0],[20],[2.3786842105263155e6],[7],[1.875e8],[0.09109173428309736],[2.0],[2.0],Bool[0],[5.113323779544428e-10],[2.3786842105263155e6],[2.501225e6],[2],[7.367268673338682e-10],Bool[0],Bool[0],[0.4999361200000001],[0.2],[7],Bool[1],[0.8331728],[0.534],[2.51595e6],[10],[0.9955531671431047],[2.5017e6],[0.24403844840987732],[0.14],[0.5004134],[7],[2.2802196829677697e-10],[0.1405951629324423],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.500535e6],Bool[0],Bool[0],[0],[0.19846978298180057],[1.5633525e8],[0.0],[10],[2],[2.512325e6],[0.011988345006713827],[0.50005716],[0.07122349233227979],[0.833788],[2.513225e6],[1.0],[10],[20],[0.995023923444976],[0.9949507107401844],[1.9172238040872063e-10],[1.875e8],[0.14],[0],Bool[0],[20],[2.512325e6],[0.5001438],[1.5633525e8],[10],[2.2275279767464844e-10],Bool[0],[0.96],[0.0],Bool[0],[0],[0.9966440189142631],[0.96],[9.732525501883119e-11],[0.9950337954181044],[0],[1.9417374994660246e-10],[2.5504556727864643e-10],Bool[0],[0.09725464450904923],[0.0549505269856441],[4.545454545454544],Bool[0],[0.545],Bool[0],[2.513225e6],[0.545],[0.07786389024482726],[2.500719e6],[0.523],[2.3158461538461535e6],[1.7734625919252278e-10],[0.0],[4.545454545454544],Bool[0],[4.166666666666667],[0.2],Bool[0],[4.4326241134751765],[20],[0.9949604416573831],[1.0],[4.108155684798099e-10],Bool[0],Bool[0],[20],[2.508666666666667e6],[7],[1.875e8],[0.0155328663204227],[2.0],[2.0],Bool[0],[2.7345982167595677e-10],[2.508666666666667e6],[2.500025e6],[2],[3.4189395477687504e-10],Bool[0],Bool[0],[0.50005716],[0.2],[7],Bool[0],[0.833788],[0.523],[2.3158461538461535e6],[10],[0.9967410226736347],[2.50065e6],[0.11934411696907214],[0.14],[0.5001438],[7],[5.33971869997059e-10],[0.06834822906264654],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_2""]","String7[""D2_2""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4],[3.3834521658986206e6],Bool[0],Bool[1],[2],[-0.04245895193682274],[2.0150480434782606e8],[0.0],[5],[2],[3.4572603686636034e6],[0.012487940422663775],[0.20529824400000002],[-0.0746813276998348],[1.0],[3.4700396313364096e6],[1.0],[4],[18],[0.9775419502771981],[0.9750471249216132],[1.0986122882180909],[2.028319456521739e8],[0.52],[0],Bool[0],[0],[3.4572603686636034e6],[0.20490860000000002],[1.9878529347826087e8],[6],[1.6094379117618018],Bool[1],[0.98],[0.0],Bool[0],[0],[0.9981852003691016],[0.98],[1.0986122882175193],[0.9775163006458305],[0],[1.0986122880621214],[0.693147180226707],Bool[0],[-0.1475913860678839],[0.10006891953049157],[3.3156498673740056],Bool[1],[0.0],Bool[0],[3.4700396313364096e6],[0.0],[-0.03391003263484738],[3.3921093087557633e6],[0.0],[2.91178125e6],[1.6094379116460469],[0.0],[3.3156498673740056],Bool[1],[2.808988764044944],[0.28],Bool[1],[2.7533039647577096],[18],[0.9751967779346091],[1.0],[0.6931471800355314],Bool[0],Bool[1],[0],[2.366433962264151e6],[4],[1.9878529347826087e8],[-0.0799594901860752],[0.0],[0.0],Bool[0],[1.609437911589576],[2.91178125e6],[3.3873225806451635e6],[2],[1.0986122880519986],Bool[0],Bool[0],[0.20529824400000002],[0.1],[4],Bool[0],[0.9934569414098917],[0.0],[2.366433962264151e6],[14],[1.0],[3.4031935483870995e6],[-0.0818851131361236],[0.5],[0.20490859999999997],[4],[1.60943791161801],[0.10156233876787202],[4],[4]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.50221e6],Bool[0],Bool[0],[0],[-0.039372605325615984],[1.531413e8],[2.0],[11],[2],[2.512375e6],[0.012301069221819717],[0.49999360000000004],[-0.09455278669969874],[0.8167536],[2.513346e6],[1.0],[11],[20],[0.995676679613551],[0.9955692530992549],[8.561265384328375e-11],[1.875e8],[0.24],[0],Bool[0],[20],[2.512375e6],[0.5004959999999999],[1.531413e8],[11],[8.395688367614806e-11],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9961526186074473],[0.96],[2.1190344236337612e-10],[0.9956822471131639],[0],[5.301507439557045e-10],[1.8462164221648576e-10],Bool[0],[0.08542305361091196],[0.13200983411852313],[4.545454545454544],Bool[0],[0.45],Bool[0],[2.513346e6],[0.45],[0.03998527228153737],[2.50248e6],[0.544],[2.523e6],[1.471506654779717e-10],[0.0],[4.545454545454544],Bool[0],[5.63063063063063],[0.22],Bool[0],[5.681818181818182],[20],[0.9955746737102456],[1.0],[2.656419259964612e-10],Bool[0],Bool[0],[20],[2.5133333333333335e6],[7],[1.875e8],[0.3083155539258897],[2.0],[2.0],Bool[0],[2.1402959318918505e-10],[2.5133333333333335e6],[2.502325e6],[2],[1.207192473158999e-10],Bool[0],Bool[0],[0.49999360000000004],[0.22],[7],Bool[0],[0.8167536],[0.544],[2.523e6],[11],[0.9961991110645796],[2.503175e6],[0.03261054144113506],[0.24],[0.5004959999999999],[7],[1.529954937927358e-10],[0.13388366705464858],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_2""]","String7[""D2_2""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[5],[3.311669468599027e6],Bool[0],Bool[0],[3],[-0.07935946322729819],[2.0296478285714287e8],[-1.0],[0],[3],[3.377285024154584e6],[0.014696453449727255],[0.204510668],[0.11248524652868326],[0.9504747297891538],[3.366539227053132e6],[1.0],[0],[19],[0.9837068879146268],[0.9837014349890304],[1.0986122882869558],[2.0296478285714287e8],[0.58],[0],Bool[0],[0],[3.377285024154584e6],[0.205064],[1.9402159195402297e8],[4],[1.609437911806693],Bool[1],[0.92],[0.0],Bool[1],[0],[1.0],[0.92],[1.0986122882922529],[0.9836159817857844],[0],[1.0986122880270144],[0.6931471803928857],Bool[0],[0.01857934496500346],[0.062425521575714536],[5.5555555555555545],Bool[0],[0.0],Bool[0],[3.366539227053132e6],[0.0],[0.12059279737575024],[3.3116878260869496e6],[0.0],[2.9589363636363633e6],[1.6094379116117115],[0.0],[5.5555555555555545],Bool[1],[4.770992366412213],[0.2],Bool[0],[5.10204081632653],[20],[0.9836341225395461],[1.0],[0.6931471801769706],Bool[0],Bool[1],[0],[2.704875e6],[7],[2.0413124712643677e8],[-0.11159968250408114],[-1.0],[0.0],Bool[0],[1.6094379114866677],[3.0031284403669722e6],[3.336811594202893e6],[3],[1.098612288072031],Bool[0],Bool[0],[0.204510668],[0.0],[7],Bool[0],[1.0],[0.0],[2.704875e6],[10],[1.0],[3.336811594202893e6],[-0.016303353777872506],[0.58],[0.205064],[5],[1.609437911627541],[0.09727191652270455],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.500774e6],Bool[0],Bool[0],[0],[0.13771250188363648],[1.562743e8],[2.0],[10],[2],[2.5116e6],[0.01690104943487238],[0.499941968],[0.024319631908462095],[0.8334629333333333],[2.512314e6],[1.0],[10],[20],[0.9954066251272731],[0.9954066251272731],[2.438170515563613e-10],[1.875e8],[0.18],[0],Bool[0],[20],[2.5116e6],[0.5001548],[1.562743e8],[10],[1.5866265653944933e-10],Bool[0],[0.98],[2.0],Bool[0],[0],[0.996530267762602],[0.98],[1.4953078924765517e-10],[0.9954129324199877],[0],[2.86317693337327e-10],[8.906666110467023e-11],Bool[0],[0.27010325435395793],[0.09989297008298431],[4.512635379061371],Bool[0],[0.461],Bool[0],[2.512314e6],[0.461],[-0.02912106850336367],[2.500774e6],[0.5359999999999999],[2.7652222222222225e6],[9.218365806309372e-11],[0.0],[4.512635379061371],Bool[0],[5.760368663594469],[0.2],Bool[0],[5.760368663594469],[20],[0.9954129324199877],[1.0],[1.630753297419734e-10],Bool[0],Bool[0],[20],[2.7652222222222225e6],[7],[1.875e8],[0.21250320855404595],[2.0],[2.0],Bool[0],[1.318857106759376e-10],[2.7652222222222225e6],[2.502175e6],[2],[4.1772330503153085e-10],Bool[0],Bool[0],[0.499941968],[0.2],[7],Bool[0],[0.8334629333333333],[0.5359999999999999],[2.7652222222222225e6],[10],[0.996530267762602],[2.502175e6],[0.1634057790027213],[0.18],[0.5001548],[7],[4.837345249321127e-10],[0.09989297008298431],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.503452e6],Bool[0],Bool[0],[0],[0.2158133183010278],[1.5002685e8],[2.0],[12],[2],[2.51355e6],[0.020011924045428515],[0.50005636],[0.2303723758479273],[0.8001432],[2.513934e6],[0.98],[12],[20],[0.9958869246368441],[0.9958304394626112],[1.2950843941626462e-10],[1.875e8],[0.24],[0],Bool[0],[20],[2.51355e6],[0.5007188],[1.5002685e8],[12],[1.3322114374201081e-10],Bool[0],[0.94],[2.0],Bool[0],[0],[0.9973362510059205],[0.94],[8.95211886712419e-11],[0.9958920683249284],[0],[1.227034607257005e-10],[1.208227919416874e-10],Bool[0],[0.07122295152609485],[0.12164241490532815],[4.512635379061371],Bool[0],[0.5399999999999999],Bool[0],[2.513934e6],[0.5399999999999999],[0.18333263181563306],[2.503594e6],[0.542],[2.49635e6],[1.150658848254915e-10],[0.0],[4.512635379061371],Bool[0],[5.3418803418803416],[0.24],Bool[0],[5.387931034482758],[20],[0.9958352668883476],[0.98],[1.9245599246846352e-10],Bool[0],Bool[0],[20],[2.1784375e6],[7],[1.875e8],[-0.02109443472261938],[-2.0],[-2.0],Bool[0],[1.7548336624248134e-10],[2.1784375e6],[2.503675e6],[2],[1.61094763481842e-10],Bool[0],Bool[0],[0.50005636],[0.24],[7],Bool[0],[0.8001432],[0.542],[2.49635e6],[12],[0.9974598208296792],[2.503675e6],[0.19760281782084121],[0.22],[0.5007188],[7],[3.7242654969516095e-10],[0.12465888297269473],[7],[7]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String7[""C2_2""]","String7[""D2_2""]","String7[""F2_3""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[2],[3.28750918660295e6],Bool[0],Bool[0],[0],[0.04714387128801745],[1.535996358024691e8],[1.0],[20],[1],[3.38156698564603e6],[0.0035119999999999874],[0.2060123],[0.03100843219679503],[0.9535638533326473],[3.374233588516827e6],[1.0],[16],[19],[0.972829215358804],[0.9742980443888007],[1.0986122882268634],[1.61079549382716e8],[0.5],[0],Bool[0],[0],[3.38156698564603e6],[0.20348979999999997],[1.535996358024691e8],[16],[1.6094379117170918],Bool[0],[0.98],[0.0],Bool[0],[0],[1.0],[0.98],[1.0986122880510316],[0.9724229410987124],[0],[1.0986122879063327],[0.6931471802709589],Bool[0],[0.03743532035188528],[0.05648800000000004],[2.0],Bool[0],[0.0],Bool[0],[3.374233588516827e6],[0.0],[0.01258228907472562],[3.2825530143541466e6],[0.0],[2.8008080808080807e6],[1.609437911784645],[1.0],[2.0],Bool[0],[1.9872813990461045],[0.4],Bool[0],[1.9716088328075707],[19],[0.9738575887593629],[1.0],[0.6931471800233412],Bool[0],Bool[0],[0],[2.7240952380952383e6],[2],[1.61079549382716e8],[-0.06380899867450847],[1.0],[0.0],Bool[0],[1.609437911580917],[2.9572673267326737e6],[3.3500550239235526e6],[1],[1.098612288021808],Bool[0],Bool[0],[0.20601229999999998],[0.4],[2],Bool[0],[0.9535638533326473],[0.0],[2.7240952380952383e6],[20],[0.9982888120374818],[3.3373157894737925e6],[0.04500729578161284],[0.52],[0.20348979999999997],[2],[1.6094379115591715],[0.03648800000000002],[2],[2]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String7[""C2_2""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[7],[2.499908e6],Bool[0],Bool[0],[0],[0.21248524247457706],[1.5624545e8],[-2.0],[10],[2],[2.5122e6],[0.014362866566253405],[0.4999387600000001],[0.11430129066060694],[0.8333090666666667],[2.51379e6],[0.98],[10],[20],[0.9944593621583346],[0.9944776612207066],[1.0330683089281819e-10],[1.875e8],[0.08],[0],Bool[0],[20],[2.5122e6],[0.49997240000000004],[1.5624545e8],[10],[1.5636451521415723e-10],Bool[0],[0.88],[-2.0],Bool[0],[0],[0.9954175618679472],[0.88],[9.795714154985545e-11],[0.9944651666605702],[0],[1.8223512120853542e-10],[7.248275217440207e-11],Bool[0],[0.4439368713434125],[0.05986561564036572],[4.545454545454544],Bool[0],[0.47500000000000003],Bool[0],[2.51379e6],[0.47500000000000003],[0.09550876432451551],[2.499862e6],[0.507],[2.5095e6],[1.155670915610247e-10],[0.0],[4.545454545454544],Bool[0],[4.8076923076923075],[0.2],Bool[0],[5.165289256198346],[20],[0.9944837600778371],[0.98],[1.9132060932308672e-10],Bool[0],Bool[0],[20],[2.6693999999999995e6],[7],[1.875e8],[0.2778161914023531],[2.0],[2.0],Bool[0],[2.1162151347943704e-10],[2.6693999999999995e6],[2.499175e6],[2],[2.445692157877441e-10],Bool[0],Bool[0],[0.4999387600000001],[0.2],[7],Bool[0],[0.8333090666666667],[0.507],[2.5095e6],[10],[0.9954175618679472],[2.49905e6],[0.46881503419322157],[0.1],[0.49997240000000004],[7],[2.5090610365393197e-10],[0.07243129113856803],[7],[7]
