X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties,prop_true_gallagher_index,maj_true_gallagher_index,plur_true_gallagher_index
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N2_1""]",[-1.0],[5],[2.501707e6],Bool[0],Bool[0],[0],[0.13265686505213026],[1.562599e8],[2.0],[10],[2],[2.511425e6],[0.014585700329344201],[0.500035928],[0.01927868022284536],[0.8333861333333333],[2.511191e6],[1.0],[10],[20],[0.9965100225351238],[0.9962233059930526],[0.9538970784389649],[1.875e8],[0.34],[0],Bool[0],[20],[2.511425e6],[0.5004854000000001],[1.562599e8],[10],[1.269397327927434],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9987374236681382],[0.96],[0.9329524294816229],[0.9965149320234639],[0],[0.9193932508926767],[0.5751048702363635],Bool[0],[0.331871416327325],[0.07680763170414773],[4.0983606557377055],Bool[0],[0.533],Bool[0],[2.511191e6],[0.533],[0.04752634568340413],[2.502427e6],[0.529],[2.525875e6],[1.2262827446384683],[-1.0],[4.0983606557377055],Bool[0],[5.230125523012552],[0.2],Bool[0],[5.2742616033755265],[20],[0.9962287394156182],[1.0],[0.5379515244094908],Bool[0],Bool[0],[20],[2.525125e6],[7],[1.875e8],[0.33400265171421173],[2.0],[2.0],Bool[0],[1.1692789483550596],[2.525125e6],[2.503275e6],[2],[0.8940674788010629],Bool[0],Bool[0],[0.500035928],[0.2],[7],Bool[0],[0.8333861333333333],[0.529],[2.525875e6],[10],[0.9990061148805189],[2.503375e6],[0.22896232899970753],[0.32],[0.5004854000000001],[5],[1.228108718578372],[0.08321281324411522],[7],[7],[0.07833295786576683],[0.08321281324411522],[0.07680763170414773]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N2_2""]",[2.0],[1],[2.501135e6],Bool[0],Bool[0],[0],[0.3219485706650184],[1.2488395e8],[-2.0],[20],[1],[2.512425e6],[0.7071067811865476],[0.49953580000000003],[0.4099831775350839],[0.6660477333333333],[2.512887e6],[0.08163265306122448],[20],[20],[0.9945863065072166],[0.9953233074149375],[1.4898231651626887e-11],[1.875e8],[0.14],[1],Bool[0],[20],[2.512425e6],[0.4998566],[1.2488395e8],[20],[1.4848940534297765],Bool[0],[0.06],[-2.0],Bool[0],[0],[0.9956188732105832],[0.04081632653061224],[0.7064219710991964],[0.9945942112354396],[1],[0.7132741163598314],[0.654007058438036],Bool[0],[0.6736558940724617],[0.18306178008530347],[1.0],Bool[0],[0.3],Bool[1],[2.512887e6],[0.3],[0.5030846212290271],[2.499283e6],[0.498],[2.472611111111111e6],[0.888393757601823],[2.0],[1.0],Bool[0],[5.605381165919281],[0.4],Bool[0],[4.9603174603174605],[20],[0.995330294070251],[0.1],[0.6482187785501224],Bool[0],Bool[0],[20],[2.4815625e6],[6],[1.875e8],[0.5376017185744271],[2.0],[2.0],Bool[0],[0.8815780300140509],[2.4815625e6],[2.501e6],[1],[1.7892400382425154e-11],Bool[0],Bool[0],[0.49953580000000003],[0.4],[7],Bool[1],[0.6660477333333333],[0.498],[2.472611111111111e6],[20],[0.9959083473689198],[2.500025e6],[0.36875485663942137],[0.26],[0.4998566],[1],[1.4564116400190454],[0.1477197865148742],[6],[7],[0.6568529936964587],[0.1477197865148742],[0.18306178008530347]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_1""]","String3[""M_1""]","String7[""N2_1""]",[0.0],[6],[2.502445e6],Bool[0],Bool[0],[0],[0.3314821466152465],[1.562401e8],[2.0],[10],[2],[2.512975e6],[0.006465937794223558],[0.500019816],[0.2653038938161715],[0.8332805333333333],[2.512797e6],[0.98],[10],[20],[0.9959105331628461],[0.9958802879818783],[0.8184917731916657],[1.875e8],[0.26],[0],Bool[0],[20],[2.512975e6],[0.5005042000000001],[1.562401e8],[10],[1.381506274563473],Bool[0],[0.96],[2.0],Bool[0],[0],[0.9957375099049021],[0.96],[0.8488708550726743],[0.9959119376904494],[0],[0.8145010516686739],[0.570584988804809],Bool[0],[0.4472246894711542],[0.08691287692856567],[4.310344827586206],Bool[0],[0.506],Bool[0],[2.512797e6],[0.506],[0.22090326693987544],[2.502521e6],[0.54],[2.6368421052631577e6],[1.3688994777479038],[0.0],[4.310344827586206],Bool[0],[3.8819875776397517],[0.2],Bool[1],[3.943217665615142],[20],[0.9958812047976358],[0.98],[0.5214283437833838],Bool[0],Bool[0],[20],[2.502222222222222e6],[7],[1.875e8],[0.22551114801153488],[2.0],[2.0],Bool[1],[1.294786352415627],[2.502222222222222e6],[2.503725e6],[2],[0.7894026921485764],Bool[0],Bool[0],[0.500019816],[0.2],[7],Bool[0],[0.8332805333333333],[0.54],[2.6368421052631577e6],[10],[0.9957541844747638],[2.503725e6],[0.2553306633374713],[0.28],[0.5005042000000001],[6],[1.3202372709623338],[0.09745238927804696],[7],[7],[0.07808257280597254],[0.09745238927804696],[0.08691287692856567]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_3""]","String3[""M_2""]","String7[""N2_2""]",[-2.0],[1],[2.503595e6],Bool[0],Bool[0],[0],[0.406999923218347],[1.2500405e8],[-2.0],[20],[1],[2.5095e6],[0.0],[0.5000162],[0.26238556128217944],[0.6666882666666667],[2.510607e6],[0.68],[20],[20],[0.9970580819698185],[0.9972070499285631],[5.720539894876657e-10],[1.875e8],[0.38],[0],Bool[0],[20],[2.5095e6],[0.5006442],[1.2500405e8],[20],[1.4687175913177732],Bool[0],[0.48],[-2.0],Bool[0],[0],[0.9980470546030733],[0.48],[0.6500743805477761],[0.9970647253202367],[0],[0.643121122226408],[0.6320759505023874],Bool[0],[0.6394840721730848],[0.191517269696495],[1.0],Bool[0],[0.5],Bool[1],[2.510607e6],[0.5],[0.13823669395942784],[2.503221e6],[0.519],[2.49935e6],[1.495084144097921],[-2.0],[1.0],Bool[0],[4.71698113207547],[0.4],Bool[0],[4.752851711026617],[20],[0.9972110436901188],[0.68],[0.622560045930317],Bool[0],Bool[0],[20],[2.49675e6],[6],[1.875e8],[0.6011983455718147],[-2.0],[-2.0],Bool[0],[1.4805721074087879],[2.49675e6],[2.501875e6],[1],[5.592891209027776e-10],Bool[0],Bool[0],[0.5000162],[0.4],[7],Bool[1],[0.6666882666666667],[0.519],[2.49935e6],[20],[0.998923099353537],[2.502175e6],[0.3031675692183444],[0.3],[0.5006442],[1],[1.460612469485091],[0.1948861836867868],[6],[7],[0.6353172314615746],[0.1948861836867868],[0.191517269696495]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N2_1""]",[2.0],[5],[2.497637e6],Bool[0],Bool[0],[0],[0.15463271460154987],[1.468563e8],[2.0],[13],[2],[2.5136e6],[0.015506774260268948],[0.499908384],[0.09004600557370707],[0.7832336],[2.515769e6],[0.98],[13],[20],[0.9932839620807793],[0.9927926610114045],[0.9023852711030336],[1.875e8],[0.16],[0],Bool[0],[20],[2.5136e6],[0.4997746],[1.468563e8],[13],[1.3399637073174595],Bool[0],[0.9],[2.0],Bool[0],[0],[0.9935285997959931],[0.9],[0.6635973778085613],[0.9932926799912742],[0],[0.6385758714607589],[0.611196078654666],Bool[0],[0.5197651448092792],[0.2022865871974709],[4.0983606557377055],Bool[0],[0.52],Bool[0],[2.515769e6],[0.52],[0.477735713889069],[2.498873e6],[0.495],[2.474166666666667e6],[1.3407758743211493],[2.0],[4.0983606557377055],Bool[0],[2.545824847250509],[0.26],Bool[0],[2.3900573613766727],[20],[0.9928024291617781],[0.98],[0.5816089387940461],Bool[0],Bool[0],[20],[2.6272352941176468e6],[7],[1.875e8],[0.30908279786618825],[2.0],[2.0],Bool[0],[1.3225109815856997],[2.6272352941176468e6],[2.49655e6],[2],[0.8745276805790431],Bool[0],Bool[0],[0.499908384],[0.26],[7],Bool[0],[0.7832336],[0.495],[2.474166666666667e6],[13],[0.9937892263926537],[2.4979e6],[0.2634338535798186],[0.14],[0.4997746],[5],[1.2812533752572537],[0.18310680861180448],[7],[7],[0.08107048390135584],[0.18310680861180448],[0.2022865871974709]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L2""]","String3[""L_3""]","String3[""M_2""]","String7[""N2_2""]",[-2.0],[1],[2.500003e6],Bool[0],Bool[0],[0],[0.6148245852642853],[1.2499015e8],[2.0],[20],[1],[2.5104e6],[0.7071067811865476],[0.4999606],[0.2232092437454032],[0.6666141333333333],[2.512799e6],[0.62],[20],[20],[0.9944834425674318],[0.9949076706891399],[2.5064182443330206e-10],[1.875e8],[0.14],[0],Bool[0],[20],[2.5104e6],[0.4997874],[1.2499015e8],[20],[1.0014539260948006],Bool[0],[0.58],[2.0],Bool[0],[0],[0.9956112119533296],[0.58],[0.7223376617109376],[0.9944923553244931],[0],[0.7280235118177691],[0.5085914193243275],Bool[0],[0.7669897296793822],[0.14509894224287095],[1.0],Bool[0],[0.5],Bool[1],[2.512799e6],[0.5],[0.31389172704516244],[2.498937e6],[0.4759999999999999],[2.5014e6],[1.0618807069569813],[-2.0],[1.0],Bool[0],[5.482456140350877],[0.4],Bool[0],[5.707762557077625],[20],[0.994916392534862],[0.62],[0.5044188566372619],Bool[0],Bool[0],[20],[2.5005e6],[7],[1.875e8],[0.6945724592193306],[2.0],[2.0],Bool[0],[1.0836282527184151],[2.5005e6],[2.49935e6],[1],[2.897168140818098e-10],Bool[0],Bool[0],[0.4999606],[0.4],[7],Bool[1],[0.6666141333333333],[0.4759999999999999],[2.5014e6],[20],[0.9954760818903209],[2.498575e6],[0.6587669300216455],[0.16],[0.4997874],[1],[0.9797134043771001],[0.15809700515822556],[7],[7],[0.6536669664592207],[0.15809700515822556],[0.14509894224287095]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_2""]","String7[""N2_1""]",[0.0],[5],[2.500582e6],Bool[0],Bool[0],[0],[0.4590103485793609],[1.4998495e8],[2.0],[12],[2],[2.508375e6],[0.010849422134116488],[0.49997385599999994],[0.12383328665417806],[0.7999197333333333],[2.509614e6],[1.0],[12],[20],[0.9963189558234852],[0.9964010401599609],[0.9119900432301025],[1.875e8],[0.38],[0],Bool[0],[20],[2.508375e6],[0.5000751999999999],[1.4998495e8],[12],[1.4379647985638493],Bool[0],[0.94],[2.0],Bool[0],[0],[0.9981843637377786],[0.94],[0.9193211888117854],[0.9963258009671285],[0],[0.8802053437419289],[0.5539939397653219],Bool[0],[0.46023536058879844],[0.08204069146466282],[4.0983606557377055],Bool[0],[0.492],Bool[0],[2.509614e6],[0.492],[0.06476121380159161],[2.500376e6],[0.508],[2.3492352941176468e6],[1.2480021271945585],[0.0],[4.0983606557377055],Bool[0],[4.545454545454546],[0.24],Bool[0],[4.480286738351254],[20],[0.9964064930638347],[1.0],[0.5238062437031435],Bool[0],Bool[0],[20],[2.6459411764705884e6],[7],[1.875e8],[0.2725457945780651],[2.0],[2.0],Bool[0],[1.1958356828398014],[2.6459411764705884e6],[2.5031e6],[2],[0.888403963045601],Bool[0],Bool[0],[0.49997385599999994],[0.24],[7],Bool[0],[0.7999197333333333],[0.508],[2.3492352941176468e6],[12],[0.9984422943742461],[2.503325e6],[0.1931518474181308],[0.36],[0.5000751999999999],[5],[1.3817080779278748],[0.07240079458127514],[6],[7],[0.09451833185155141],[0.07240079458127514],[0.08204069146466282]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_2""]","String7[""N2_2""]",[2.0],[1],[2.497831e6],Bool[0],Bool[0],[0],[0.6247416981587575],[1.2506625e8],[-2.0],[20],[1],[2.5142e6],[0.7071067811865476],[0.500265],[0.4066200109472195],[0.66702],[2.513725e6],[0.38],[20],[20],[0.993677112651543],[0.993677112651543],[2.6893886441641598e-11],[1.875e8],[0.1],[0],Bool[0],[20],[2.5142e6],[0.4995662],[1.2506625e8],[20],[1.5646300547790737],Bool[0],[0.38],[-2.0],Bool[0],[0],[0.9948787989807766],[0.38],[0.4156598108809461],[0.993682721458551],[0],[0.4311393627431355],[0.39867178208943943],Bool[0],[0.7453380807342209],[0.1503782220402941],[1.0],Bool[0],[0.6],Bool[1],[2.513725e6],[0.6],[0.21401650769298927],[2.497831e6],[0.47200000000000003],[2.342473684210526e6],[1.128125493251184],[2.0],[1.0],Bool[0],[5.506607929515419],[0.4],Bool[0],[5.506607929515419],[20],[0.993682721458551],[0.38],[0.39326110044976303],Bool[0],Bool[0],[20],[2.342473684210526e6],[7],[1.875e8],[0.605599102416083],[-2.0],[-2.0],Bool[0],[1.1356824755835282],[2.342473684210526e6],[2.497275e6],[1],[2.6971997550315123e-11],Bool[0],Bool[0],[0.500265],[0.4],[7],Bool[1],[0.66702],[0.47200000000000003],[2.342473684210526e6],[20],[0.9948787989807766],[2.497275e6],[0.42340032677361616],[0.1],[0.4995662],[1],[1.5489281565097592],[0.1503782220402941],[7],[7],[0.6573238544766195],[0.1503782220402941],[0.1503782220402941]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String7[""C2_1""]","String7[""D2_1""]","String7[""F2_1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_1""]","String3[""M_2""]","String7[""N2_1""]",[0.0],[5],[2.499103e6],Bool[0],Bool[0],[0],[0.1659466050537486],[1.5624325e8],[-2.0],[10],[2],[2.51165e6],[0.020101535497983318],[0.49990276],[0.49994892909475674],[0.8332973333333333],[2.513245e6],[0.88],[10],[20],[0.9938668931998274],[0.9943730117835706],[0.9435466628085882],[1.875e8],[0.14],[0],Bool[0],[20],[2.51165e6],[0.4995662],[1.5624325e8],[10],[1.2826907892247401],Bool[0],[0.66],[-2.0],Bool[0],[0],[0.9963352160813366],[0.66],[0.8152871411051097],[0.9938815330247059],[0],[0.8455623315836598],[0.5921266548913429],Bool[0],[0.4497550862817134],[0.1082821767051254],[4.0983606557377055],Bool[0],[0.478],Bool[0],[2.513245e6],[0.478],[0.06730383523027511],[2.497831e6],[0.48800000000000004],[2.607052631578947e6],[1.3693359115967323],[0.0],[4.0983606557377055],Bool[0],[4.4642857142857135],[0.2],Bool[0],[4.940711462450593],[20],[0.9943886518408838],[0.88],[0.5270765552438932],Bool[0],Bool[0],[20],[2.485625e6],[7],[1.875e8],[0.31722500462786357],[-2.0],[-2.0],Bool[0],[1.3396504566055822],[2.485625e6],[2.5007e6],[2],[0.8904127584679791],Bool[0],Bool[0],[0.49990276],[0.2],[7],Bool[0],[0.8332973333333333],[0.48800000000000004],[2.607052631578947e6],[10],[0.9955607766769832],[2.497725e6],[-0.01176482519502262],[0.2],[0.4995662],[5],[1.2366956645316478],[0.08969275217095303],[7],[7],[0.09420567813035476],[0.08969275217095303],[0.1082821767051254]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String7[""C2_1""]","String7[""D2_2""]","String7[""F2_2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N2_1""]",[0.0],[6],[3.163173235294119e6],Bool[0],Bool[0],[0],[0.6386561575307235],[2.0378312307692307e8],[-2.0],[11],[2],[3.2383529411764713e6],[0.01182304320888629],[0.359280488],[0.2786482267254147],[1.0],[3.262001470588235e6],[1.0],[0],[12],[0.9733662254453129],[0.9697031910668347],[5.41524019772414e-10],[2.0378312307692307e8],[0.46],[1],Bool[0],[0],[3.2383529411764713e6],[0.3360772],[2.0378312307692307e8],[0],[1.3247337561776924],Bool[0],[0.94],[0.0],Bool[1],[0],[0.997720576072964],[0.9387755102040817],[0.8735471646013108],[0.973739897663552],[1],[0.8674657002546098],[0.6088642644607523],Bool[0],[0.809872792207966],[0.11167717775803612],[4.310344827586206],Bool[1],[0.0],Bool[0],[3.262001470588235e6],[0.0],[0.4352954327171605],[3.1751220588235306e6],[0.0],[2.957178571428571e6],[1.10011064996977],[0.0],[4.310344827586206],Bool[0],[5.605381165919282],[0.4],Bool[0],[6.097560975609756],[16],[0.9701590939381078],[1.0],[0.605295975305087],Bool[0],Bool[0],[0],[2.1288421052631577e6],[7],[2.0378312307692307e8],[0.6478874673359956],[-2.0],[0.0],Bool[0],[1.0952820972782298],[2.7930384615384615e6],[3.1343308823529463e6],[2],[5.528276165698686e-10],Bool[0],Bool[0],[0.35928048799999995],[0.22],[7],Bool[1],[1.0],[0.0],[2.1288421052631577e6],[20],[0.9985542052372158],[3.1586323529411694e6],[0.6870770038853571],[0.44],[0.3360772],[6],[1.3205514646567327],[0.14089837483803708],[7],[7],[0.07899032872447108],[0.14089837483803708],[0.11167717775803612]
