X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties,prop_true_gallagher_index,maj_true_gallagher_index,plur_true_gallagher_index
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_3""]","String7[""F3_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[3],[2.529515e6],Bool[0],Bool[0],[2],[0.8251400728580053],[1.6368977777777773e8],[2.0],[9],[2],[2.591175e6],[0.008988198227498015],[0.501043232],[0.47211115027324807],[0.9414660768582853],[2.597319e6],[0.24489795918367346],[9],[20],[0.9712680652626805],[0.9738946197983382],[1.002227356688234],[1.73866888888889e8],[0.16],[1],Bool[0],[20],[2.591175e6],[0.5045386],[1.6368977777777773e8],[9],[1.3843847488806609],Bool[1],[0.18],[2.0],Bool[0],[2],[0.9846275350933626],[0.16326530612244897],[0.9849800073266686],[0.971418706231269],[1],[0.98228786353941],[0.6531936547565855],Bool[0],[0.9069575985588589],[0.13029734284320613],[2.9976019184652274],Bool[0],[0.5820000000000001],Bool[0],[2.597319e6],[0.5820000000000001],[0.4132746813227709],[2.522693e6],[0.536],[2.419176470588235e6],[1.4037198574477725],[0.0],[2.9976019184652274],Bool[1],[2.9976019184652274],[0.18],Bool[1],[2.7114967462039044],[20],[0.9740732034293594],[0.26],[0.6421320223270341],Bool[0],Bool[1],[20],[2.563e6],[3],[1.73866888888889e8],[0.7374482500768599],[2.0],[2.0],Bool[1],[1.4075566460570261],[2.563e6],[2.5377e6],[2],[0.9956457786069585],Bool[0],Bool[1],[0.501043232],[0.18],[3],Bool[0],[0.9414660768582853],[0.536],[2.419176470588235e6],[9],[0.9740586210806509],[2.527075e6],[0.7444720780000228],[0.16],[0.5045386],[3],[1.3809778255903515],[0.00878393715824516],[3],[3],[0.00878393715824516],[0.00878393715824516],[0.13029734284320613]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String7[""C3_3""]","String7[""D3_1""]","String7[""F3_2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[2.9607039344262243e6],Bool[0],Bool[0],[0],[-0.02106262772956082],[1.886722777777778e8],[0.0],[10],[2],[3.0982049180327826e6],[0.01447335948852909],[0.36822082400000006],[-0.02893815482953197],[0.9532402548078662],[3.114399672131142e6],[1.0],[2],[16],[0.9533462702440143],[0.9506499634326812],[1.1452266047538852e-10],[1.9793853703703707e8],[0.3],[0],Bool[0],[0],[3.0982049180327826e6],[0.3324244],[1.886829814814815e8],[2],[1.1452284898156661e-10],Bool[0],[0.94],[0.0],Bool[0],[0],[0.9723846512646185],[0.94],[1.1452451039654343e-10],[0.9540178689020553],[0],[1.1452451057460426e-10],[1.1452501977549968e-10],Bool[0],[-0.038123075342030494],[0.23454506316697438],[3.351206434316354],Bool[0],[0.0],Bool[0],[3.114399672131142e6],[0.0],[-0.023213555645324763],[2.9691013114754055e6],[0.0],[2.9647142857142864e6],[1.1452504504473134e-10],[0.0],[3.351206434316354],Bool[0],[4.512635379061372],[0.34],Bool[0],[4.496402877697841],[14],[0.9516429143235728],[1.0],[1.1452438200476093e-10],Bool[0],Bool[0],[0],[2.166777777777777e6],[5],[1.9793853703703707e8],[-0.016798216871514587],[-1.0],[0.0],Bool[0],[1.1452460919835295e-10],[2.876488888888889e6],[2.9308770491803214e6],[2],[1.1452280679216597e-10],Bool[0],Bool[0],[0.368220824],[0.2],[5],Bool[0],[0.9531861789120658],[0.0],[2.166777777777777e6],[17],[0.9723846512646185],[2.9317131147541003e6],[0.004112691024995126],[0.3],[0.3324244],[5],[1.1452385295462137e-10],[0.23391867530404664],[5],[5],[0.0113466583627075],[0.23391867530404664],[0.23454506316697438]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[4],[3.0967562189054773e6],Bool[0],Bool[0],[2],[0.5456622516944064],[1.9642044117647058e8],[1.0],[3],[2],[3.2617189054726493e6],[0.010530542418848958],[0.19926185600000001],[0.28607981256341203],[0.9478400531776963],[3.2735098507462745e6],[0.58],[3],[20],[0.9470524950261066],[0.9460048572022772],[1.0587102663176977],[2.1108657843137252e8],[0.3],[0],Bool[0],[0],[3.2617189054726493e6],[0.2012816],[1.9910033170731705e8],[3],[1.4897688746993856],Bool[1],[0.56],[0.0],Bool[0],[0],[0.9614076175757356],[0.56],[0.8818802182377976],[0.9475928414779466],[0],[0.8802898001054448],[0.6569839999940901],Bool[0],[0.7442358319979356],[0.06367902172615404],[3.993610223642172],Bool[0],[0.0],Bool[0],[3.2735098507462745e6],[0.0],[0.25789702584545626],[3.100185671641797e6],[0.0],[3.0859210526315793e6],[1.2718111423817036],[0.0],[3.993610223642172],Bool[1],[4.664179104477612],[0.2],Bool[0],[4.770992366412213],[20],[0.946555852302084],[0.58],[0.6279202605824546],Bool[0],Bool[1],[0],[2.544446153846154e6],[5],[2.1005688780487812e8],[0.4750535922207821],[1.0],[0.0],Bool[0],[1.2771670991312185],[3.0997238095238097e6],[3.0930746268656706e6],[2],[1.0350580594435652],Bool[0],Bool[0],[0.19926185599999996],[0.06],[5],Bool[0],[0.930520749524252],[0.0],[2.544446153846154e6],[10],[0.9625856870835918],[3.108300995024882e6],[0.6690900200351585],[0.28],[0.2012816],[4],[1.4872525142310595],[0.07883233986125238],[5],[5],[0.24018987865436794],[0.07883233986125238],[0.06367902172615404]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_1""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[5],[3.0962184375e6],Bool[0],Bool[0],[2],[0.10813844437168262],[1.9279891379310346e8],[0.0],[4],[2],[3.2618046875e6],[0.004047756945792961],[0.34547066400000004],[0.3325724459945148],[0.9562744808680407],[3.2589109375e6],[0.98],[1],[5],[0.9483322409758245],[0.9500776476804224],[1.135402774662747e-10],[1.9709708620689654e8],[0.26],[0],Bool[0],[0],[3.2618046875e6],[0.3386802],[1.8847891379310346e8],[2],[1.9814054923766453e-10],Bool[1],[0.8],[0.0],Bool[0],[0],[0.9510430103045975],[0.8],[1.1778865814464043e-9],[0.948602515060646],[0],[1.3516422874967825e-9],[4.932067613388957e-11],Bool[0],[0.5100087237209455],[0.07985194229322169],[3.511235955056179],Bool[0],[0.0],Bool[0],[3.2589109375e6],[0.0],[0.4650450677227098],[3.0905303125e6],[0.0],[2.8090285714285714e6],[2.876824186830371e-10],[0.0],[3.511235955056179],Bool[1],[2.7533039647577082],[0.38],Bool[0],[2.759381898454745],[8],[0.9505359529777347],[0.98],[5.0331040878631474e-11],Bool[0],Bool[1],[0],[2.0242105263157887e6],[5],[1.9709708620689654e8],[0.4838490851988003],[0.0],[0.0],Bool[0],[3.0284512950933726e-10],[2.9038518518518517e6],[3.1027265625e6],[2],[1.1163164867235085e-10],Bool[0],Bool[0],[0.3454706640000001],[0.08],[5],Bool[0],[0.9781926131100629],[0.0],[2.0242105263157887e6],[19],[0.9528873960366496],[3.100875e6],[0.2667326830642929],[0.26],[0.3386802],[5],[1.9765208392231437e-10],[0.08200397970830446],[5],[5],[0.005037130929408115],[0.08200397970830446],[0.07985194229322169]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_3""]","String7[""F3_2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[1],[3.17574e6],Bool[0],Bool[0],[0],[0.23040316903317623],[1.5713486206896552e8],[0.0],[20],[1],[3.387185714285711e6],[0.7071067811865476],[0.3449352],[0.15584318046033424],[0.8019401452706781],[3.4140428571428587e6],[0.18],[9],[9],[0.9486038755894766],[0.9301992191913229],[1.3093318572515476e-10],[1.9594337931034485e8],[0.26],[0],Bool[0],[0],[3.387185714285711e6],[0.33914820000000007],[1.5713486206896552e8],[9],[1.2827721300917871],Bool[0],[0.12],[0.0],Bool[0],[0],[0.9340165032514671],[0.12],[0.6690365039353892],[0.9492952861646013],[0],[0.6663475579014374],[0.6202696656556304],Bool[0],[0.35938317961804983],[0.1701201565482468],[1.0],Bool[0],[0.0],Bool[1],[3.4140428571428587e6],[0.0],[0.018612597527671235],[3.2385742857142854e6],[0.0],[2.843083333333334e6],[1.090103195028785],[0.0],[1.0],Bool[0],[5.89622641509434],[0.4],Bool[0],[5.020080321285141],[10],[0.931372970602562],[0.18],[0.5809687833183754],Bool[0],Bool[0],[0],[2.0722777777777778e6],[8],[1.9594337931034485e8],[0.37867946992907986],[0.0],[0.0],Bool[0],[1.0551605260323342],[2.75527027027027e6],[3.175257142857141e6],[1],[1.839637386724326e-10],Bool[0],Bool[0],[0.3449351999999999],[0.4],[8],Bool[1],[0.8019401452706781],[0.0],[2.0722777777777778e6],[20],[0.9576779568982356],[3.2401071428571376e6],[0.0352471276328476],[0.2],[0.3391482],[1],[1.2419364600006773],[0.12455387454431115],[7],[8],[0.6530737076808406],[0.12455387454431115],[0.1701201565482468]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_3""]","String7[""F3_1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N3_2""]",[2.0],[2],[2.696661e6],Bool[0],Bool[1],[0],[0.34132023364335906],[1.2499755e8],[-2.0],[20],[1],[2.774075e6],[0.00812121212121214],[0.500500248],[0.025492509479831522],[0.997787263594619],[2.772907e6],[0.5],[20],[20],[0.9634268296773025],[0.9725032249548939],[0.8706982193780768],[1.2527475e8],[0.24],[0],Bool[0],[20],[2.774075e6],[0.5342986000000001],[1.2499755e8],[20],[1.3301401479964965],Bool[0],[0.38],[-2.0],Bool[0],[0],[0.9788364194807215],[0.38],[0.908986881813086],[0.9638370202231235],[0],[0.8900252679007233],[0.5043117204381258],Bool[0],[0.18757113818666604],[0.07312400000000002],[1.9872813990461045],Bool[0],[0.5230000000000001],Bool[1],[2.772907e6],[0.5230000000000001],[0.008051849736179499],[2.671493e6],[0.6310000000000001],[2.5733125e6],[1.3569890827171365],[2.0],[1.9872813990461045],Bool[0],[2.0],[0.4],Bool[1],[1.9872813990461045],[20],[0.9728443606090613],[0.5],[0.497905222294406],Bool[0],Bool[1],[20],[2.3742e6],[2],[1.2527475e8],[0.09850023803139127],[-2.0],[-2.0],Bool[0],[1.306382886964673],[2.3742e6],[2.677375e6],[1],[0.8952693562072974],Bool[1],Bool[0],[0.500500248],[0.4],[2],Bool[1],[0.997787263594619],[0.6310000000000001],[2.5733125e6],[20],[0.9774285960929452],[2.688225e6],[0.03882317745167203],[0.34],[0.5342986000000001],[2],[1.2681924708004464],[0.033124000000000015],[2],[2],[0.006875999999999993],[0.033124000000000015],[0.07312400000000002]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_1""]","String7[""D3_1""]","String7[""F3_1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_1""]",[2.0],[1],[2.501024e6],Bool[0],Bool[0],[0],[0.5560622780955606],[1.1847105263157892e8],[2.0],[20],[1],[2.5084e6],[0.0],[0.5001900000000001],[0.5577522134166553],[0.6548050551724061],[2.509172e6],[0.92],[20],[20],[0.9963709143892886],[0.9967527136441823],[2.4912925575625514e-10],[1.809256842105262e8],[0.22],[0],Bool[0],[20],[2.5084e6],[0.5000132],[1.1847105263157892e8],[20],[1.4458843090370161],Bool[0],[0.7],[2.0],Bool[0],[0],[0.9972289997945749],[0.7],[0.06215936131875628],[0.9963739607731665],[0],[0.058999666135475796],[0.3913816261745155],Bool[0],[0.8440152262067775],[0.1992070799143444],[1.0],Bool[0],[0.6],Bool[1],[2.509172e6],[0.6],[0.7567429767670852],[2.500066e6],[0.49700000000000005],[2.335466666666666e6],[0.8049495004597336],[2.0],[1.0],Bool[0],[1.5375153751537511],[0.4],Bool[0],[1.8518518518518516],[20],[0.9967560452431377],[0.92],[0.3825476414079323],Bool[0],Bool[0],[20],[2.690307692307693e6],[5],[1.809256842105262e8],[0.7439437820493172],[2.0],[2.0],Bool[0],[0.841242543331183],[2.690307692307693e6],[2.499825e6],[1],[2.672359622432344e-10],Bool[0],Bool[0],[0.5001900000000001],[0.4],[5],Bool[1],[0.6548050551724061],[0.49700000000000005],[2.335466666666666e6],[20],[0.9965870630353912],[2.499475e6],[0.04027379194433029],[0.32],[0.5000132],[1],[1.4585898788375675],[0.2591685565187259],[5],[5],[0.4167694094916276],[0.2591685565187259],[0.1992070799143444]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[6],[3.3934353913043486e6],Bool[0],Bool[0],[3],[0.46961566556643014],[1.9698686440677962e8],[0.0],[1],[3],[3.5571543478260823e6],[0.009880230080146865],[0.20234066000000003],[0.44337601379164265],[0.9790633995783963],[3.54671208695652e6],[0.74],[1],[20],[0.9612910318482607],[0.9567834400159331],[7.547242173273274e-11],[2.0270991525423726e8],[0.34],[0],Bool[0],[0],[3.5571543478260823e6],[0.204593],[1.995935056818182e8],[3],[1.4533281054657692],Bool[1],[0.44],[0.0],Bool[0],[0],[0.9750542008352845],[0.44],[0.8123425682471952],[0.9615522705594048],[0],[0.7942616191940789],[0.33442389646742077],Bool[0],[0.6806847580814379],[0.15274476069574366],[5.707762557077626],Bool[0],[0.0],Bool[0],[3.54671208695652e6],[0.0],[0.25346534931425757],[3.4094225217391313e6],[0.0],[2.8416944444444445e6],[1.083081600704305],[0.0],[5.707762557077626],Bool[1],[6.127450980392156],[0.2],Bool[0],[6.613756613756614],[20],[0.957181386291839],[0.74],[0.3528627251374431],Bool[0],Bool[1],[0],[2.7719454545454546e6],[9],[2.0386167613636363e8],[0.47063157311491655],[-1.0],[0.0],Bool[0],[1.0989068235259527],[2.9119528301886795e6],[3.3866369565217346e6],[3],[8.679302012628651e-11],Bool[0],Bool[0],[0.20234066000000003],[0.02],[9],Bool[0],[0.9717672870600343],[0.0],[2.7719454545454546e6],[10],[0.9723168193868279],[3.406871739130434e6],[0.488723788802726],[0.36],[0.204593],[6],[1.4463152207428154],[0.07432685867168072],[9],[9],[0.2843621668225223],[0.07432685867168072],[0.15274476069574366]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_1""]","String7[""D3_3""]","String7[""F3_2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_3""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[1],[3.0259415625e6],Bool[0],Bool[0],[0],[0.669651341125942],[1.8313729508196723e8],[0.0],[20],[1],[3.176e6],[0.0],[0.3680886],[0.25135078669455196],[0.9179110554242403],[3.1623103125e6],[0.84],[4],[11],[0.9598807952216106],[0.9568768601041584],[1.8195245356526586e-10],[1.9951529508196718e8],[0.4],[0],Bool[0],[1],[3.176e6],[0.33490619999999993],[1.8313729508196723e8],[4],[1.290498320046578],Bool[0],[0.6],[0.0],Bool[0],[0],[0.9742686575844466],[0.6],[0.8119167704505712],[0.9603168667331466],[0],[0.8044427346260804],[0.4543784497178023],Bool[0],[0.7477104140886406],[0.04098095909077776],[1.0],Bool[0],[0.0],Bool[1],[3.1623103125e6],[0.0],[0.6248776678583245],[3.0354409375e6],[0.0],[2.984184210526316e6],[1.312926941049269],[0.0],[1.0],Bool[0],[4.716981132075471],[0.4],Bool[0],[4.901960784313725],[9],[0.9573727693124827],[0.84],[0.45323037212451067],Bool[0],Bool[0],[0],[2.270999999999999e6],[5],[1.9951529508196718e8],[0.6345881087720538],[0.0],[0.0],Bool[0],[1.2624669064156697],[2.849973684210526e6],[3.0243203125e6],[1],[1.8888344147525994e-10],Bool[0],Bool[0],[0.3680886],[0.4],[5],Bool[1],[0.9179110554242403],[0.0],[2.0848125e6],[20],[0.9764210119260641],[3.027625e6],[0.6379401023591635],[0.4],[0.3349062],[1],[1.2815828498141917],[0.06653960480796381],[5],[5],[0.5695850410676179],[0.06653960480796381],[0.04098095909077776]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[2.9899555670103086e6],Bool[0],Bool[0],[3],[-0.03557378513603129],[2.043494858757062e8],[-1.0],[1],[3],[3.262512886597934e6],[0.010805127671619612],[0.19976004800000002],[0.018523477364737525],[0.986134992042884],[3.2574048453608244e6],[0.26],[1],[20],[0.9152640864856461],[0.917894983569078],[1.0986122882941407],[2.057573276836158e8],[0.12],[0],Bool[0],[0],[3.262512886597934e6],[0.2005984],[2.0038910674157304e8],[3],[1.609437911688581],Bool[1],[0.12],[0.0],Bool[0],[0],[0.918240764608276],[0.12],[1.0986122883598086],[0.9161925413694512],[0],[1.0986122882244065],[0.6931471804164719],Bool[0],[-0.018716047091126266],[0.20208865080454175],[4.940711462450592],Bool[0],[0.0],Bool[0],[3.2574048453608244e6],[0.0],[0.004566360347561119],[2.981385670103092e6],[0.0],[3.01838679245283e6],[1.609437911692468],[0.0],[4.940711462450592],Bool[1],[4.355400696864111],[0.2],Bool[0],[4.266211604095563],[20],[0.918523522378863],[0.26],[0.6931471802133575],Bool[0],Bool[1],[0],[2.5629482758620684e6],[5],[2.0320656741573036e8],[-0.033614952920335756],[1.0],[0.0],Bool[0],[1.6094379115939232],[2.798126050420168e6],[3.016335051546393e6],[3],[1.0986122880040758],Bool[0],Bool[0],[0.199760048],[0.02],[5],Bool[0],[0.9931577561598468],[0.0],[2.5629482758620684e6],[10],[0.9190399553558173],[3.008768041237118e6],[0.005259031403572631],[0.18],[0.20059839999999998],[5],[1.6094379115080664],[0.18182756332305616],[5],[5],[0.10316735328581422],[0.18182756332305616],[0.20208865080454175]
