U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,0.0,0.0,0.05,-0.008547956066762931,-0.008066976048532154,0.027865009868101236
0.6,0.0,0.0,0.05,-0.002620516731586249,-0.008508069994630723,0.03498373207693148
0.3,0.0,0.0,0.05,-0.009819895612792942,-0.011845946444195517,0.0562141325014543
0.9,0.5,0.0,0.05,0.6715253864453515,0.6665791765348278,0.23094673219179546
0.6,0.5,0.0,0.05,0.6188767526930836,0.5823215426398167,0.2675594072379605
0.3,0.5,0.0,0.05,0.7817124329232713,0.7321890129959318,0.2827935139303582
0.9,1.0,0.0,0.05,0.6807029041176359,0.6920027773408048,0.24090743875853082
0.6,1.0,0.0,0.05,0.7271710049467249,0.7453672233161,0.27742741431770707
0.3,1.0,0.0,0.05,0.7657540419122806,0.7057160842746042,0.2581984523847104
0.9,0.0,0.25,0.05,0.0009571497775931237,-0.00038397432518782695,0.026790340107445142
0.6,0.0,0.25,0.05,-0.005087533154552285,-0.009467050945955648,0.037314203377131615
0.3,0.0,0.25,0.05,-0.010586525032385868,-0.016531763350173815,0.05603889919324018
0.9,0.5,0.25,0.05,0.7058272596759514,0.7025064884327135,0.2498132500997329
0.6,0.5,0.25,0.05,0.6437630859136456,0.5622696943117746,0.31260803747337507
0.3,0.5,0.25,0.05,0.7969106299601445,0.7439604598358629,0.27839511056122207
0.9,1.0,0.25,0.05,0.6951716242532868,0.6827315366706637,0.2427290213211278
0.6,1.0,0.25,0.05,0.6737021353605174,0.6527230067107664,0.27649452692335513
0.3,1.0,0.25,0.05,0.7636241535927604,0.7567390412335093,0.27603700537956194
0.9,0.0,0.5,0.05,0.0017178446629888854,-0.0002880943732520311,0.027656424135031152
0.6,0.0,0.5,0.05,-0.011275749613141772,-0.017764679007353217,0.03886429599453386
0.3,0.0,0.5,0.05,0.00723731534496417,0.0035471508567287346,0.058310992659385046
0.9,0.5,0.5,0.05,0.7177048983938425,0.7193591591009039,0.2206165956686765
0.6,0.5,0.5,0.05,0.6376610551087073,0.5962780449497556,0.27163333396270345
0.3,0.5,0.5,0.05,0.8648768018070715,0.8106878357840559,0.2898987129562795
0.9,1.0,0.5,0.05,0.7078418222097587,0.7435936314564179,0.2392532884768611
0.6,1.0,0.5,0.05,0.6914170313874441,0.6810650707897161,0.27544301614354316
0.3,1.0,0.5,0.05,0.8289624498001805,0.8201213632076012,0.2708643425058817
0.9,0.0,0.75,0.05,-0.0075403795303370545,-0.009265145905923847,0.021285887574121937
0.6,0.0,0.75,0.05,-0.001943247165448862,-0.006066852153598467,0.03143063883815083
0.3,0.0,0.75,0.05,-0.004070016297643353,-0.010651171992100524,0.05164634303934924
0.9,0.5,0.75,0.05,0.7432073131677537,0.7599084494663546,0.20088378834437307
0.6,0.5,0.75,0.05,0.6253451644205402,0.6071630715822207,0.28942825788055804
0.3,0.5,0.75,0.05,0.7656424247355085,0.7306892930916407,0.2590694676912627
0.9,1.0,0.75,0.05,0.6860803783937476,0.6672551067246688,0.21833033972907084
0.6,1.0,0.75,0.05,0.6820401980421792,0.6555945443470372,0.2682956167903711
0.3,1.0,0.75,0.05,0.7914592886827261,0.7886745355630729,0.2639724987455461
0.9,0.0,1.0,0.05,-0.0031353613123388364,-0.00647714600068504,0.024573729624772306
0.6,0.0,1.0,0.05,-0.0022436813628690833,-0.006040273899992024,0.03355148441472556
0.3,0.0,1.0,0.05,0.0006582509389746326,-0.0045231363229191884,0.06573606678638909
0.9,0.5,1.0,0.05,0.7100109394861686,0.723919174716565,0.24749195112541547
0.6,0.5,1.0,0.05,0.6665295955074113,0.6319401091513256,0.29224114519148775
0.3,0.5,1.0,0.05,0.7563964393227418,0.7213828201532609,0.24379686883678578
0.9,1.0,1.0,0.05,0.7202522962054893,0.7361506784024318,0.22428713773632056
0.6,1.0,1.0,0.05,0.693418560780556,0.7083724038227646,0.2885778112174956
0.3,1.0,1.0,0.05,0.786645016033948,0.7696971248684337,0.27157722146900437
