U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,0.0,0.0,0.05,-0.003336811841757714,-0.005067333967903268,0.0332950839790493
0.9,0.0,0.25,0.05,-0.005787310281011381,-0.009642412594432808,0.03582659741951443
0.9,0.0,0.5,0.05,-0.003838898258028188,-0.0038806545767012418,0.035144383570328494
0.9,0.0,0.75,0.05,-0.005932220906453337,-0.004051033907413501,0.03156450493684851
0.9,0.0,1.0,0.05,-0.0114081721813269,-0.00974908477492046,0.030261066707205027
0.9,0.5,0.0,0.05,0.7518728039342818,0.7681431984236231,0.14869573114574877
0.9,0.5,0.25,0.05,0.7514470838900398,0.7618150271958323,0.14514980621586257
0.9,0.5,0.5,0.05,0.7453497976858937,0.7437227352882497,0.146178863966195
0.9,0.5,0.75,0.05,0.7467754479068363,0.7721893047222643,0.16065943963018853
0.9,0.5,1.0,0.05,0.7033436679966217,0.7129127842997215,0.17190485616766207
0.9,1.0,0.0,0.05,0.7368231021458154,0.7395422836938185,0.1647491667328662
0.9,1.0,0.25,0.05,0.7304979412692163,0.755679245035781,0.16129364838876645
0.9,1.0,0.5,0.05,0.7160939335769689,0.7179262738956524,0.15002766498126155
0.9,1.0,0.75,0.05,0.7500951321726106,0.7863906500990231,0.1625281604363213
0.9,1.0,1.0,0.05,0.7389459197751058,0.74834152730612,0.14996118330346042
0.6,0.0,0.0,0.05,-0.006913872213134776,-0.005852405081786704,0.05279474178355148
0.6,0.0,0.25,0.05,0.0073503807334137595,0.012507521241200643,0.05965960790182858
0.6,0.0,0.5,0.05,0.004576065040865497,0.007186851974051824,0.059300559628755016
0.6,0.0,0.75,0.05,-0.010322528554547098,-0.013265258024360772,0.060174506458107
0.6,0.0,1.0,0.05,-0.00281478039940441,-0.002696274974704211,0.05616785291437802
0.6,0.5,0.0,0.05,0.7781351858713537,0.7976050423509435,0.1485157480095753
0.6,0.5,0.25,0.05,0.788364127849353,0.7863015534871387,0.1403086081468677
0.6,0.5,0.5,0.05,0.7759590218864756,0.7801272642176049,0.1444104233400185
0.6,0.5,0.75,0.05,0.7949542731798632,0.7910965489836312,0.14937907567293612
0.6,0.5,1.0,0.05,0.7947901107500333,0.7869668078870076,0.1515499558662622
0.6,1.0,0.0,0.05,0.7664486444949307,0.7626282059435772,0.1449085948045216
0.6,1.0,0.25,0.05,0.7771021348089441,0.788035862900863,0.1503603396442352
0.6,1.0,0.5,0.05,0.7703806834761339,0.7821625943177672,0.14761774691008803
0.6,1.0,0.75,0.05,0.7824019970992566,0.7952549825683874,0.1644290015622065
0.6,1.0,1.0,0.05,0.774306055827298,0.7770459026426533,0.13981978648217855
0.3,0.0,0.0,0.05,-0.002922201145356159,-0.009967138522509474,0.07920633436175253
0.3,0.0,0.25,0.05,-0.0010167990028149545,-0.0019387269953095663,0.07518471397724134
0.3,0.0,0.5,0.05,0.00284269400498538,-0.0032800206077835846,0.07746863520919998
0.3,0.0,0.75,0.05,-0.002401957283467084,0.002533645774316933,0.07703333826132465
0.3,0.0,1.0,0.05,-0.0075361651944065985,-0.009271392467190418,0.06820755274583404
0.3,0.5,0.0,0.05,0.8445408932301913,0.8699545804892355,0.11050086311604997
0.3,0.5,0.25,0.05,0.8574573722742187,0.8695007799066253,0.10942088407992372
0.3,0.5,0.5,0.05,0.8541142170481928,0.8579461347168356,0.09414059413182294
0.3,0.5,0.75,0.05,0.8423897776857444,0.8476056062239907,0.10290699532233273
0.3,0.5,1.0,0.05,0.8581753525412953,0.856052227199462,0.10022922077165984
0.3,1.0,0.0,0.05,0.834077518741108,0.8450358968501058,0.10666906282264274
0.3,1.0,0.25,0.05,0.835600076372795,0.8470186915177218,0.09226664333994701
0.3,1.0,0.5,0.05,0.8326879683314887,0.8355416387110974,0.10996816574067723
0.3,1.0,0.75,0.05,0.8408587517047331,0.8429114328775598,0.10589331490057059
0.3,1.0,1.0,0.05,0.8465275839194694,0.8596341262417002,0.11972075117278284
