,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
6696,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_1,M_1
6697,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_1,M_1
6698,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_1,M_1
6699,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_1,M_2
6700,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_1,M_2
6701,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_1,M_2
6702,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_2,M_1
6703,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_2,M_1
6704,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_2,M_1
6705,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_2,M_2
6706,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_2,M_2
6707,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_2,M_2
6708,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_3,M_1
6709,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_3,M_1
6710,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_3,M_1
6711,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_1,L_3,M_2
6712,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_1,L_3,M_2
6713,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_1,L_3,M_2
6714,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_1,M_1
6715,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_1,M_1
6716,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_2,L_1,M_1
6717,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_1,M_2
6718,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_1,M_2
6719,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_2,L_1,M_2
6720,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_2,M_1
6721,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_2,M_1
6722,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_2,L_2,M_1
6723,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_2,M_2
6724,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_2,M_2
6725,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_2,L_2,M_2
6726,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_3,M_1
6727,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_3,M_1
6728,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L3,N1_2,L_3,M_1
6729,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L1,N1_2,L_3,M_2
6730,L2,L3,L1,L3,L2,L1,L1,L2,L2,C1_1,D1_1,F1_1,,L2,N1_2,L_3,M_2
