,A,B,G,H,I,E,X,Y,Z,C,D,F,J,K,N,L,M
45090,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_1,M_1
45091,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_1,M_2
45092,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_2,M_1
45093,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_2,M_2
45094,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_3,M_1
45095,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_1,L_3,M_2
45096,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_1,M_1
45097,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_1,M_2
45098,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_2,M_1
45099,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_2,M_2
45100,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_3,M_1
45101,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_1,,,N3_2,L_3,M_2
45102,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_1,M_1
45103,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_1,M_2
45104,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_2,M_1
45105,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_2,M_2
45106,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_3,M_1
45107,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_1,L_3,M_2
45108,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_1,M_1
45109,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_1,M_2
45110,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_2,M_1
45111,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_2,M_2
45112,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_3,M_1
45113,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_2,,,N3_2,L_3,M_2
45114,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_3,,,N3_1,L_1,M_1
45115,L3,L2,L3,L1,L2,L3,L1,L1,L2,C3_1,D3_1,F3_3,,,N3_1,L_1,M_2
