A,B,C,D,E,F,G,H,I,X,Y,Z,J of X1Y1Z1,K of X1Y1Z1,L of X1Y1Z1_JKLMN Temp1,M of X1Y1Z1_JKLMN Temp1,N of X1Y1Z1_JKLMN Temp1,J of dtJK,K of dtJK,L of dtLMN,M of dtLMN,N of dtLMN,J,K,L,M,N,J of X1Y0Z0,J of dtJ,K of X0Y1Z0,K of dtK,L of X0Y0Z1,M of X0Y0Z1,N of X0Y0Z1,J of X1Y1Z0,K of X1Y1Z0,J of X1Y0Z1,L of X1Y0Z1_JLMN Temp1,M of X1Y0Z1_JLMN Temp1,N of X1Y0Z1_JLMN Temp1,K of X0Y1Z1,L of X0Y1Z1_KLMN Temp1,M of X0Y1Z1_KLMN Temp1,N of X0Y1Z1_KLMN Temp1
L1,L2,L1,L3,L1,L1,L1,L2,L2,L1,L2,L1,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L3,L1,L3,L1,L3,L1,L1,L2,,,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L2,L1,L1,L2,L2,L2,L1,L1,L1,,,,,,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L1,L2,L3,L2,L1,L1,L1,L1,L1,,,,,,0,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L2,L2,L1,L2,L3,L1,L2,L2,L1,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L1,L2,L3,L3,L1,L1,L2,L2,L2,,,,,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L1,L3,L3,L3,L2,L3,L2,L2,L1,,,,,,1,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L2,L3,L3,L3,L1,L1,L2,L1,,,,,,1,3,0,1,3,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L3,L3,L2,L3,L3,L1,L2,L1,L2,,,,,,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L1,L3,L3,L3,L1,L1,L1,L2,,,,,,2,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L3,L3,L1,L2,L2,L1,L2,L2,L1,,,,,,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L2,L3,L3,L1,L1,L3,L1,L2,L1,,,,,,2,3,0,2,3,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L3,L1,L2,L2,L2,L1,L2,L2,,,,,,3,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L3,L3,L2,L2,L3,L2,L2,L1,L2,,,,,,3,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L1,L1,L3,L1,L1,L1,L2,L2,L1,,,,,,3,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L2,L2,L2,L3,L1,L1,L2,L1,L1,,,,,,3,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L2,L1,L2,L1,L1,L3,L1,L1,L2,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L3,L3,L2,L3,L1,L3,L1,L1,L2,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L2,L1,L2,L3,L3,L3,L1,L2,L1,,,,,,,,1,0,2,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L2,L1,L2,L3,L2,L3,L1,L2,L1,,,,,,,,1,0,3,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L1,L1,L2,L1,L3,L3,L2,L2,L2,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L2,L1,L1,L1,L3,L1,L2,L2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L2,L3,L1,L1,L3,L2,L1,L2,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L3,L3,L2,L2,L1,L3,L1,L1,L1,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L3,L1,L1,L2,L2,L3,L1,L1,L2,,,,,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L3,L2,L3,L3,L3,L3,L1,L2,L1,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L3,L3,L3,L3,L3,L2,L2,L2,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L1,L1,L3,L1,L3,L1,L2,L2,L2,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L1,L2,L1,L3,L1,L3,L1,L2,L1,,,,,,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L1,L3,L1,L3,L2,L1,L2,L1,L1,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L2,L1,L2,L1,L3,L1,L2,L2,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L1,L1,L3,L1,L3,L3,L2,L2,L1,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L1,L2,L1,L3,L2,L1,L2,L1,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L3,L2,L2,L2,L3,L2,L1,L2,,,,,,,,2,0,1,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L2,L1,L1,L3,L2,L1,L2,L1,L1,,,,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L3,L3,L3,L3,L2,L2,L1,L1,L1,,,,,,,,2,0,3,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L1,L3,L1,L2,L2,L3,L1,L2,L2,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L3,L1,L3,L2,L2,L2,L1,L1,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L3,L3,L2,L3,L1,L1,L1,L1,L1,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L2,L2,L1,L2,L2,L2,L2,L1,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L3,L3,L3,L3,L1,L3,L2,L1,L2,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L3,L1,L3,L1,L1,L3,L1,L2,L1,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L1,L1,L3,L3,L1,L1,L1,L1,L2,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L1,L1,L3,L3,L3,L1,L1,L1,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L3,L2,L1,L1,L2,L1,L3,L1,L2,L1,,,,,,,,2,3,0,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L3,L1,L1,L3,L3,L2,L2,L1,L2,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L2,L2,L1,L3,L1,L1,L1,L2,L1,,,,,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L3,L3,L1,L3,L1,L2,L2,L2,L2,,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L2,L1,L1,L1,L2,L2,L2,L2,L1,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L2,L1,L1,L1,L3,L2,L2,L2,L2,,,,,,,,3,0,1,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L3,L1,L1,L1,L1,L3,L2,L1,L2,,,,,,,,3,0,2,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L1,L1,L2,L1,L2,L3,L2,L2,L2,,,,,,,,3,0,3,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L2,L2,L2,L3,L1,L2,L2,L1,L2,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L3,L2,L2,L3,L3,L1,L2,L2,L2,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L1,L2,L1,L1,L3,L2,L1,L1,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L1,L3,L3,L2,L1,L2,L1,L1,L1,,,,,,,,3,1,3,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L3,L2,L1,L1,L3,L1,L2,L1,L2,,,,,,,,3,2,0,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L2,L1,L2,L2,L1,L1,L2,L2,L2,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L1,L2,L3,L1,L3,L2,L2,L1,L2,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L2,L3,L1,L1,L1,L2,L1,L2,L1,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L3,L2,L1,L1,L2,L1,L2,L2,L1,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L3,L1,L2,L3,L2,L3,L1,L1,L2,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L1,L1,L1,L2,L2,L3,L1,L1,L2,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L3,L3,L3,L1,L2,L2,L3,L2,L1,L1,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L2,L3,L3,L1,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L1,L1,L2,L2,L3,L3,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L3,L3,L1,L1,L3,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L3,L3,L3,L3,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L1,L2,L3,L2,L2,L2,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L3,L3,L3,L3,L2,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L3,L3,L1,L3,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L3,L2,L1,L2,L1,L3,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L2,L2,L2,L3,L3,L3,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L1,L3,L3,L1,L3,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L1,L3,L2,L3,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L3,L1,L3,L1,L2,L3,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
