X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[0],[4.171871e6],Bool[0],Bool[0],[0],[0.5264196837812073],[1.6406867567567563e8],[0.0],[20],[1],[4.2839125e6],[0.6931089380465382],[0.26609007600000006],[0.4490940646572192],[0.7408555814282717],[4.2783665e6],[0.72],[17],[0],[0.98244575353701],[0.9751083737216061],[1.984327702379305e-10],[2.2145837837837827e8],[0.4],[0],Bool[0],[0],[4.2839125e6],[0.4990078],[1.6406867567567563e8],[17],[3.558788661291399e-11],Bool[0],[0.5],[0.0],Bool[0],[0],[0.9852238859320108],[0.5],[3.7458565244301813e-10],[0.9825036544739786],[0],[4.1655906108131966e-10],[1.4772549575920504e-10],Bool[0],[0.6400192976752929],[0.18923639197575082],[1.0407993338884265],Bool[0],[0.149],Bool[1],[4.2783665e6],[0.149],[0.19733064183739688],[4.203263e6],[0.785],[2.8742e6],[2.7962661610015007e-10],[-2.0],[1.0407993338884265],Bool[0],[1.0],[0.4],Bool[0],[1.0],[0],[0.9752549576788709],[0.72],[1.4489010974956195e-10],Bool[0],Bool[0],[0],[2.8742e6],[0],[2.2145837837837827e8],[0.5460040244457027],[0.0],[0.0],Bool[0],[2.7642346727252094e-10],[2.8742e6],[4.15963125e6],[1],[1.8736285343912447e-10],Bool[0],Bool[0],[0.26609007599999995],[0.4],[3],Bool[1],[0.7408555814282717],[0.785],[2.8742e6],[20],[0.9859697816184245],[4.2193125e6],[0.4636224578087974],[0.32],[0.4990078],[0],[3.872196388307967e-11],[0.18923639197575082],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[3.8550177700348366e6],Bool[0],Bool[0],[0],[0.4765828537514598],[2.1366121223021582e8],[-1.0],[20],[1],[3.9590783972125314e6],[0.01036839119632356],[0.24895643999999995],[0.1265846430233649],[0.9444218179443021],[3.9034551219512094e6],[1.0],[8],[19],[0.9875911595232686],[0.9875911595232686],[1.9552442439305248e-10],[2.2623493884892082e8],[0.7],[0],Bool[0],[0],[3.9590783972125314e6],[0.20691579999999998],[2.1366121223021582e8],[8],[2.0480436041981147e-10],Bool[0],[1.0],[0.0],Bool[0],[0],[1.0],[1.0],[1.0526300947051076e-10],[0.9870565555907714],[0],[9.69934766020309e-11],[1.9939676629536e-10],Bool[0],[0.6384938238276864],[0.2378985992728835],[1.5802781289506953],Bool[0],[0.0],Bool[1],[3.9034551219512094e6],[0.0],[0.4210679525135741],[3.8550177700348366e6],[0.0],[3.648e6],[8.282051990781952e-11],[0.0],[1.5802781289506953],Bool[0],[2.6315789473684212],[0.4],Bool[0],[2.6315789473684212],[19],[0.9870565555907714],[1.0],[2.3744199206297013e-10],Bool[0],Bool[1],[0],[3.287216216216217e6],[0],[2.2623493884892082e8],[0.4211752920102814],[-1.0],[0.0],Bool[0],[1.0199689265660425e-10],[3.648e6],[3.907428571428549e6],[1],[2.0819981487952584e-10],Bool[1],Bool[0],[0.24895644],[0.4],[3],Bool[1],[0.9444218179443021],[0.0],[3.287216216216217e6],[20],[1.0],[3.907428571428549e6],[0.2239153895594884],[0.7],[0.2069158],[3],[2.0242193695619617e-10],[0.2378985992728835],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_3""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[-1.5],[0],[3.9902239041095916e6],Bool[0],Bool[0],[0],[0.025448349306347103],[1.8193289925373134e8],[-1.0],[20],[1],[4.0461369863013835e6],[0.6931089380465382],[0.189206488],[-0.05099843430726475],[0.8203696891626422],[4.0226239041095916e6],[1.0],[17],[18],[0.9919455557436281],[0.9919455557436281],[1.8979979785749514e-10],[2.2352654850746268e8],[0.78],[0],Bool[0],[0],[4.0461369863013835e6],[0.21858419999999998],[1.8193289925373134e8],[17],[2.3860582583519613e-10],Bool[0],[1.0],[0.0],Bool[0],[0],[1.0],[1.0],[1.7007539021885915e-10],[0.9917807710721385],[0],[2.444728131675669e-10],[1.3052428013429605e-10],Bool[0],[0.1098925756157158],[0.1654243947669146],[1.0407993338884265],Bool[0],[0.0],Bool[1],[4.0226239041095916e6],[0.0],[-0.014811043000325529],[3.9902239041095916e6],[0.0],[3.5688115942028984e6],[1.7737588898376424e-10],[-1.5],[1.0407993338884265],Bool[0],[2.413127413127413],[0.4],Bool[0],[2.413127413127413],[18],[0.9917807710721385],[1.0],[2.0072257959939376e-10],Bool[0],Bool[0],[0],[3.2047428571428573e6],[0],[2.217694067164179e8],[0.15191978724084754],[-1.0],[0.0],Bool[0],[2.2022378566006459e-10],[3.5688115942028984e6],[4.0433287671232894e6],[1],[3.1688153801605086e-10],Bool[0],Bool[0],[0.189206488],[0.4],[3],Bool[1],[0.8139207645290389],[0.0],[3.2047428571428573e6],[20],[1.0],[4.0433287671232894e6],[-0.07581777581024106],[0.78],[0.21858420000000003],[0],[3.591106812040382e-10],[0.1654243947669146],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[0],[2.50741e6],Bool[0],Bool[0],[0],[-0.08194706694782121],[1.217068e8],[-2.0],[20],[1],[2.563325e6],[0.6791170738539858],[0.48748586399999994],[-0.07089437798306664],[0.6491029333333334],[2.556258e6],[1.0],[20],[20],[0.9824712529017025],[0.980890817750008],[1.1452428247579448e-10],[1.875e8],[0.24],[0],Bool[0],[20],[2.563325e6],[0.50229],[1.217068e8],[20],[1.558619642203827],Bool[0],[0.94],[-2.0],Bool[0],[0],[0.986357987196202],[0.94],[0.7733824774192875],[0.9825902388559337],[0],[0.7733830664160452],[0.6931471802125765],Bool[0],[-0.05067883493507624],[0.07273301335707191],[1.0841283607979186],Bool[0],[0.025],Bool[1],[2.556258e6],[0.025],[0.026872398412721456],[2.51145e6],[0.585],[2.5559375e6],[1.503092583188626],[2.0],[1.0841283607979186],Bool[0],[2.962085308056872],[0.4],Bool[0],[3.0266343825665856],[20],[0.981018332595107],[1.0],[0.6931471798823137],Bool[0],Bool[0],[20],[2.6806842105263155e6],[0],[1.875e8],[0.05279799823960992],[-2.0],[-2.0],Bool[0],[1.5030930427787939],[2.6806842105263155e6],[2.509025e6],[1],[1.145245029063952e-10],Bool[0],Bool[0],[0.48748586399999994],[0.4],[5],Bool[1],[0.6491029333333334],[0.585],[2.5559375e6],[20],[0.9892436963307367],[2.520525e6],[0.019882355935899525],[0.24],[0.50229],[0],[1.5586201654142275],[0.05823822826975423],[0],[5]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[0],[4.1604232055749036e6],Bool[0],Bool[0],[0],[0.3457186135295839],[1.6923535335689047e8],[0.0],[20],[1],[4.210775261324039e6],[0.6931089380465382],[0.14822966799999998],[-0.052969199568552734],[0.7495650025285939],[4.203776097560973e6],[0.94],[20],[1],[0.9879610810171365],[0.9896871548389025],[6.906091383605233e-11],[2.2666628621908125e8],[0.54],[0],Bool[0],[0],[4.210775261324039e6],[0.2517852],[1.686394542253521e8],[20],[1.58986419171795e-10],Bool[0],[0.86],[0.0],Bool[0],[0],[1.0],[0.86],[2.9927963390067795e-10],[0.9880323039193061],[0],[3.0923891351411477e-10],[1.1086513850138563e-10],Bool[0],[0.634099196669868],[0.2014630200111177],[1.0407993338884265],Bool[0],[0.0],Bool[1],[4.203776097560973e6],[0.0],[0.5694400420492675],[4.1531671777003384e6],[0.0],[3.308205479452054e6],[1.712138418812925e-10],[-2.0],[1.0407993338884265],Bool[0],[1.0],[0.4],Bool[0],[1.0],[0],[0.9897419719545263],[0.94],[1.135602532392948e-10],Bool[0],Bool[0],[0],[3.308205479452054e6],[0],[2.2498309507042247e8],[0.40506413968933525],[0.0],[0.0],Bool[0],[1.7879687465532423e-10],[3.218652777777778e6],[4.181813588850165e6],[1],[7.87307737549106e-11],Bool[0],Bool[0],[0.14822966799999998],[0.4],[3],Bool[1],[0.7466278121013475],[0.0],[3.308205479452054e6],[20],[1.0],[4.1593362369337836e6],[0.49676310927639034],[0.6],[0.25178520000000004],[0],[1.7229401515658206e-10],[0.2014630200111177],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[3],[4.0220524738675845e6],Bool[0],Bool[0],[0],[0.7005054804607438],[2.0190479766536963e8],[-1.0],[20],[1],[4.1256515679442277e6],[0.01462026429309674],[0.23389152000000002],[0.44620590842744756],[0.9120730788565021],[4.0826514982578326e6],[1.0],[10],[17],[0.9851569441045587],[0.9851569441045587],[8.678486741415442e-9],[2.2234900778210118e8],[0.62],[0],Bool[0],[0],[4.1256515679442277e6],[0.2269064],[2.0269348828125e8],[10],[1.0523930839564367e-10],Bool[0],[1.0],[0.0],Bool[0],[0],[1.0],[1.0],[3.163723922334125e-10],[0.9850437129139361],[0],[3.542860945755758e-10],[3.7645610425700216e-10],Bool[0],[0.7661213568738244],[0.0809720453489968],[1.5802781289506953],Bool[0],[0.0],Bool[1],[4.0826514982578326e6],[0.0],[0.4652882685909117],[4.0220524738675845e6],[0.0],[3.533217391304348e6],[5.39612064039662e-10],[0.0],[1.5802781289506953],Bool[0],[1.3340448239060834],[0.4],Bool[0],[1.3340448239060834],[17],[0.9850437129139361],[1.0],[4.1593457834471514e-10],Bool[0],Bool[1],[0],[3.2464e6],[0],[2.2223382421875e8],[0.6209184753164653],[-1.0],[0.0],Bool[0],[6.985800992450692e-10],[3.533217391304348e6],[4.04940243902437e6],[1],[8.305181507507144e-9],Bool[1],Bool[0],[0.23389151999999996],[0.4],[3],Bool[1],[0.9080535131653631],[0.0],[3.2464e6],[20],[1.0],[4.04940243902437e6],[0.4094612082128012],[0.62],[0.22690639999999998],[3],[1.0431527346196593e-10],[0.0809720453489968],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[0],[2.505249e6],Bool[0],Bool[0],[0],[-0.08094054715166783],[1.2491245e8],[2.0],[20],[1],[2.51065e6],[0.6931089380465382],[0.49966380799999993],[0.11052640851627597],[0.6661997333333334],[2.514247e6],[1.0],[20],[20],[0.9964211948945351],[0.9964211948945351],[1.482223686038386e-10],[1.875e8],[0.44],[0],Bool[0],[20],[2.51065e6],[0.5010498],[1.2491245e8],[20],[4.2334154361399195e-10],Bool[0],[1.0],[2.0],Bool[0],[0],[0.9999003551329335],[1.0],[9.344656918255e-11],[0.9964298921718098],[0],[1.728083467165667e-10],[1.355605804470558e-10],Bool[0],[0.1914825255871228],[0.32175300370315113],[1.0407993338884265],Bool[0],[0.26],Bool[1],[2.514247e6],[0.26],[-0.04856723254449502],[2.505249e6],[0.562],[2.5195e6],[3.179541457611904e-10],[2.0],[1.0407993338884265],Bool[0],[2.9411764705882355],[0.4],Bool[0],[2.9411764705882355],[20],[0.9964298921718098],[1.0],[2.8164350510283874e-10],Bool[0],Bool[0],[20],[2.5195e6],[0],[1.875e8],[0.26536149058196357],[2.0],[2.0],Bool[0],[4.133361592600497e-10],[2.5195e6],[2.5021e6],[1],[1.8688272770401164e-10],Bool[0],Bool[0],[0.49966380799999993],[0.4],[3],Bool[1],[0.6661997333333334],[0.562],[2.5195e6],[20],[0.9999003551329335],[2.5021e6],[0.10949329761167965],[0.44],[0.5010498],[0],[5.948269660636336e-10],[0.32175300370315113],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[0],[2.491686e6],Bool[0],Bool[0],[0],[-0.15195542605689713],[1.250447e8],[-2.0],[20],[1],[2.5452e6],[0.6931089380465382],[0.5003562959999999],[-0.049899526247763025],[0.6669050666666667],[2.543732e6],[1.0],[20],[20],[0.9801221197830589],[0.9795395112378191],[1.1452470173926357e-10],[1.875e8],[0.18],[0],Bool[0],[20],[2.5452e6],[0.4986336],[1.250447e8],[20],[1.3968277312699025],Bool[0],[0.96],[-2.0],Bool[0],[0],[0.9827765177755784],[0.96],[0.5410725961587299],[0.9802178433230853],[0],[0.5410737276702211],[0.693147180336487],Bool[0],[-0.06911373684713475],[0.3217203067759323],[1.0407993338884265],Bool[0],[0.51],Bool[1],[2.543732e6],[0.51],[0.025437743254415147],[2.493168e6],[0.445],[2.44845e6],[1.5714919922448747],[0.0],[1.0407993338884265],Bool[0],[2.354048964218456],[0.4],Bool[0],[2.189141856392294],[20],[0.9796313206116356],[1.0],[0.6931471801202943],Bool[0],Bool[0],[20],[2.461833333333334e6],[0],[1.875e8],[0.0459193795390956],[-2.0],[-2.0],Bool[0],[1.5714918917851661],[2.461833333333334e6],[2.485825e6],[1],[1.1452422584212859e-10],Bool[0],Bool[0],[0.5003562959999999],[0.4],[4],Bool[1],[0.6669050666666667],[0.445],[2.44845e6],[20],[0.9841192660612312],[2.48745e6],[-0.03450034634730716],[0.16],[0.4986336],[0],[1.3968271294863797],[0.29108506624696495],[0],[4]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],[0],[4.12141121771219e6],Bool[0],Bool[0],[0],[0.5642990835368941],[1.7019482575757575e8],[0.0],[20],[1],[4.218555350553528e6],[0.6931089380465382],[0.16315965600000001],[0.2956450898873959],[0.7627976916947208],[4.205096383763851e6],[0.88],[19],[1],[0.9807944168116789],[0.9800991086970623],[3.2959449808370636e-11],[2.2500451515151516e8],[0.38],[0],Bool[0],[0],[4.218555350553528e6],[0.25558800000000004],[1.695525811320755e8],[19],[5.725852051945433e-11],Bool[0],[0.66],[0.0],Bool[0],[0],[0.9940876330057962],[0.66],[4.2672183855587164e-11],[0.9809083582324214],[0],[4.531845573371829e-11],[1.1779115809828542e-10],Bool[0],[0.6358637729984565],[0.19702624608919495],[1.0407993338884265],Bool[0],[0.0],Bool[1],[4.205096383763851e6],[0.0],[0.29139570698171935],[4.124335055350566e6],[0.0],[3.299546666666667e6],[4.1177129954884873e-10],[2.0],[1.0407993338884265],Bool[0],[1.0],[0.4],Bool[0],[1.0],[1],[0.9803210985538118],[0.88],[1.1881755062577785e-10],Bool[0],Bool[0],[0],[3.2502571428571427e6],[0],[2.222772603773585e8],[0.32023318370648773],[0.0],[0.0],Bool[0],[4.386996506735561e-10],[3.341216216216217e6],[4.116872693726948e6],[1],[3.414614860980597e-11],Bool[0],Bool[0],[0.16315965600000001],[0.4],[3],Bool[1],[0.7564062687496237],[0.0],[3.2502571428571427e6],[20],[0.9924345814781701],[4.1173745387453972e6],[0.5244587488561644],[0.44],[0.25558800000000004],[0],[6.060871773009072e-11],[0.19702624608919495],[0],[3]
"String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[0],[2.500562e6],Bool[0],Bool[0],[0],[-0.06992498139906564],[1.250719e8],[-2.0],[20],[1],[2.5142e6],[0.6931089380465382],[0.5002824399999999],[-0.08453714143404212],[0.6783428228655604],[2.517354e6],[1.0],[20],[20],[0.9933295039156194],[0.9933295039156194],[1.0470955590969214e-10],[1.843786e8],[0.24],[0],Bool[0],[20],[2.5142e6],[0.5001124],[1.250719e8],[20],[2.289335410862056e-10],Bool[0],[1.0],[-2.0],Bool[0],[0],[0.9958791615962623],[1.0],[1.3364329199166722e-10],[0.9933559511061868],[0],[2.331753884251805e-10],[1.5976786154489919e-10],Bool[0],[0.0047581712388368065],[0.14128500291255264],[1.0407993338884265],Bool[0],[0.696],Bool[1],[2.517354e6],[0.696],[0.062346938268413796],[2.500562e6],[0.512],[2.6401333333333335e6],[1.4919454769699003e-10],[-2.0],[1.0407993338884265],Bool[0],[2.166377816291161],[0.4],Bool[0],[2.166377816291161],[20],[0.9933559511061868],[1.0],[2.9681193087838945e-10],Bool[0],Bool[0],[20],[2.6401333333333335e6],[0],[1.843786e8],[0.07671854386135604],[-2.0],[-2.0],Bool[0],[2.8370933289736265e-10],[2.6401333333333335e6],[2.501275e6],[1],[1.4486636918352938e-10],Bool[0],Bool[0],[0.5002824399999999],[0.4],[3],Bool[1],[0.6783428228655604],[0.512],[2.6401333333333335e6],[20],[0.9958791615962623],[2.501275e6],[0.2028677199570481],[0.24],[0.5001124],[0],[3.4356464510631014e-10],[0.14128500291255264],[0],[3]
