X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_efficiency,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_condorcet_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,prop_qual_min_govt_size,major_strict_med_pos,prop_strict_util_max_elec,spat_med_entropy2,major_util_eff_avg,spat_med_entropy5,spat_avg_entropy2,prop_strict_min_govt_unstable,spat_agg_dist_corr,prop_qual_util_maxer,tangian_raw_uni_parties,prop_qual_single_party_win,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,prop_qual_winner_smith,major_smith_efficiency,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,prop_qual_condorcet_paradox,spat_avg_entropy4,major_qual_social_util,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[-0.05337388696538104],[2.2508306649304426e8],[-2.0],[20],[1],[0.6791170738539858],[0.49562463999999995],[-0.10807322480452707],[0.9705702269729365],[4.607976164473565e6],[0.36],[20],[20],[0.9990361569502779],[2.0421592150055244e-10],[2.3190806830644774e8],[0.3],[0],Bool[0],[20],[4.606921624665314e6],[0.5009624],[2.2508306649304426e8],[20],[1.4387402913362039e-10],Bool[0],[0],[-2.0],Bool[0],[1.0152318186080801e-10],[0.99903659364817],[3.2804101837095183e-10],[1.844780825102847e-10],Bool[0],[0.14270935897473583],Bool[0],[0.10400000000000001],Bool[1],[0.10400000000000001],[0.2615797143653236],[4.603534798674152e6],[0.56],[1.1456945880065136e-10],[2.0],Bool[1],[0.4],Bool[0],[0.36],[4.2198547555483477e-10],Bool[0],Bool[0],[4.302521640964827e6],[2.3190806830644774e8],[0.14495331154778526],Bool[0],[1.6929927117105632e-10],[4.302521640964827e6],[1],[3.998003202017201e-10],Bool[0],Bool[1],[0.49562463999999995],[0.4],Bool[1],[0.9705702269729365],[0.56],[20],[0.9994061573366441],[4.603508889372574e6],[-0.024106593555811476],[0.5009624],[2.0841441423095114e-10],[0.07973416161219732]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.36505425079745074],[2.2570701313611877e8],[-2.0],[20],[1],[0.004572020997327133],[0.5000512960000001],[0.29559695088964916],[0.9662093124208085],[4.517228327677344e6],[0.76],[20],[20],[0.99940591665699],[0.9490080023987085],[2.3360053586175504e8],[0.4],[0],Bool[0],[20],[4.517470380711038e6],[0.5000394],[2.2570701313611877e8],[20],[1.4161577564950032],Bool[0],[0],[-2.0],Bool[0],[0.9120347425125975],[0.9994062233212339],[0.5486357057409929],[0.8726949810039298],Bool[0],[0.5131973637371258],Bool[0],[0.44900000000000007],Bool[1],[0.44900000000000007],[0.3480472700380074],[4.514544717571298e6],[0.5],[1.4049823441331446],[2.0],Bool[1],[0.4],Bool[0],[0.76],[0.5426319746017878],Bool[0],Bool[0],[4.0777961762744584e6],[2.3360053586175504e8],[0.2896610431701498],Bool[0],[1.367659106157978],[4.0777961762744584e6],[1],[0.9114920314495165],Bool[0],Bool[1],[0.5000512960000001],[0.4],Bool[1],[0.9662093124208085],[0.5],[20],[0.9998089793042733],[4.515095422721225e6],[0.18611977891844128],[0.5000394],[1.34130689698073],[0.11825643059047573]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.5903176588883637],[2.2826756963987494e8],[2.0],[20],[1],[0.8187293181520294],[0.5001494240000001],[0.37076340470451513],[0.9745282645802591],[4.569998561408906e6],[0.9],[20],[20],[0.9988304004761067],[0.9285986172361562],[2.3423391392161673e8],[0.08],[0],Bool[0],[20],[4.569215110041393e6],[0.5002468],[2.2826756963987494e8],[20],[1.3432108985721838],Bool[0],[0],[2.0],Bool[0],[0.7693219993807484],[0.9988316818745672],[0.49837114623204026],[0.7739865792687737],Bool[0],[0.6621488430304985],Bool[0],[0.551],Bool[1],[0.551],[0.3146146689320371],[4.564653493267289e6],[0.5310000000000001],[1.0710110727688738],[2.0],Bool[1],[0.4],Bool[0],[0.9],[0.5078241241632783],Bool[0],Bool[0],[4.085265596694399e6],[2.3423391392161673e8],[0.5324324825994002],Bool[0],[1.064406981955321],[4.085265596694399e6],[1],[0.9254362956568175],Bool[0],Bool[1],[0.5001494240000001],[0.4],Bool[1],[0.9745282645802591],[0.5310000000000001],[20],[0.9995373782756731],[4.56480279138746e6],[0.7028392282892587],[0.5002468],[1.3409557886401426],[0.030013461246580636]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],Bool[0],Bool[0],[3],[-0.1143168098873528],[2.4050757696910444e8],[-2.0],[5],[3],[0.013456374548889462],[0.499984072],[-0.01786791466496862],[0.9921522715882903],[4.714085052041419e6],[0.98],[5],[20],[0.9993934486601256],[1.1452421472543481e-10],[2.4240994437687176e8],[0.28],[0],Bool[0],[20],[4.714120549902443e6],[0.5004165999999999],[2.4050757696910444e8],[5],[1.5374577879348692],Bool[0],[3],[-2.0],Bool[0],[0.5579277534020127],[0.9993939051524865],[0.6931471804309659],[0.5579260153535566],Bool[0],[-0.07606062168529658],Bool[0],[0.4800000000000001],Bool[0],[0.4800000000000001],[-0.06970544855802997],[4.711225717436821e6],[0.52],[1.543779097770055],[0.0],Bool[1],[0.1],Bool[0],[0.98],[0.6931471802149027],Bool[0],Bool[0],[4.420114454685211e6],[2.4240994437687176e8],[0.02501629596986938],Bool[0],[1.5437789768813903],[4.420114454685211e6],[3],[1.1452432897307331e-10],Bool[0],Bool[1],[0.499984072],[0.1],Bool[0],[0.9921522715882903],[0.52],[5],[0.9998476224491337],[4.711547093674084e6],[-0.018932456407591607],[0.5004165999999999],[1.5374586691468073],[0.23675209400552302]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.4994827141044976],[2.2857782881695968e8],[-2.0],[20],[1],[0.0038540140113912367],[0.4999061520000001],[0.28878898760163213],[0.9682021350453929],[4.577485023728356e6],[0.88],[20],[20],[0.9987451682841183],[0.9232082717069625],[2.360848221081883e8],[0.08],[0],Bool[0],[20],[4.57629393767252e6],[0.5002278],[2.2857782881695968e8],[20],[1.35723930637004],Bool[0],[0],[-2.0],Bool[0],[0.8281320154424001],[0.9987463224623526],[0.5256196019194861],[0.8403821414434672],Bool[0],[0.6054291920163681],Bool[0],[0.474],Bool[1],[0.474],[0.4049226740670142],[4.571741050341608e6],[0.529],[1.5057713368179424],[2.0],Bool[1],[0.4],Bool[0],[0.88],[0.5416340834995355],Bool[0],Bool[0],[4.021169748362256e6],[2.360848221081883e8],[0.5826739194175414],Bool[0],[1.4895499298077002],[4.021169748362256e6],[1],[0.9240906458609845],Bool[0],Bool[1],[0.4999061520000001],[0.4],Bool[1],[0.9682021350453929],[0.529],[20],[0.9995223982935686],[4.571453117629962e6],[0.5213837608398231],[0.5002278],[1.3782737032296957],[0.09073154591430699]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.16733680440153895],[2.2882874496764466e8],[0.0],[20],[1],[0.015013190999917407],[0.500010024],[0.06927679443936709],[0.9621704619732936],[4.55685773285063e6],[0.72],[20],[20],[0.9992943033008174],[0.9559123907104146],[2.3782557666377014e8],[0.38],[0],Bool[0],[20],[4.557094048793921e6],[0.49960759999999993],[2.2882874496764466e8],[20],[1.416845438667215],Bool[0],[0],[0.0],Bool[0],[0.827255679355683],[0.9992947898082182],[0.605683049491573],[0.811236845265428],Bool[0],[0.33711614005858137],Bool[0],[0.5230000000000001],Bool[1],[0.5230000000000001],[0.3242933117320813],[4.553641973389912e6],[0.47400000000000003],[1.2936150859845763],[2.0],Bool[1],[0.4],Bool[0],[0.72],[0.5849387443317998],Bool[0],Bool[0],[3.913381529672796e6],[2.3782557666377014e8],[0.19973848246110804],Bool[0],[1.2612624042922072],[3.913381529672796e6],[1],[0.9394212983139386],Bool[0],Bool[1],[0.500010024],[0.4],Bool[1],[0.9621704619732936],[0.47400000000000003],[20],[0.9997432074688516],[4.553536503921638e6],[0.0740089144433017],[0.49960759999999993],[1.3569884454747068],[0.24026775876925313]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],Bool[0],Bool[0],[0],[-0.04964772233006429],[2.3070561562174398e8],[2.0],[20],[1],[0.6791170738539858],[0.49869467999999983],[0.3215504011369388],[0.9658230052861407],[4.617804809294271e6],[0.4],[20],[20],[0.9991597531170732],[2.0181610804989945e-10],[2.3886945574815097e8],[0.3],[0],Bool[0],[20],[4.61714763544105e6],[0.5001378],[2.3070561562174398e8],[20],[1.8105745549296333e-10],Bool[0],[0],[2.0],Bool[0],[1.5738030301931506e-10],[0.9991604040822516],[6.450635948275917e-11],[1.9787398076850063e-10],Bool[0],[0.04757442886391527],Bool[0],[0.41800000000000004],Bool[1],[0.41800000000000004],[-0.021528218029474182],[4.613924713197297e6],[0.507],[1.7713734330885114e-10],[-2.0],Bool[1],[0.4],Bool[0],[0.4],[1.625295155038473e-10],Bool[0],Bool[0],[4.3518608648056965e6],[2.3886945574815097e8],[0.12621055215063376],Bool[0],[3.680347550835167e-10],[4.3518608648056965e6],[1],[2.893309096354771e-10],Bool[0],Bool[1],[0.49869467999999983],[0.4],Bool[1],[0.9658230052861407],[0.507],[20],[0.9996555903749809],[4.613575312224936e6],[0.23054416966381533],[0.5001378],[2.6455262112030496e-10],[0.04766451476727736]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[-0.046903109676219724],[2.353960318819871e8],[2.0],[15],[2],[0.1899319299538653],[0.500062936],[0.04651448927792924],[0.9740959370783316],[4.710622637612985e6],[0.96],[15],[20],[0.9994501234628035],[1.1452389855435587e-10],[2.416559015614268e8],[0.3],[0],Bool[0],[20],[4.710425977895893e6],[0.500322],[2.353960318819871e8],[15],[1.323878359189262],Bool[0],[0],[2.0],Bool[0],[0.6303861496511352],[0.9994504641684788],[0.6931471805469023],[0.6303870974278127],Bool[0],[0.018099566812614477],Bool[0],[0.613],Bool[1],[0.613],[0.08183985213090773],[4.708032376748975e6],[0.5209999999999999],[1.5759418960164426],[2.0],Bool[1],[0.3],Bool[0],[0.96],[0.6931471803173719],Bool[0],Bool[0],[4.50759036999916e6],[2.416559015614268e8],[-0.015716423363044605],Bool[0],[1.5759414886970944],[4.50759036999916e6],[2],[1.1452395195567225e-10],Bool[0],Bool[1],[0.500062936],[0.3],Bool[1],[0.9740959370783316],[0.5209999999999999],[15],[0.9997667210966055],[4.708892512774276e6],[-0.008617239335969735],[0.500322],[1.3238790099643347],[0.28382793734232714]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.08687420731861656],[2.2689452350846505e8],[-2.0],[20],[1],[0.4734973747677829],[0.499930768],[0.257781093324517],[0.970369161933026],[4.541668816418035e6],[0.7959183673469388],[20],[20],[0.9992498487862084],[0.9330502714641947],[2.3382289175026885e8],[0.32],[1],Bool[0],[20],[4.54169055018946e6],[0.50031],[2.2689452350846505e8],[20],[1.293661901496943],Bool[0],[0],[-2.0],Bool[0],[0.8523569028601401],[0.9992502597100749],[0.6063486912782314],[0.8039631773710119],Bool[0],[0.3659171578463436],Bool[0],[0.447],Bool[1],[0.447],[0.2914426443349736],[4.538261878042759e6],[0.534],[1.3547732628917248],[2.0],Bool[1],[0.4],Bool[0],[0.8],[0.554102202162821],Bool[0],Bool[0],[3.9633565528525924e6],[2.3382289175026885e8],[0.1128609215951974],Bool[0],[1.2753050619995745],[3.9633565528525924e6],[1],[0.8709828036235976],Bool[0],Bool[1],[0.499930768],[0.4],Bool[1],[0.970369161933026],[0.534],[20],[0.9995157481932615],[4.53797589182523e6],[0.10113083888390766],[0.50031],[1.2702795600721342],[0.016820417592913667]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[2.0],Bool[0],Bool[0],[0],[0.8189349730901907],[2.2990616348067078e8],[-2.0],[20],[1],[0.33490909331331564],[0.500141184],[0.04632150117102942],[0.9744734586823284],[4.602054707801485e6],[0.92],[20],[20],[0.9992295022262118],[0.8253889633143142],[2.359286047580477e8],[0.14],[0],Bool[0],[20],[4.602912881909493e6],[0.5003796],[2.2990616348067078e8],[20],[1.2156240206751725],Bool[0],[0],[-2.0],Bool[0],[1.0653683936947496],[0.9992298755017598],[0.635738240907019],[1.0439685640538208],Bool[0],[0.9468357221764028],Bool[0],[0.597],Bool[1],[0.597],[0.7667680528660218],[4.5985088348942725e6],[0.527],[1.44747252275023],[2.0],Bool[1],[0.4],Bool[0],[0.92],[0.6304631712446429],Bool[0],Bool[0],[4.394758324732721e6],[2.359286047580477e8],[0.8710136035039475],Bool[0],[1.452872191364313],[4.394758324732721e6],[1],[0.8305796268580207],Bool[0],Bool[1],[0.500141184],[0.4],Bool[1],[0.9744734586823284],[0.527],[20],[0.9995948024458321],[4.598490276797978e6],[0.833486941649407],[0.5003796],[1.129551290753789],[0.05475931935296494]
