X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_util_eff,major_util_eff_med,prop_qual_util_from_max,prop_strict_single_party,spat_char_corr1,prop_strict_elec_fail,spat_med_entropy3,spat_avg_entropy1,prop_qual_winner_smith,prop_strict_maxer_elected,spat_avg_entropy5,prop_strict_condorcet_paradox,prop_qual_single_party,major_maximizer_rate,major_util_from_winner_avg,prop_strict_unanimity,tangian_raw_uni_parties,tangian_adj_uni_body,prop_strict_unanimity_rate,prop_strict_condorcet_winner,spat_med_entropy5,spat_char_corr3,spat_char_corr5,major_vot_eff_n_cond_paradox,prop_qual_min_govt_size,prop_strict_winner_smith,prop_qual_med_pos,prop_qual_util_from_winner,prop_qual_min_govt_unstable,spat_avg_entropy3,tangian_raw_uni_body,major_util_from_max_avg,spat_med_entropy2,spat_avg_entropy2,spat_med_entropy1,prop_strict_util_from_max,prop_qual_nonzero_pos,major_qual_nonzero_pos,prop_strict_min_govt_elected,major_vot_eff_cond_eff,major_vot_eff_smith_eff,prop_qual_condorcet_paradox,tangian_raw_pop_parties,tangian_adj_pop_parties,major_util_from_max_med,major_util_from_win_med,major_strict_med_pos,major_util_eff_avg,tangian_adj_uni_parties,major_gallagher,prop_qual_elec_fail,prop_qual_maxer_elected,prop_qual_util_eff,prop_qual_unanimity_rate,prop_strict_min_govt_size,major_strict_nonzero_pos,prop_gallagher,major_strict_social_util,prop_strict_nonzero_pos,prop_strict_med_pos,major_qual_social_util,spat_agg_dist_corr,major_qual_med_pos,prop_qual_condorcet_winner,prop_strict_min_govt_unstable,spat_char_corr2,prop_strict_util_from_winner,prop_qual_min_govt_elected,tangian_adj_pop_body,spat_avg_entropy4,prop_qual_unanimity,spat_med_entropy4,spat_char_corr4,tangian_raw_pop_body
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[0.9992854533063016],[227073.02039878015],Bool[1],[0.29216868706331794],Bool[0],[2.2042736019749605e-10],[4.248632560111767e-10],Bool[0],Bool[1],[1.7386646934850578e-10],Bool[0],Bool[1],[0.2],[4573.900762768176],[20],[0.027],[0.525],[0.4],Bool[0],[1.0515166405381838e-10],[0.057603239558676515],[0.05364155795134028],[0],[0],Bool[0],[-2.0],[227073.02039878015],Bool[0],[3.1186638562862537e-10],[0.525],[4577.931609718356],[2.0424719252635555e-10],[3.787297673151155e-10],[3.904564844536536e-10],[227073.02039878015],[20],[20],Bool[1],[0.56],[0.56],Bool[0],[0.494182376],[0.494182376],[4578.566332731172],[4573.613413555648],[2.0],[0.9991199023898198],[0.027],[0.2457243424652918],Bool[0],Bool[1],[1.0],[0.4],[0],[20],[0.6791170738539858],[4388.074954852775],[20],[-2.0],[4388.074954852775],[0.15255000671925972],[2.0],Bool[0],Bool[0],[0.003259987298148186],[227073.02039878015],Bool[1],[0.5001863999999999],[4.491499853761791e-10],[20],[2.6344816471494203e-10],[0.05943667305336603],[0.5001863999999999]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9999532369626094],[0.9992849979979295],[227223.7213350149],Bool[1],[0.6152444546927189],Bool[0],[1.4253245208629828],[0.9310179084579981],Bool[0],Bool[0],[0.5712849173215728],Bool[0],Bool[1],[0.04],[4559.764373909866],[20],[0.444],[0.4809999999999999],[0.4],Bool[0],[0.5814795894107511],[0.6690844372820686],[0.5860459240370821],[0],[0],Bool[0],[2.0],[227213.0956636381],Bool[0],[1.4159118577768766],[0.4809999999999999],[4565.293390721137],[1.0579125441138615],[1.0492459265563807],[0.9484548426134198],[227223.7213350149],[20],[20],Bool[1],[1.0],[1.0],Bool[0],[0.499892056],[0.499892056],[4565.734741493225],[4560.6829738785145],[2.0],[0.99878949848649],[0.444],[0.06432618228995096],Bool[0],Bool[0],[0.9999532369626094],[0.4],[0],[20],[0.014803301253436714],[4300.099120260878],[20],[2.0],[4300.099120260878],[0.8593584098372316],[2.0],Bool[0],Bool[0],[0.41822311382642186],[227213.0956636381],Bool[1],[0.49975359999999996],[1.2534295006455347],[20],[1.2533947234990186],[0.6050540957702663],[0.49975359999999996]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999695747497774],[0.9996317408877935],[236894.11795806422],Bool[0],[-0.018857843414259785],Bool[0],[1.2213098245852247],[1.1452395971214055e-10],Bool[0],Bool[0],[0.6931471801743754],Bool[0],Bool[0],[0.28],[4709.103472127333],[10],[0.528],[0.457],[0.2],Bool[0],[0.6931471804765938],[-0.07808520001093804],[-0.09123614884142861],[0],[0],Bool[0],[0.0],[236886.91039524908],Bool[0],[1.2213089216623807],[0.457],[4712.237226431631],[0.4624008925953952],[0.4624007024260439],[1.1452395946812834e-10],[236894.11795806422],[10],[20],Bool[1],[1.0],[1.0],Bool[0],[0.50000952],[0.50000952],[4712.511344360338],[4708.306299596263],[2.0],[0.9993353547224507],[0.528],[0.2562175588674594],Bool[0],Bool[0],[0.9999695747497774],[0.2],[0],[20],[0.01608718347007951],[4399.834848025706],[10],[0.0],[4399.834848025706],[-0.1021617362919763],[2.0],Bool[0],Bool[0],[0.052895419383264114],[236886.91039524908],Bool[1],[0.4994344000000001],[1.4381984792227802],[10],[1.43820029293279],[-0.03693697940436896],[0.4994344000000001]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999512814481011],[0.9999201981005769],[222994.67807286256],Bool[0],[0.0799541240319819],Bool[0],[1.4235106103672273],[0.8721690690570142],Bool[0],Bool[0],[0.5848037176051345],Bool[0],Bool[0],[0.46],[4550.24795958751],[11],[0.509],[0.528],[0.22],Bool[0],[0.6416874698130905],[0.15576874623006115],[0.09362435798738912],[0],[0],Bool[0],[0.0],[222983.8140950657],Bool[0],[1.3905802745465234],[0.528],[4553.727209477921],[0.9536609440617185],[0.9226088020776442],[0.8927078830428572],[222994.67807286256],[11],[20],Bool[1],[0.96],[0.96],Bool[0],[0.500012648],[0.500012648],[4552.662860498654],[4550.587087604486],[2.0],[0.9992372087130542],[0.509],[0.2289710226906453],Bool[0],Bool[0],[0.9999512814481011],[0.22],[0],[20],[0.011660584547954706],[4056.0360089221913],[11],[0.0],[4056.0360089221913],[0.24877712279595968],[2.0],Bool[0],Bool[0],[0.13162846371489503],[222983.8140950657],Bool[1],[0.5004346],[1.3174656662263577],[11],[1.3295176717716193],[0.11938811996852401],[0.5004346]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9992831365048667],[0.9988296154068881],[226881.9997097075],Bool[1],[0.20411331955009274],Bool[0],[1.4988767638809287e-10],[1.357462755108174e-10],Bool[1],Bool[0],[1.642315745787743e-10],Bool[1],Bool[1],[0.18],[4582.760452261801],[20],[0.506],[0.512],[0.4],Bool[0],[1.2305923517291752e-10],[0.13341091669971794],[0.12426416451884904],[0],[0],Bool[1],[0.0],[226719.35628641277],Bool[0],[2.8048765917717775e-10],[0.512],[4589.043716831975],[1.0240360918657642e-10],[1.551457303541956e-10],[8.711640813983444e-11],[226881.9997097075],[20],[20],Bool[1],[0.6],[0.6],Bool[1],[0.500079984],[0.500079984],[4589.218918970966],[4583.829843802959],[-2.0],[0.9986311737835729],[0.506],[0.2304923204273843],Bool[0],Bool[0],[0.9992831365048667],[0.4],[0],[20],[0.6791170738539858],[4155.910631261859],[20],[0.0],[4155.910631261859],[0.19178518537621345],[-2.0],Bool[0],Bool[0],[0.2540431802956909],[226719.35628641277],Bool[1],[0.5000928],[2.3280428107116333e-10],[20],[1.8734105731521158e-10],[0.11032565276575362],[0.5000928]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9999358922459717],[0.9994055004417676],[226959.03128091857],Bool[1],[0.2998951387203961],Bool[0],[1.336119013562827],[0.8542192245174078],Bool[1],Bool[0],[0.5182818550962073],Bool[1],Bool[1],[0.14],[4561.88584354243],[20],[0.455],[0.49200000000000005],[0.4],Bool[0],[0.5834906213337192],[0.37478969751215024],[0.34420289100009244],[0],[0],Bool[1],[-2.0],[226944.4814471667],Bool[0],[1.311180765562739],[0.49200000000000005],[4566.284484417676],[1.006131835723439],[0.9578698663334066],[0.938311420379397],[226959.03128091857],[20],[20],Bool[1],[0.72],[0.72],Bool[1],[0.49992186400000005],[0.49992186400000005],[4566.263204875464],[4562.622112103572],[2.0],[0.9990374339751082],[0.455],[0.1413750006189213],Bool[0],Bool[0],[0.9999358922459717],[0.4],[0],[20],[0.005068609276714857],[4160.972229671137],[20],[-2.0],[4160.972229671137],[0.5046766396949093],[2.0],Bool[0],Bool[0],[0.06809135077089366],[226944.4814471667],Bool[1],[0.4998968],[1.3473987160468142],[20],[1.4026375228248815],[0.2049370442735067],[0.4998968]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999785121552177],[0.999820137163151],[230252.82419637992],Bool[1],[0.7065631082133104],Bool[0],[1.1520930746469695],[1.004025393996964],Bool[0],Bool[0],[0.4015016737306383],Bool[0],Bool[1],[0.28],[4604.045041250176],[14],[0.374],[0.47200000000000003],[0.28],Bool[0],[0.3834600930953223],[0.6065871241760521],[0.10723900150150611],[0],[0],Bool[0],[2.0],[230247.87655943292],Bool[0],[1.1472676974551959],[0.47200000000000003],[4607.432912240461],[0.9009079128591329],[0.8711397297437206],[1.0177929418026455],[230252.82419637992],[14],[20],Bool[1],[1.0],[1.0],Bool[0],[0.49983569600000005],[0.49983569600000005],[4607.639956408402],[4603.178316139468],[2.0],[0.9992653165737428],[0.374],[0.18768982305921653],Bool[0],Bool[0],[0.9999785121552177],[0.28],[0],[20],[0.014687058248675944],[4257.516133388619],[14],[2.0],[4257.516133388619],[0.8251293128707932],[2.0],Bool[0],Bool[0],[0.5709636687786821],[230247.87655943292],Bool[1],[0.49951840000000003],[1.2469490050070993],[14],[1.249450874150865],[0.4354713944189917],[0.49951840000000003]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9999922834358446],[0.9995495988238199],[234737.26758951484],Bool[1],[0.03512889581919684],Bool[0],[1.39138451710488],[1.145232750539189e-10],Bool[1],Bool[0],[0.6931471801525074],Bool[0],Bool[1],[0.08],[4709.503754043479],[12],[0.479],[0.517],[0.24],Bool[0],[0.693147180407693],[-0.05205703919192986],[-0.08464203131196826],[0],[0],Bool[0],[-2.0],[234735.45622432983],Bool[0],[1.391384508115022],[0.517],[4712.991992980392],[0.43650857990556813],[0.43650975530394875],[1.1452307865483265e-10],[234737.26758951484],[12],[20],Bool[1],[1.0],[1.0],Bool[1],[0.499913136],[0.499913136],[4713.758399900264],[4709.9916212666085],[0.0],[0.9992602636807796],[0.479],[0.23068934501619273],Bool[0],Bool[0],[0.9999922834358446],[0.24],[0],[20],[0.016185607928032874],[4228.085159893395],[12],[-2.0],[4228.085159893395],[-0.09951764216137693],[0.0],Bool[0],Bool[0],[-0.029641189105994368],[234735.45622432983],Bool[1],[0.5002174],[1.4717844834120797],[12],[1.47178512839813],[-0.031208567005628414],[0.5002174]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9999778455903124],[0.9994367823829124],[223718.65383188316],Bool[0],[0.21240957980226202],Bool[0],[1.3771699399899875],[0.8362143345337865],Bool[1],Bool[0],[0.5699959987864289],Bool[1],Bool[0],[0.18],[4565.317538079097],[11],[0.517],[0.545],[0.22],Bool[0],[0.5908677215380642],[0.14084248726797027],[0.14538930745088496],[0],[0],Bool[1],[0.0],[223713.69747717143],Bool[0],[1.3140504063614407],[0.545],[4569.803299647867],[0.8858885875336328],[0.8730789829128665],[0.8770789498092992],[223718.65383188316],[11],[20],Bool[1],[0.6],[0.6],Bool[1],[0.4999689920000001],[0.4999689920000001],[4570.201677392764],[4565.306712006755],[0.0],[0.9990192321305684],[0.517],[0.2294337088049618],Bool[0],Bool[0],[0.9999778455903124],[0.22],[0],[20],[0.002277440668821032],[3958.382531145241],[11],[0.0],[3958.382531145241],[0.5104657840849396],[0.0],Bool[0],Bool[0],[0.3013728101166452],[223713.69747717143],Bool[1],[0.5004244],[1.2605945578661113],[11],[1.2817390373366924],[0.4563965142581808],[0.5004244]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9994814929912125],[0.9997636091248239],[229386.59934369865],Bool[1],[0.40630124038613136],Bool[0],[4.841621379033967e-11],[1.6417436443809799e-10],Bool[1],Bool[0],[2.9554073197900355e-10],Bool[1],Bool[1],[0.28],[4605.913226976759],[20],[0.448],[0.53],[0.4],Bool[0],[1.636848773512417e-10],[0.08708483427673158],[0.3950556246595697],[0],[0],Bool[1],[2.0],[229267.660784217],Bool[0],[1.0287556816697677e-10],[0.53],[4608.456462545695],[7.38616929707157e-10],[9.613653853721742e-10],[1.1436272898324434e-10],[229386.59934369865],[20],[20],Bool[1],[0.9],[0.9],Bool[1],[0.499433672],[0.499433672],[4608.296968612155],[4605.296751719419],[-2.0],[0.9994486544575153],[0.448],[0.18986372936398357],Bool[0],Bool[0],[0.9994814929912125],[0.4],[0],[20],[0.6651315659326356],[4284.615677113382],[20],[2.0],[4284.615677113382],[0.03976262788157446],[-2.0],Bool[0],Bool[0],[0.1277035308898151],[229267.660784217],Bool[1],[0.5008076],[5.770381033854842e-10],[20],[2.4410655964626844e-10],[-0.050155146252325485],[0.5008076]
