X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_util_eff,major_util_eff_med,prop_qual_util_from_max,prop_strict_single_party,spat_char_corr1,prop_strict_elec_fail,spat_med_entropy3,spat_avg_entropy1,prop_qual_winner_smith,prop_strict_maxer_elected,spat_avg_entropy5,prop_strict_condorcet_paradox,prop_qual_single_party,major_maximizer_rate,major_util_from_winner_avg,prop_strict_unanimity,tangian_raw_uni_parties,tangian_adj_uni_body,prop_strict_unanimity_rate,prop_strict_condorcet_winner,spat_med_entropy5,spat_char_corr3,spat_char_corr5,major_vot_eff_n_cond_paradox,prop_qual_min_govt_size,prop_strict_winner_smith,prop_qual_med_pos,prop_qual_util_from_winner,prop_qual_min_govt_unstable,spat_avg_entropy3,tangian_raw_uni_body,major_util_from_max_avg,spat_med_entropy2,spat_avg_entropy2,spat_med_entropy1,prop_strict_util_from_max,prop_qual_nonzero_pos,major_qual_nonzero_pos,prop_strict_min_govt_elected,major_vot_eff_cond_eff,major_vot_eff_smith_eff,prop_qual_condorcet_paradox,tangian_raw_pop_parties,tangian_adj_pop_parties,major_util_from_max_med,major_util_from_win_med,major_strict_med_pos,major_util_eff_avg,tangian_adj_uni_parties,major_gallagher,prop_qual_elec_fail,prop_qual_maxer_elected,prop_qual_util_eff,prop_qual_unanimity_rate,prop_strict_min_govt_size,major_strict_nonzero_pos,prop_gallagher,major_strict_social_util,prop_strict_nonzero_pos,prop_strict_med_pos,major_qual_social_util,spat_agg_dist_corr,major_qual_med_pos,prop_qual_condorcet_winner,prop_strict_min_govt_unstable,spat_char_corr2,prop_strict_util_from_winner,prop_qual_min_govt_elected,tangian_adj_pop_body,spat_avg_entropy4,prop_qual_unanimity,spat_med_entropy4,spat_char_corr4,tangian_raw_pop_body
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999759182586295],[0.9998063274634286],[227842.83496531224],Bool[1],[0.25010129895260014],Bool[0],[1.416455484242277],[0.933441556586404],Bool[1],Bool[0],[0.5870259941817781],Bool[1],Bool[1],[0.34],[4557.127508302253],[20],[0.6739999999999999],[0.486],[0.4],Bool[0],[0.6283716808196003],[0.23228661185738267],[0.017353216013913323],[0],[0],Bool[1],[2.0],[227837.3481130875],Bool[0],[1.3882038203055793],[0.486],[4559.453843066049],[0.9535425774933428],[0.9092185255241029],[0.92831344985841],[227842.83496531224],[20],[20],Bool[1],[0.86],[0.86],Bool[1],[0.50022712],[0.50022712],[4558.61328950833],[4556.858983776288],[2.0],[0.9994900298246315],[0.6739999999999999],[0.15225038829507137],Bool[0],Bool[0],[0.9999759182586295],[0.4],[0],[20],[0.019686054353272555],[4019.498363388576],[20],[2.0],[4019.498363388576],[0.20335903542548436],[2.0],Bool[0],Bool[0],[-0.049983413765735216],[227837.3481130875],Bool[1],[0.4998222],[1.322811355978811],[20],[1.3776607840891069],[0.08647277174812878],[0.4998222]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999765195792828],[0.9997883122730561],[234853.20922344003],Bool[0],[-0.00266662699138945],Bool[0],[1.4957741633432866],[1.1452450183213968e-10],Bool[1],Bool[0],[0.6931471800722853],Bool[0],Bool[0],[0.38],[4708.277725020146],[12],[0.415],[0.5379999999999999],[0.24],Bool[0],[0.6931471804055176],[-0.06905326355479598],[0.2594359629929197],[0],[0],Bool[0],[-2.0],[234847.6947712807],Bool[0],[1.495773122151079],[0.5379999999999999],[4710.566947808511],[0.7105891757075171],[0.7105864245545752],[1.1452557366710727e-10],[234853.20922344003],[12],[20],Bool[1],[1.0],[1.0],Bool[1],[0.49988836],[0.49988836],[4710.953882300193],[4708.372028579319],[2.0],[0.9995141388670649],[0.415],[0.27160944195664477],Bool[0],Bool[0],[0.9999765195792828],[0.24],[0],[20],[0.01801357710173081],[4545.482193630414],[12],[-2.0],[4545.482193630414],[0.20350593231689132],[2.0],Bool[0],Bool[0],[0.08715910168924873],[234847.6947712807],Bool[1],[0.5003246],[1.2382535200825646],[12],[1.238253353552104],[0.031825378830747035],[0.5003246]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9992306254538913],[0.999508767728964],[224575.2984733237],Bool[1],[0.17565439670937],Bool[0],[1.4160742458465426e-10],[4.2514793437455403e-10],Bool[0],Bool[0],[4.0888052793953277e-10],Bool[0],Bool[1],[0.12],[4606.820315356878],[20],[0.406],[0.524],[0.4],Bool[0],[2.956400266934315e-10],[-0.061536280695079035],[0.17275836570188408],[0],[0],Bool[0],[2.0],[224402.51595499355],Bool[0],[2.4823401366469053e-10],[0.524],[4610.932856784583],[1.4269340655736305e-10],[2.6987093701505467e-10],[2.7295485633076806e-10],[224575.2984733237],[20],[20],Bool[1],[0.66],[0.66],Bool[0],[0.49879579999999996],[0.49879579999999996],[4609.624057835279],[4607.050001944794],[-2.0],[0.9991090507969929],[0.406],[0.22302296186715842],Bool[0],Bool[0],[0.9992306254538913],[0.4],[0],[20],[0.6791170738539858],[4222.781897037023],[20],[2.0],[4222.781897037023],[0.11030379846352183],[-2.0],Bool[0],Bool[0],[-0.027923259890610334],[224402.51595499355],Bool[1],[0.5005784],[4.100752709349199e-10],[20],[2.0935834820465347e-10],[0.0982150864523713],[0.5005784]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[0.9990567567984365],[229000.5544361959],Bool[1],[0.5712585393954861],Bool[0],[1.2020816451266398],[0.6346775778000748],Bool[1],Bool[1],[0.3166331098667757],Bool[0],Bool[1],[0.04],[4579.0154967199915],[20],[0.513],[0.48300000000000004],[0.4],Bool[1],[0.3512559720649914],[0.45427484350859465],[0.5467576571287405],[0],[0],Bool[1],[2.0],[229000.5544361959],Bool[0],[1.1880791734000586],[0.48300000000000004],[4585.402565672739],[1.0252173476252364],[1.0146568940998564],[0.5947647242566003],[229000.5544361959],[20],[20],Bool[1],[0.98],[0.98],Bool[0],[0.500043776],[0.500043776],[4584.505315066226],[4579.420498144398],[2.0],[0.9986080516693943],[0.513],[0.0960198421994121],Bool[0],Bool[1],[1.0],[0.4],[0],[20],[0.008973856250241599],[4292.8271295700015],[20],[2.0],[4292.8271295700015],[0.8887053019072997],[2.0],Bool[1],Bool[0],[0.7309222041958151],[229000.5544361959],Bool[1],[0.4993044],[1.0188928550584513],[20],[1.0077150448105436],[0.6738053819446782],[0.4993044]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[0.9992759702291346],[223426.55383214413],Bool[1],[0.08013493481569835],Bool[0],[1.3029554252635038],[0.8427896321102262],Bool[0],Bool[1],[0.5832487102227131],Bool[0],Bool[1],[0.16],[4543.835513201076],[20],[0.483],[0.54],[0.4],Bool[0],[0.653801195788637],[0.39220164685457093],[0.07852891047999533],[0],[0],Bool[0],[2.0],[223426.55383214413],Bool[0],[1.2207809655780333],[0.54],[4548.151441570347],[0.8346790628226772],[0.8031330541604548],[0.9087735181780039],[223426.55383214413],[20],[20],Bool[1],[0.84],[0.84],Bool[0],[0.500036696],[0.500036696],[4549.2731335712],[4544.344022226538],[2.0],[0.9990515596289319],[0.483],[0.16734554827661238],Bool[0],Bool[1],[1.0],[0.4],[0],[20],[0.010872558484551847],[4123.800499727396],[20],[2.0],[4123.800499727396],[0.3369418926248707],[2.0],Bool[0],Bool[0],[0.12078993018328116],[223426.55383214413],Bool[1],[0.5005748],[1.2697256827978218],[20],[1.3119080194469426],[0.20730248557833353],[0.5005748]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9987716351760703],[0.9991323135429127],[231517.03829132958],Bool[1],[0.2976268056380608],Bool[0],[1.283782966215807e-10],[4.1023109966368437e-10],Bool[1],Bool[0],[2.223580857490156e-10],Bool[1],Bool[1],[0.08],[4574.655589834898],[20],[0.973],[0.557],[0.4],Bool[0],[1.4758238504112098e-10],[0.2279172740380116],[0.2662358991510317],[0],[0],Bool[1],[2.0],[231232.65090535211],Bool[0],[2.020829581620459e-10],[0.557],[4580.129521348552],[7.915090669537962e-11],[1.2373341963561025e-10],[1.639906418514741e-10],[231517.03829132958],[20],[20],Bool[1],[0.68],[0.68],Bool[1],[0.505863176],[0.505863176],[4579.341683196776],[4574.219095941102],[2.0],[0.9988058998442026],[0.973],[0.4092555409618787],Bool[0],Bool[0],[0.9987716351760703],[0.4],[0],[20],[0.6791170738539858],[4503.533592186567],[20],[2.0],[4503.533592186567],[0.10965419239240166],[2.0],Bool[0],Bool[0],[0.15846820685783514],[231232.65090535211],Bool[1],[0.5011896],[8.672796478647897e-10],[20],[3.7425568233753093e-10],[-0.012599574539766945],[0.5011896]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.999980434838881],[0.9996449205958804],[234726.0064831516],Bool[0],[-0.017835554232476097],Bool[0],[1.4299357943551971],[1.145228857393774e-10],Bool[0],Bool[0],[0.6931471801791801],Bool[0],Bool[0],[0.16],[4739.795786578875],[12],[0.49400000000000005],[0.503],[0.24],Bool[0],[0.6931471804480616],[-0.08869086949217135],[-0.021701480586630552],[0],[0],Bool[0],[-2.0],[234721.41403101594],Bool[0],[1.4299357709116827],[0.503],[4743.576838056387],[0.565373215543833],[0.565374214910503],[1.1452257078968333e-10],[234726.0064831516],[12],[20],Bool[1],[1.0],[1.0],Bool[0],[0.500003344],[0.500003344],[4743.375304325484],[4739.160931195194],[-2.0],[0.9992032601994788],[0.49400000000000005],[0.25345567287397613],Bool[0],Bool[0],[0.999980434838881],[0.24],[0],[20],[0.014868023136920414],[4306.540296681175],[12],[-2.0],[4306.540296681175],[-0.07157876846282671],[-2.0],Bool[0],Bool[0],[-0.016359313892153247],[234721.41403101594],Bool[1],[0.5000388],[1.5334954598685722],[12],[1.5334974591830777],[-0.0248178249394659],[0.5000388]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999700934606757],[0.99966992462219],[229441.15043116573],Bool[0],[0.17561685999953666],Bool[0],[0.9231766885698607],[0.7844883832006525],Bool[1],Bool[0],[0.5269708587816124],Bool[1],Bool[0],[0.18],[4609.408879674207],[9],[0.496],[0.556],[0.18],Bool[0],[0.5342954762656587],[0.5604169831751485],[0.3900501226584913],[0],[2],Bool[1],[0.0],[229434.28864037775],Bool[0],[0.9020179955828688],[0.556],[4613.983272009496],[0.5840223865591744],[0.5872352278586507],[0.7989874280127505],[229441.15043116573],[9],[20],Bool[1],[0.98],[0.98],Bool[1],[0.49995687199999994],[0.49995687199999994],[4613.631020685041],[4610.183461610712],[-2.0],[0.9990093426183668],[0.496],[0.1535291569963178],Bool[0],Bool[0],[0.9999700934606757],[0.18],[2],[20],[0.006312055766547057],[4422.042245608134],[9],[0.0],[4422.042245608134],[0.7867030239443773],[-2.0],Bool[0],Bool[0],[0.6708854068906237],[229434.28864037775],Bool[1],[0.500663],[1.4884403794923649],[9],[1.5243357506018744],[0.6758862376307796],[0.500663]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[0.9990591879009373],[227495.26722685344],Bool[1],[-0.0012099986124079894],Bool[0],[1.2351889933867495],[0.8632926010032018],Bool[1],Bool[1],[0.580552648674186],Bool[1],Bool[1],[0.04],[4549.795072449254],[20],[0.6040000000000001],[0.514],[0.4],Bool[0],[0.6544741046525349],[0.3731179677484737],[-0.012697687026008929],[0],[0],Bool[1],[-2.0],[227495.26722685344],Bool[0],[1.2315818504725624],[0.514],[4555.583387645521],[0.9619352080764242],[0.9278315281770262],[0.8732007088745912],[227495.26722685344],[20],[20],Bool[1],[0.58],[0.58],Bool[1],[0.500152392],[0.500152392],[4555.611388257972],[4550.261632938965],[-2.0],[0.9987298651063558],[0.6040000000000001],[0.14373446784957325],Bool[0],Bool[1],[1.0],[0.4],[0],[20],[0.0038048978961333613],[4011.5031050350003],[20],[-2.0],[4011.5031050350003],[0.3310328390120665],[-2.0],Bool[0],Bool[0],[0.0467890413097983],[227495.26722685344],Bool[1],[0.5000214000000001],[1.3320881069778927],[20],[1.3858065391153833],[0.2739643710168631],[0.5000214000000001]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_2""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9995448009458974],[0.9996006294702958],[229872.42228761717],Bool[1],[0.09505338920135743],Bool[0],[7.761977340929908e-11],[1.6631405470570528e-10],Bool[1],Bool[0],[2.2110311358681247e-10],Bool[1],Bool[1],[0.22],[4571.778228525539],[20],[0.401],[0.517],[0.4],Bool[0],[1.5287936898241888e-10],[0.09422390699887447],[0.03138873675477433],[0],[0],Bool[1],[-2.0],[229767.78457842756],Bool[0],[9.207035666776131e-11],[0.517],[4576.598154500302],[1.3869036765295133e-10],[2.0932055944278875e-10],[1.259055420241607e-10],[229872.42228761717],[20],[20],Bool[1],[0.84],[0.84],Bool[1],[0.498865432],[0.498865432],[4575.58774438981],[4572.198089922489],[2.0],[0.9989483337257673],[0.401],[0.20624435274692976],Bool[0],Bool[0],[0.9995448009458974],[0.4],[0],[20],[0.6651315659326356],[4282.412052098869],[20],[-2.0],[4282.412052098869],[0.355407435084958],[2.0],Bool[0],Bool[0],[0.24902673006847922],[229767.78457842756],Bool[1],[0.5002088],[2.0772394130049073e-10],[20],[1.6036041720695297e-10],[0.25951527207186537],[0.5002088]
