X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_util_eff,major_util_eff_med,prop_qual_util_from_max,prop_strict_single_party,spat_char_corr1,prop_strict_elec_fail,spat_med_entropy3,spat_avg_entropy1,prop_qual_winner_smith,prop_strict_maxer_elected,spat_avg_entropy5,prop_strict_condorcet_paradox,prop_qual_single_party,major_maximizer_rate,major_util_from_winner_avg,prop_strict_unanimity,tangian_raw_uni_parties,tangian_adj_uni_body,prop_strict_unanimity_rate,prop_strict_condorcet_winner,spat_med_entropy5,spat_char_corr3,spat_char_corr5,major_vot_eff_n_cond_paradox,prop_qual_min_govt_size,prop_strict_winner_smith,prop_qual_med_pos,prop_qual_util_from_winner,prop_qual_min_govt_unstable,spat_avg_entropy3,tangian_raw_uni_body,major_util_from_max_avg,spat_med_entropy2,spat_avg_entropy2,spat_med_entropy1,prop_strict_util_from_max,prop_qual_nonzero_pos,major_qual_nonzero_pos,prop_strict_min_govt_elected,major_vot_eff_cond_eff,major_vot_eff_smith_eff,prop_qual_condorcet_paradox,tangian_raw_pop_parties,tangian_adj_pop_parties,major_util_from_max_med,major_util_from_win_med,major_strict_med_pos,major_util_eff_avg,tangian_adj_uni_parties,major_gallagher,prop_qual_elec_fail,prop_qual_maxer_elected,prop_qual_util_eff,prop_qual_unanimity_rate,prop_strict_min_govt_size,major_strict_nonzero_pos,prop_gallagher,major_strict_social_util,prop_strict_nonzero_pos,prop_strict_med_pos,major_qual_social_util,spat_agg_dist_corr,major_qual_med_pos,prop_qual_condorcet_winner,prop_strict_min_govt_unstable,spat_char_corr2,prop_strict_util_from_winner,prop_qual_min_govt_elected,tangian_adj_pop_body,spat_avg_entropy4,prop_qual_unanimity,spat_med_entropy4,spat_char_corr4,tangian_raw_pop_body
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999341019697492],[0.9996219362779404],[226342.15702946164],Bool[1],[0.36942341569348935],Bool[0],[1.4027509789953359],[0.9261395604176996],Bool[0],Bool[0],[0.5249132293297624],Bool[0],Bool[1],[0.28],[4518.472268238288],[20],[0.45200000000000007],[0.5209999999999999],[0.4],Bool[0],[0.5599727041099776],[0.09524222907330783],[0.04897626711070328],[0],[0],Bool[0],[-2.0],[226327.24152715068],Bool[0],[1.3814005930420092],[0.5209999999999999],[4522.3765791843625],[0.9551182507122102],[0.9111237497574209],[0.9608784316275907],[226342.15702946164],[20],[20],Bool[1],[0.9],[0.9],Bool[0],[0.49995412800000005],[0.49995412800000005],[4522.270105251782],[4519.002443492036],[2.0],[0.999137175953],[0.45200000000000007],[0.20588821040554994],Bool[0],Bool[0],[0.9999341019697492],[0.4],[0],[20],[0.014137722023013473],[4113.912074775366],[20],[-2.0],[4113.912074775366],[0.48537280460680904],[2.0],Bool[0],Bool[0],[0.39760316280410174],[226327.24152715068],Bool[1],[0.5001292],[1.35107075668523],[20],[1.3795595381571935],[0.4340925929337864],[0.5001292]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9999685017393382],[0.9998267753088055],[228049.82579875443],Bool[0],[0.31449558478939255],Bool[0],[1.3119500123596004],[0.8636722694465492],Bool[0],Bool[0],[0.5737195537883548],Bool[0],Bool[0],[0.36],[4561.08794778629],[11],[0.5790000000000002],[0.528],[0.22],Bool[0],[0.6169795895446225],[0.25996338707970046],[0.15346159556262137],[0],[0],Bool[0],[0.0],[228042.64262589754],Bool[0],[1.3039365047188232],[0.528],[4563.531226714284],[0.7622224269204196],[0.718878313432879],[0.9068871944953479],[228049.82579875443],[11],[20],Bool[1],[0.86],[0.86],Bool[0],[0.500102472],[0.500102472],[4562.69685118763],[4561.104624281312],[-2.0],[0.9994652196783639],[0.5790000000000002],[0.21999202796465145],Bool[0],Bool[0],[0.9999685017393382],[0.22],[0],[20],[0.024076801448697484],[4044.744961967245],[11],[0.0],[4044.744961967245],[0.4744129069716202],[-2.0],Bool[0],Bool[0],[0.13302997503005123],[228042.64262589754],Bool[1],[0.5001376],[1.3227091881763289],[11],[1.3562866471736852],[0.4397793514168889],[0.5001376]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9904232684045761],[0.9981677976565669],[227706.64270640333],Bool[0],[0.12367221268032429],Bool[0],[1.3683987280208627],[0.8454692897304545],Bool[0],Bool[0],[0.523854677174171],Bool[0],Bool[0],[0.44],[4757.06236065782],[12],[0.6880000000000001],[0.7069999999999999],[0.24],Bool[0],[0.5710384700183684],[0.237798124897059],[0.05172550782039206],[0],[0],Bool[0],[0.0],[225525.95730670902],Bool[0],[1.3328993715529236],[0.7069999999999999],[4776.235325101812],[0.8430446182777789],[0.7970433768123856],[0.8459369420938165],[227706.64270640333],[3],[0],Bool[1],[0.62],[0.62],Bool[0],[0.445736884],[0.445736884],[4780.687167298186],[4760.217596406877],[0.0],[0.9959880410918026],[0.6880000000000001],[0.15106496774566894],Bool[0],Bool[0],[0.9904232684045761],[0.38],[0],[0],[0.004645910029262301],[4220.749379584587],[3],[0.0],[4220.749379584587],[0.30493508150492393],[0.0],Bool[0],Bool[0],[0.06390996535329901],[225525.95730670902],Bool[1],[0.4516616],[1.267865511991562],[19],[1.3517894144173135],[0.3174759331171407],[0.45166160000000005]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9972395316716174],[0.9989850213382572],[232708.12408259447],Bool[0],[0.2351440358958894],Bool[0],[1.3511299996960138],[0.8953388501133586],Bool[0],Bool[0],[0.5436906879655864],Bool[0],Bool[0],[0.44],[4761.955559020687],[2],[0.0],[0.0],[0.04],Bool[0],[0.6095533124617958],[0.08790818811602015],[0.14416682021157357],[0],[0],Bool[0],[0.0],[232214.08263198784],Bool[0],[1.3057809017387894],[0.0],[4778.278908424814],[0.8354081300761557],[0.7351848150434012],[0.951656969738207],[232856.87861232337],[1],[3],Bool[1],[0.6],[0.6],Bool[0],[0.22854354400000002],[0.228543544],[4780.3264864149805],[4763.194479816051],[0.0],[0.996585468210113],[0.0],[0.20136834027224834],Bool[0],Bool[0],[0.9978769909621579],[0.22],[2],[0],[0.005499860361863745],[4339.164101233551],[1],[0.0],[4405.749010836122],[0.4211885817446474],[0.0],Bool[0],Bool[0],[0.3027323180332157],[232214.08457386802],Bool[1],[0.2444796],[1.311647766258456],[11],[1.319984708918547],[0.30158911138479605],[0.24447960000000002]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9999506670833698],[0.9995786448543105],[226826.56352840472],Bool[1],[0.14442019381839843],Bool[0],[1.312239548133416],[0.940187777001674],Bool[0],Bool[0],[0.5232460064469223],Bool[0],Bool[1],[0.16],[4583.013042167911],[20],[0.404],[0.509],[0.4],Bool[0],[0.5092128908018229],[0.2007945772434394],[0.11555644555764563],[0],[0],Bool[0],[0.0],[226815.37351245666],Bool[0],[1.3063938872472516],[0.509],[4586.403171078655],[0.9540499492453057],[0.9082162730784765],[0.9677618528211034],[226826.56352840472],[20],[20],Bool[1],[0.82],[0.82],Bool[0],[0.499802328],[0.499802328],[4585.86772731782],[4582.543321313326],[-2.0],[0.9992611861170321],[0.404],[0.16042024829802504],Bool[0],Bool[0],[0.9999506670833698],[0.4],[0],[20],[0.0069696530760146235],[4171.5801279431735],[20],[0.0],[4171.5801279431735],[0.37209164860807],[-2.0],Bool[0],Bool[0],[0.19645423053861003],[226815.37351245666],Bool[1],[0.5001713999999999],[1.2315061240845109],[20],[1.2831460436251987],[0.2603959680234298],[0.5001713999999999]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.9999301220841326],[0.9993080324105659],[227843.11404924167],Bool[1],[0.07242659063908086],Bool[0],[1.310998942689666],[0.8658442476890196],Bool[0],Bool[0],[0.3971947916076083],Bool[0],Bool[1],[0.1],[4531.561174194869],[11],[0.545],[0.5],[0.22],Bool[0],[0.35506874670378497],[0.1403654734555974],[0.1430300826017751],[0],[0],Bool[0],[2.0],[227827.19284728717],Bool[0],[1.2855236421674057],[0.5],[4536.566041513781],[0.8459615497010748],[0.8160542653769951],[0.912181466745291],[227843.11404924167],[11],[20],Bool[1],[0.7],[0.7],Bool[0],[0.5000274560000001],[0.5000274560000001],[4536.1883191106135],[4531.340203352735],[2.0],[0.9988976797310332],[0.545],[0.2409161341213992],Bool[0],Bool[0],[0.9999301220841326],[0.22],[0],[20],[0.013288479220738572],[4292.151697782147],[11],[2.0],[4292.151697782147],[0.28809218640376927],[2.0],Bool[0],Bool[0],[0.15245145776603813],[227827.19284728717],Bool[1],[0.5000829999999999],[1.3600048069366795],[11],[1.434426304889758],[0.25583707052863075],[0.5000829999999999]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9960179800900698],[0.9977741278438073],[235568.9920266703],Bool[1],[0.18144902833431165],Bool[0],[1.3840734355343773],[0.8929428464415264],Bool[1],Bool[0],[0.5659293878914167],Bool[0],Bool[1],[0.38],[4787.66570608852],[20],[0.804],[0.701],[0.4],Bool[0],[0.6265711909956392],[0.424786556543943],[-0.011461081281292532],[0],[0],Bool[0],[0.0],[234630.95161025794],Bool[0],[1.3463909874308855],[0.701],[4811.531361063841],[0.9418243576769216],[0.9145239504498286],[0.9295104217949415],[235568.9920266703],[2],[0],Bool[1],[0.52],[0.52],Bool[0],[0.482613108],[0.482613108],[4809.716690829371],[4789.703298837727],[0.0],[0.9950472678905308],[0.804],[0.15958011369841796],Bool[0],Bool[0],[0.9960179800900698],[0.4],[0],[0],[0.13454788384464703],[4253.639380536513],[2],[0.0],[4253.639380536513],[0.3596580508547041],[0.0],Bool[1],Bool[0],[0.16895174527109033],[234630.95161025794],Bool[1],[0.4500122],[1.2348032547455197],[20],[1.3017170951479098],[0.14989865909063804],[0.4500122]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[1.0],[0.9993485619722342],[226867.67854833367],Bool[1],[0.1470831056593788],Bool[0],[1.3908117971330796],[0.9013399078036616],Bool[0],Bool[1],[0.4997846633615447],Bool[0],Bool[1],[0.1],[4606.6093978136405],[20],[0.714],[0.53],[0.4],Bool[0],[0.5062406114778351],[0.13331122714232457],[0.17468927097569967],[0],[0],Bool[0],[2.0],[226867.67854833367],Bool[0],[1.3432681757390839],[0.53],[4610.369284689123],[0.9044883765772909],[0.8819354879231736],[0.9220534309958306],[226867.67854833367],[20],[20],Bool[1],[0.56],[0.56],Bool[0],[0.500234192],[0.500234192],[4610.534903319422],[4607.043928972107],[0.0],[0.9991847911479331],[0.714],[0.17740371545150907],Bool[0],Bool[1],[1.0],[0.4],[0],[20],[0.015517675599135344],[3829.4838446504323],[20],[2.0],[3829.4838446504323],[0.5026668386032854],[0.0],Bool[0],Bool[0],[0.29559787268621085],[226867.67854833367],Bool[1],[0.5002949999999999],[1.2436732113589009],[20],[1.2377028139968873],[0.515751399468202],[0.5002949999999999]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.9999895922998007],[0.999097541684675],[226606.6628874885],Bool[1],[0.18492235311297445],Bool[0],[1.351168107525047],[0.9142235724702852],Bool[1],Bool[0],[0.5540438702952695],Bool[1],Bool[1],[0.06],[4518.806489898371],[20],[0.356],[0.5010000000000001],[0.4],Bool[0],[0.590746651704203],[0.3482013151226777],[0.07505405596920184],[0],[0],Bool[1],[-2.0],[226604.30443327798],Bool[0],[1.3241855310905597],[0.5010000000000001],[4524.069008232309],[0.9552366423058687],[0.9047311546450651],[0.9504894223516218],[226606.6628874885],[20],[20],Bool[1],[0.56],[0.56],Bool[1],[0.49984932800000004],[0.49984932800000004],[4523.933927570757],[4518.90830291015],[2.0],[0.9988377381680016],[0.356],[0.2061420185018086],Bool[0],Bool[0],[0.9999895922998007],[0.4],[0],[20],[0.6288010825748377],[4379.265172815033],[20],[-2.0],[4379.265172815033],[0.5143681815965204],[2.0],Bool[0],Bool[0],[0.19119076051157308],[226604.30443327798],Bool[1],[0.5000194],[1.2416863270912049],[20],[1.2470683359471204],[0.4609403193959039],[0.5000194]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.9981214411461998],[1.0],[233341.4892173408],Bool[0],[0.1326703029988326],Bool[0],[1.4131820662653158],[0.9491385202172414],Bool[1],Bool[0],[0.5234438622672951],Bool[0],Bool[0],[0.56],[4755.196753483342],[6],[0.0],[0.0],[0.12],Bool[0],[0.5683392441284589],[0.1322051086056903],[0.2190108191669628],[0],[0],Bool[0],[0.0],[232903.14349681267],Bool[0],[1.3917725204160611],[0.0],[4766.75167961131],[0.984939687198333],[0.9313558087811373],[0.9748364425872126],[233341.49007515548],[3],[7],Bool[1],[0.8],[0.8],Bool[1],[0.24032243599999997],[0.240322436],[4766.989837113633],[4757.696688408518],[0.0],[0.9975776262229331],[0.0],[0.2666100672967921],Bool[0],Bool[0],[0.9981214411461999],[0.28],[2],[0],[0.016078805428264866],[4363.696982287433],[3],[0.0],[4368.066161273775],[0.303836312566771],[0.0],Bool[0],Bool[1],[-0.0024889496707699256],[232903.14435301587],Bool[1],[0.23628519999999997],[1.186899093491022],[14],[1.2279714097265324],[0.22557029276474627],[0.23628520000000003]
