A	B	G	H	I	X	Y	Z	E	C of cdfn_lm_dim3	D of cdfn_lm_dim3	F of cdfn_lm_dim3	N of cdfn_lm_dim3	L of cdfn_lm_dim3	M of cdfn_lm_dim3	J of dtJK	K of dtJK	J of dtJ	K of dtK	C of cdfn_lm_dim2	D of cdfn_lm_dim2	F of cdfn_lm_dim2	N of cdfn_lm_dim2	L of cdfn_lm_dim2	M of cdfn_lm_dim2	C of cdfn_lm_dim1	D of cdfn_lm_dim1	F of cdfn_lm_dim1	N of cdfn_lm_dim1	L of cdfn_lm_dim1	M of cdfn_lm_dim1	C of cdf_dim1	D of cdf_dim1	F of cdf_dim1	C of cdf_dim2	D of cdf_dim2	F of cdf_dim2	C of cdf_dim3	D of cdf_dim3	F of cdf_dim3
L2	L1	L2	L2	L2	L1	L2	L2	L1	C3_1	D3_1	F3_1	N3_1	L3_1	M3_1	0.0	0.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L2	L2	L3	L2	L2	L2	L1	L1	C3_1	D3_1	F3_1	N3_1	L3_1	M3_2	0.0	1.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L1	L3	L2	L2	L1	L1	L2	L1	C3_1	D3_1	F3_1	N3_1	L3_2	M3_1	0.0	2.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L3	L3	L1	L1	L1	L1	L2	L3	C3_1	D3_1	F3_1	N3_1	L3_2	M3_2	0.0	3.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L1	L2	L1	L3	L2	L2	L2	L3	C3_1	D3_1	F3_1	N3_2	L3_1	M3_1	1.0	0.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L2	L3	L3	L2	L1	L2	L2	L2	C3_1	D3_1	F3_1	N3_2	L3_1	M3_2	1.0	1.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L2	L2	L2	L3	L2	L2	L2	L3	C3_1	D3_1	F3_1	N3_2	L3_2	M3_1	1.0	2.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L1	L1	L3	L3	L1	L2	L1	L1	C3_1	D3_1	F3_1	N3_2	L3_2	M3_2	1.0	3.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L3	L1	L1	L1	L2	L1	L2	L2	C3_1	D3_1	F3_2	N3_1	L3_1	M3_1	2.0	0.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L1	L2	L3	L3	L2	L2	L1	L2	C3_1	D3_1	F3_2	N3_1	L3_1	M3_2	2.0	1.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L1	L1	L3	L2	L1	L2	L2	L3	C3_1	D3_1	F3_2	N3_1	L3_2	M3_1	2.0	2.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L2	L2	L2	L1	L2	L2	L2	L2	C3_1	D3_1	F3_2	N3_1	L3_2	M3_2	2.0	3.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L1	L1	L2	L3	L1	L2	L2	L2	C3_1	D3_1	F3_2	N3_2	L3_1	M3_1	3.0	0.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L3	L3	L2	L2	L2	L2	L1	L3	C3_1	D3_1	F3_2	N3_2	L3_1	M3_2	3.0	1.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L3	L3	L2	L3	L1	L1	L2	L1	C3_1	D3_1	F3_2	N3_2	L3_2	M3_1	3.0	2.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L2	L1	L1	L2	L1	L1	L2	L2	C3_1	D3_1	F3_2	N3_2	L3_2	M3_2	3.0	3.0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L3	L2	L2	L1	L2	L1	L1	L3	C3_1	D3_2	F3_1	N3_1	L3_1	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L1	L1	L1	L3	L2	L2	L1	L1	C3_1	D3_2	F3_1	N3_1	L3_1	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L1	L3	L3	L3	L1	L2	L1	L1	C3_1	D3_2	F3_1	N3_1	L3_2	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L1	L1	L3	L1	L1	L1	L1	L1	C3_1	D3_2	F3_1	N3_1	L3_2	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L3	L3	L2	L1	L2	L2	L1	L2	C3_1	D3_2	F3_1	N3_2	L3_1	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L1	L1	L2	L1	L2	L1	L1	L2	C3_1	D3_2	F3_1	N3_2	L3_1	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L2	L1	L3	L1	L2	L2	L1	L1	C3_1	D3_2	F3_1	N3_2	L3_2	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L2	L1	L2	L2	L2	L2	L1	L3	C3_1	D3_2	F3_1	N3_2	L3_2	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L1	L1	L1	L1	L2	L2	L1	L2	L2	C3_1	D3_2	F3_2	N3_1	L3_1	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L2	L3	L3	L1	L2	L1	L1	L1	C3_1	D3_2	F3_2	N3_1	L3_1	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L2	L3	L2	L2	L3	L1	L1	L2	L2	C3_1	D3_2	F3_2	N3_1	L3_2	M3_1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L3	L2	L2	L3	L2	L2	L1	L2	L2	C3_1	D3_2	F3_2	N3_1	L3_2	M3_2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
